"zone","state","sector","lga","ea","serial_no","c1q2","c1q3","c1q4a","c1q4b","c1q4_os","c1q5","c1q6"
4,1,1,102,536,1,1,78,1,8,,39,26
4,1,1,102,536,2,1,52,3,11,"civil servant",52,26
4,1,1,102,536,3,2,54,11,,"civil servant",36,41
4,1,1,102,536,4,1,45,12,8,,45,26
4,1,1,102,536,5,1,53,8,3,,32,42
4,1,1,102,536,6,1,69,8,11,"Politician",37,26
4,1,1,102,1690,1,1,63,1,11,"Civil servant",28,28
4,1,1,102,1690,2,1,51,12,8,,26,26
4,1,1,102,1690,3,2,55,8,11,"Civil Servant",30,26
4,1,1,102,1690,4,1,66,8,,,12,42
4,1,1,102,1690,5,1,69,3,8,,8,42
4,1,1,102,1690,6,1,64,8,,,13,43
4,1,2,104,1364,1,1,89,1,,,45,14
4,1,2,104,1364,2,1,85,3,,,47,12
4,1,2,104,1364,3,2,69,8,,,45,16
4,1,2,104,1364,4,1,43,12,,,25,26
4,1,2,104,1364,5,1,56,11,,"civil servant",23,41
4,1,2,104,1364,6,1,83,3,,,15,42
4,1,2,105,638,1,1,87,1,,,15,16
4,1,2,105,638,2,1,76,3,,,12,32
4,1,2,105,638,3,1,53,11,8,"politician",12,42
4,1,2,105,638,4,1,42,12,8,,15,16
4,1,2,105,638,5,2,67,8,6,,40,16
4,1,2,105,638,6,1,80,9,,,20,43
4,1,2,106,880,1,1,54,1,5,,30,26
4,1,2,106,880,2,1,51,3,6,,51,16
4,1,2,106,880,3,2,43,6,8,,20,13
4,1,2,106,880,4,1,57,3,6,,10,26
4,1,2,106,880,5,1,41,6,11,"Treasurer",8,26
4,1,2,106,880,6,1,43,12,8,,43,16
4,1,2,107,1044,1,1,71,1,6,,21,16
4,1,2,107,1044,2,1,42,3,8,,42,41
4,1,2,107,1044,3,2,53,2,6,,26,16
4,1,2,107,1044,4,1,41,8,,,16,16
4,1,2,107,1044,5,1,53,3,8,,53,16
4,1,2,107,1044,6,1,38,3,6,,38,16
4,1,2,108,904,1,1,83,1,,,16,42
4,1,2,108,904,2,1,66,8,,,32,16
4,1,2,108,904,3,2,67,6,,,39,11
4,1,2,108,904,4,1,32,8,,,16,26
4,1,2,108,904,5,1,38,9,6,,25,26
4,1,2,110,76,1,1,58,1,,,8,16
4,1,2,110,76,2,1,53,3,8,,16,42
4,1,2,110,76,3,1,63,6,,,63,26
4,1,2,110,76,4,1,36,12,8,,36,26
4,1,2,110,76,5,1,63,3,6,,25,41
4,1,2,110,76,6,1,75,3,,,75,0
4,1,1,111,1146,1,1,53,1,,,53,26
4,1,1,115,670,1,1,57,1,8,,14,43
4,1,1,115,670,2,1,70,6,11,"Retired civil servant",15,43
4,1,1,115,670,3,1,62,8,11,"Retired civil servant",15,42
4,1,1,115,670,4,1,64,3,8,,15,43
4,1,1,115,670,5,2,62,8,11,"Retired civil servant",18,42
4,1,1,115,670,6,2,54,2,11,"Civil servant",14,43
4,1,2,117,560,1,1,71,1,8,,71,16
4,1,2,117,560,2,1,51,3,8,,51,16
4,1,2,117,560,3,2,45,2,6,,45,16
4,1,2,117,560,4,1,63,9,6,,53,26
4,1,2,117,560,5,1,52,12,8,,42,26
2,2,2,201,60,1,1,65,3,,,65,61
2,2,2,201,60,2,1,37,12,,,37,34
2,2,2,201,60,3,1,52,5,,,52,34
2,2,2,201,60,4,2,50,11,,"Wife to Councillor to Headman",50,0
2,2,2,201,60,5,1,54,7,,,54,41
2,2,2,201,60,6,1,50,4,,,50,42
2,2,2,201,60,7,2,46,11,,"Wife to School Teacher",46,26
2,2,2,203,1224,1,1,38,1,,,38,26
2,2,2,203,1224,2,1,40,3,,,40,16
2,2,2,203,1224,3,1,35,11,,"Community Member",35,16
2,2,2,203,1224,4,1,30,12,,,30,16
2,2,2,203,1224,5,1,37,5,,,37,34
2,2,2,203,1224,6,2,32,2,,,32,16
2,2,2,205,712,1,1,56,1,,,56,42
2,2,2,205,712,2,1,50,11,,"Politician",50,26
2,2,2,205,712,3,1,30,11,,"Community Member",30,26
2,2,2,205,712,4,2,30,11,,"Woman Leader",30,26
2,2,2,205,712,5,1,50,5,,,50,42
2,2,2,205,712,6,1,41,11,,"Community Member",41,26
2,2,2,205,712,7,2,50,2,,,50,61
2,2,2,207,1302,1,1,80,1,,,29,0
2,2,2,207,1302,2,1,53,9,,,53,34
2,2,2,207,1302,3,1,60,11,,"Community Member",60,27
2,2,2,207,1302,4,1,40,11,,"Community Vigilante",40,16
2,2,2,207,1302,5,1,63,12,,,63,14
2,2,2,207,1302,6,1,40,7,,,40,28
2,2,2,207,1302,7,1,60,9,,,44,51
2,2,2,207,1302,8,2,50,5,,,50,34
2,2,2,209,1040,1,1,52,1,5,,52,34
2,2,2,209,1040,2,2,40,2,,,40,0
2,2,2,209,1040,3,1,42,11,,"Community Member",42,26
2,2,2,209,1040,4,1,40,12,,,40,26
2,2,2,209,1040,5,2,45,11,,"Women Leader",45,26
2,2,2,209,1040,6,1,45,5,,,45,34
2,2,2,209,1040,7,1,41,11,,"Community Member",41,16
2,2,2,210,1300,1,1,55,1,,,55,0
2,2,2,210,1300,2,1,52,3,,,52,16
2,2,2,210,1300,3,1,35,11,,"Community Member",35,26
2,2,2,210,1300,4,1,32,11,,"Community Member",32,26
2,2,2,210,1300,5,1,32,11,,"Community Member",32,26
2,2,2,210,1300,6,2,31,8,,,31,26
2,2,2,210,1300,7,1,39,11,,"Vigilante",39,16
2,2,2,210,1300,8,1,45,12,,,45,16
2,2,2,212,956,1,1,50,11,,"Community Member",30,0
2,2,2,212,956,2,1,40,11,,"Community Member",40,0
2,2,2,212,956,3,1,41,1,,,41,0
2,2,2,212,956,4,1,45,9,,,45,51
2,2,2,212,956,5,1,30,11,,"Community Member",30,51
2,2,2,212,956,6,1,30,11,,"Community Member",30,0
