"zone","state","lga","sector","ea","item_cd","c2q1","c2q2","c2q2b","c2q3"
4,1,102,1,536,10,1,13,,30
4,1,102,1,536,11,1,13,,30
4,1,102,1,536,13,1,13,,35
4,1,102,1,536,14,1,13,,50
4,1,102,1,536,17,1,1,,500
4,1,102,1,536,19,1,1,,300
4,1,102,1,536,20,1,70,,200
4,1,102,1,536,21,1,90,,100
4,1,102,1,536,22,1,13,,25
4,1,102,1,536,23,1,13,,30
4,1,102,1,536,25,1,80,,50
4,1,102,1,536,26,1,80,,50
4,1,102,1,536,27,1,80,,10
4,1,102,1,536,28,1,120,,10
4,1,102,1,536,29,1,80,,50
4,1,102,1,536,31,1,81,,250
4,1,102,1,536,32,1,13,,15
4,1,102,1,536,33,1,13,,15
4,1,102,1,536,34,1,90,,100
4,1,102,1,536,35,1,81,,40
4,1,102,1,536,36,1,90,,200
4,1,102,1,536,38,1,90,,150
4,1,102,1,536,40,1,13,,40
4,1,102,1,536,41,1,13,,50
4,1,102,1,536,42,1,13,,50
4,1,102,1,536,43,1,11,,350
4,1,102,1,536,44,1,13,,80
4,1,102,1,536,45,1,13,,50
4,1,102,1,536,46,1,80,,50
4,1,102,1,536,47,1,90,,50
4,1,102,1,536,50,1,900,"75cl bottle",200
4,1,102,1,536,51,1,120,,200
4,1,102,1,536,52,1,120,,220
4,1,102,1,536,60,1,100,,100
4,1,102,1,536,61,1,90,,50
4,1,102,1,536,63,1,81,,50
4,1,102,1,536,64,1,81,,150
4,1,102,1,536,65,1,900,"one can",100
4,1,102,1,536,66,1,90,,50
4,1,102,1,536,67,1,81,,70
4,1,102,1,536,68,1,81,,200
4,1,102,1,536,69,1,81,,50
4,1,102,1,536,70,1,90,,100
4,1,102,1,536,71,1,900,"one can",40
4,1,102,1,536,72,1,90,,50
4,1,102,1,536,73,1,90,,50
4,1,102,1,536,74,1,90,,50
4,1,102,1,536,76,1,90,,50
4,1,102,1,536,77,1,90,,20
4,1,102,1,536,79,1,100,,50
4,1,102,1,536,80,1,1,,900
4,1,102,1,536,82,1,1,,900
4,1,102,1,536,83,1,81,,30
4,1,102,1,536,84,1,80,,30
4,1,102,1,536,85,1,80,,30
4,1,102,1,536,90,1,1,,800
4,1,102,1,536,92,1,1,,800
4,1,102,1,536,93,1,1,,800
4,1,102,1,536,95,1,900,"one can",500
4,1,102,1,536,100,1,1,,1500
4,1,102,1,536,101,1,81,,300
4,1,102,1,536,102,1,81,,300
4,1,102,1,536,103,1,90,,250
4,1,102,1,536,104,1,90,,300
4,1,102,1,536,105,1,90,,100
4,1,102,1,536,106,1,900,"one can",100
4,1,102,1,536,111,1,120,,20
4,1,102,1,536,112,1,900,"one 450g tin",1450
4,1,102,1,536,113,1,900,"one 170g tin",140
4,1,102,1,536,115,1,120,,20
4,1,102,1,536,120,1,120,,50
4,1,102,1,536,121,1,120,,40
4,1,102,1,536,122,1,120,,130
4,1,102,1,536,130,1,120,,100
4,1,102,1,536,131,1,900,"one bottle",400
4,1,102,1,536,132,1,900,"75cl bottle",1200
4,1,102,1,536,133,1,120,,100
4,1,102,1,536,140,1,120,,20
4,1,102,1,536,141,1,120,,30
4,1,102,1,536,142,1,13,,400
4,1,102,1,536,144,1,13,,150
4,1,102,1,536,145,1,13,,120
4,1,102,1,536,146,1,13,,60
4,1,102,1,536,147,1,13,,140
4,1,102,1,536,150,1,3,,100
4,1,102,1,536,151,1,120,,10
4,1,102,1,536,152,1,900,"33cl bottle",100
4,1,102,1,536,153,1,900,"35cl bottle",60
4,1,102,1,536,154,1,3,,250
4,1,102,1,536,155,1,900,"33cl bottle",80
4,1,102,1,536,160,1,900,"one bottle",200
4,1,102,1,536,161,1,900,"75cl bottle",100
4,1,102,1,536,163,1,900,"one bottle",500
4,1,102,1,536,164,1,900,"one bottle",1200
4,1,102,1,536,601,1,90,,50
4,1,102,1,1690,70,1,70,,100
4,1,102,1,1690,71,1,900,"one can",35
4,1,102,1,1690,72,1,90,,50
4,1,102,1,1690,73,1,90,,50
4,1,102,1,1690,74,1,90,,50
4,1,102,1,1690,76,1,90,,50
4,1,102,1,1690,77,1,90,,20
4,1,102,1,1690,79,1,100,,50
4,1,102,1,1690,160,1,900,"one bottle",200
4,1,102,1,1690,161,1,900,"one 75cl bottle",100
4,1,102,1,1690,163,1,900,"one bottle",450
4,1,102,1,1690,164,1,900,"one bottle",1100
4,1,104,2,1364,70,1,70,,100
4,1,104,2,1364,71,1,900,"one 70g tin",40
4,1,104,2,1364,72,1,90,,100
4,1,104,2,1364,73,1,90,,50
4,1,104,2,1364,74,1,90,,50
4,1,104,2,1364,75,1,90,,50
4,1,104,2,1364,76,1,90,,50
4,1,104,2,1364,77,1,13,,80
4,1,104,2,1364,79,1,100,,50
4,1,104,2,1364,160,1,900,"75cl bottle",250
4,1,104,2,1364,161,1,900,"75cl bottle",100
4,1,104,2,1364,163,1,900,"75cl bottle",400
4,1,105,2,638,70,1,90,,100
4,1,105,2,638,71,1,40,,45
4,1,105,2,638,72,1,81,,30
4,1,105,2,638,73,1,90,,50
4,1,105,2,638,74,1,90,,100
4,1,105,2,638,76,1,90,,50
4,1,105,2,638,77,1,13,,100
4,1,105,2,638,160,1,900,"75cl bottle",250
4,1,105,2,638,161,1,900,"75cl bottle",100
4,1,105,2,638,163,1,900,"75cl bottle",500
4,1,106,2,880,13,1,13,,40
4,1,106,2,880,14,1,13,,50
4,1,106,2,880,20,1,70,,200
4,1,106,2,880,22,1,13,,20
4,1,106,2,880,25,1,80,,100
4,1,106,2,880,26,1,80,,50
4,1,106,2,880,27,1,80,,10
4,1,106,2,880,28,1,120,,10
4,1,106,2,880,29,1,80,,50
4,1,106,2,880,30,1,91,,1450
4,1,106,2,880,31,1,81,,300
4,1,106,2,880,32,1,11,,250
4,1,106,2,880,33,1,11,,250
4,1,106,2,880,34,1,70,,300
4,1,106,2,880,35,1,111,,1000
4,1,106,2,880,36,1,90,,400
4,1,106,2,880,37,1,90,,350
4,1,106,2,880,38,1,90,,300
4,1,106,2,880,41,1,13,,60
4,1,106,2,880,42,1,13,,50
4,1,106,2,880,43,1,11,,700
4,1,106,2,880,44,1,13,,130
4,1,106,2,880,46,1,80,,40
4,1,106,2,880,47,1,11,,800
4,1,106,2,880,50,1,4,,200
4,1,106,2,880,51,1,2,,250
4,1,106,2,880,52,1,4,,250
4,1,106,2,880,60,1,101,,2500
4,1,106,2,880,61,1,81,,10
4,1,106,2,880,63,1,91,,30
4,1,106,2,880,64,1,81,,150
4,1,106,2,880,66,1,80,,20
4,1,106,2,880,67,1,81,,50
4,1,106,2,880,68,1,81,,250
4,1,106,2,880,69,1,80,,50
4,1,106,2,880,70,1,90,,100
4,1,106,2,880,71,1,40,,40
4,1,106,2,880,72,1,81,,30
4,1,106,2,880,73,1,11,,500
4,1,106,2,880,74,1,90,,50
4,1,106,2,880,76,1,90,,50
4,1,106,2,880,77,1,13,,80
4,1,106,2,880,80,1,1,,800
4,1,106,2,880,83,1,81,,30
4,1,106,2,880,84,1,80,,20
4,1,106,2,880,85,1,80,,25
4,1,106,2,880,90,1,1,,1000
4,1,106,2,880,92,1,1,,1200
4,1,106,2,880,93,1,1,,1200
4,1,106,2,880,101,1,81,,400
4,1,106,2,880,102,1,81,,450
4,1,106,2,880,103,1,80,,300
4,1,106,2,880,104,1,81,,50
4,1,106,2,880,106,1,900,"geisha",100
4,1,106,2,880,111,1,14,,800
4,1,106,2,880,112,1,900,"Tin",1500
