"zone","state","lga","sector","ea","group_cd","c3q1","c3q2","c3q3","c3q3b","c3q4","c3q5","c3q6"
4,1,102,1,536,301,2,,,,,,
4,1,102,1,536,302,2,,,,,,
4,1,102,1,536,303,2,,,,,,
4,1,102,1,536,304,2,,,,,,
4,1,102,1,536,305,1,1,6,"Two weekly",65,65,12
4,1,102,1,536,306,1,1,6,"When necessary",102,0,35
4,1,102,1,536,307,1,4,6,"When necessary",105,47,25
4,1,102,1,536,308,2,,,,,,
4,1,102,1,536,309,2,,,,,,
4,1,102,1,536,310,2,,,,,,
4,1,102,1,536,311,1,10,3,,110,27,10
4,1,102,1,536,312,2,,,,,,
4,1,102,1,536,313,2,,,,,,
4,1,102,1,536,314,2,,,,,,
4,1,102,1,536,315,2,,,,,,
4,1,102,1,1690,301,2,,,,,,
4,1,102,1,1690,302,2,,,,,,
4,1,102,1,1690,303,2,,,,,,
4,1,102,1,1690,304,2,,,,,,
4,1,102,1,1690,305,1,2,6,"Two weekly",42,42,6
4,1,102,1,1690,306,1,6,6,"When necessary",102,0,8
4,1,102,1,1690,307,1,4,6,"when necessary",75,25,0
4,1,102,1,1690,308,2,,,,,,
4,1,102,1,1690,309,2,,,,,,
4,1,102,1,1690,310,2,,,,,,
4,1,102,1,1690,311,1,12,6,"when necessary",140,30,0
4,1,102,1,1690,312,2,,,,,,
4,1,102,1,1690,313,2,,,,,,
4,1,102,1,1690,314,2,,,,,,
4,1,102,1,1690,315,2,,,,,,
4,1,104,2,1364,301,2,,,,,,
4,1,104,2,1364,302,2,,,,,,
4,1,104,2,1364,303,1,2,1,,20,18,0
4,1,104,2,1364,304,2,,,,,,
4,1,104,2,1364,305,1,1,6,"when necessary",70,70,10
4,1,104,2,1364,306,1,1,6,"when necessary",30,0,23
4,1,104,2,1364,307,1,4,6,"when necessary",86,25,35
4,1,104,2,1364,308,1,1,6,"When necessary",10,7,0
4,1,104,2,1364,309,2,,,,,,
4,1,104,2,1364,310,2,,,,,,
4,1,104,2,1364,311,1,2,6,"when necessary",35,11,7
4,1,104,2,1364,312,2,,,,,,
4,1,104,2,1364,313,2,,,,,,
4,1,104,2,1364,314,2,,,,,,
4,1,104,2,1364,315,2,,,,,,
4,1,105,2,638,301,1,1,6,"when necessary",25,8,5
4,1,105,2,638,302,1,1,6,"When necessary",30,14,7
4,1,105,2,638,303,2,,,,,,
4,1,105,2,638,304,2,,,,,,
4,1,105,2,638,305,1,1,2,,120,120,45
4,1,105,2,638,306,1,1,2,,45,0,45
4,1,105,2,638,307,1,3,6,"When necessary",100,65,35
4,1,105,2,638,308,1,1,6,"When necessary",25,15,7
