"zone","state","lga","sector","ea","activity_cd","c3q2c","c3q3","c3q4","c3q5","c3q6","c3q7","c3q8","c3q9","c3q10","c3q11","c3q12","c3q13"
4,1,102,1,536,1,,1,3,1,2500,2,,2,,1,20000,40
4,1,102,1,536,2,1020,1,3,2,,1,2000,2,,1,18000,30
4,1,102,1,536,3,1120,1,3,2,,1,2000,2,,1,18000,30
4,1,102,1,536,4,1080,1,3,2,,1,2000,2,,1,18000,30
4,1,102,1,536,5,,1,3,2,,1,2000,2,,1,14000,20
4,1,102,1,536,6,,1,3,2,,1,2000,2,,1,18000,30
4,1,102,1,536,7,,2,,,,,,,,,,
4,1,102,1,536,8,,2,,,,,,,,,,
4,1,102,1,536,9,,2,,,,,,,,,,
4,1,102,1,536,10,,2,,,,,,,,,,
4,1,102,1,536,11,,2,,,,,,,,,,
4,1,102,1,536,12,,2,,,,,,,,,,
4,1,102,1,1690,1,,1,3,1,3000,2,,2,,1,20000,30
4,1,102,1,1690,2,1020,1,3,2,,1,2500,2,,1,20000,30
4,1,102,1,1690,3,1080,1,3,2,,1,2500,2,,1,18000,30
4,1,102,1,1690,4,,2,,,,,,,,,,
4,1,102,1,1690,5,,2,,,,,,,,,,
4,1,102,1,1690,6,,2,,,,,,,,,,
4,1,102,1,1690,7,,2,,,,,,,,,,
4,1,102,1,1690,8,,2,,,,,,,,,,
4,1,102,1,1690,9,,2,,,,,,,,,,
4,1,102,1,1690,10,,2,,,,,,,,,,
4,1,102,1,1690,11,,2,,,,,,,,,,
4,1,102,1,1690,12,,2,,,,,,,,,,
4,1,104,2,1364,1,,1,3,1,1500,2,,1,500,1,15000,20
4,1,104,2,1364,2,1110,1,3,1,1500,1,800,1,500,1,15000,30
4,1,104,2,1364,3,1020,1,3,1,1500,1,800,1,500,1,13000,15
4,1,104,2,1364,4,1120,1,3,1,1500,1,800,1,500,1,15000,30
4,1,104,2,1364,5,,2,,,,,,,,,,
4,1,104,2,1364,6,,1,3,1,1500,1,800,1,500,1,15000,30
4,1,104,2,1364,7,1120,1,3,1,1500,1,800,1,500,1,10000,20
4,1,104,2,1364,8,1110,1,3,1,1500,1,800,1,500,1,12000,20
4,1,104,2,1364,9,1080,1,3,2,,1,800,1,400,1,7500,10
4,1,104,2,1364,10,1110,1,3,1,1500,1,800,1,500,1,12000,30
4,1,104,2,1364,11,1020,1,3,1,1200,1,800,1,500,1,10000,20
4,1,104,2,1364,12,1090,1,3,2,,1,600,1,400,1,7000,15
4,1,105,2,638,1,,1,3,1,1300,1,1100,1,800,1,12000,15
4,1,105,2,638,2,1020,1,3,1,1300,1,1100,1,800,1,10000,15
4,1,105,2,638,3,1120,1,3,1,1300,1,1100,1,800,1,10000,20
4,1,105,2,638,4,1020,1,3,1,1300,1,1100,1,800,1,12000,15
4,1,105,2,638,5,,1,3,1,1100,1,1000,1,800,1,7000,10
4,1,105,2,638,6,,1,3,1,1300,1,1100,1,900,1,12000,15
4,1,105,2,638,7,1090,1,3,2,,1,1000,1,800,1,5000,15
4,1,105,2,638,8,1120,1,3,1,1200,1,1000,1,800,1,6000,15
4,1,105,2,638,9,1020,1,3,2,,1,1000,1,800,1,5000,15
4,1,105,2,638,10,1020,1,3,1,1000,1,700,1,700,1,4000,5
4,1,105,2,638,11,3181,1,3,1,2000,1,800,1,800,1,20000,100
4,1,105,2,638,12,1080,1,3,2,,1,700,1,600,1,3500,20
4,1,106,2,880,1,,1,3,1,1500,1,700,1,500,1,5000,20
4,1,106,2,880,2,1020,1,3,1,1500,1,700,1,500,1,5000,20
4,1,106,2,880,3,1120,1,3,1,1500,1,700,1,500,1,5000,20
4,1,106,2,880,4,2160,1,3,1,1500,1,700,1,500,1,5000,10
4,1,106,2,880,5,,1,3,1,1500,1,700,1,500,1,3500,10
