"zone","state","lga","sector","ea","event_type","event_seq","event_cd","event_desc","c6q2","c6q3"
4,1,102,1,536,1,1,2,"Flood",2014,80
4,1,102,1,536,1,4,9,"Power outages",2014,100
4,1,102,1,536,1,3,7,"Massive job lay off",2015,75
4,1,102,1,536,1,2,6,"Sharp changes in prices",2016,100
4,1,102,1,536,2,1,15,"New school",2015,100
4,1,102,1,536,2,2,16,"Improved transportation services",2014,100
4,1,102,1,1690,1,3,10,"Power outages",2015,100
4,1,102,1,1690,1,4,10,"others specify",2014,100
4,1,102,1,1690,1,2,9,"Sharp changes in prices",2016,100
4,1,102,1,1690,1,1,2,"Flood",2014,100
4,1,102,1,1690,2,2,16,"Improved transportation services",2016,100
4,1,102,1,1690,2,3,14,"New road",2015,70
4,1,102,1,1690,2,1,17,"On grid electricity",2015,100
4,1,104,2,1364,1,3,9,"Power outages",2014,100
4,1,104,2,1364,1,1,6,"Sharp change in prices",2016,100
4,1,104,2,1364,1,2,7,"Massive job lay offs",2014,60
4,1,104,2,1364,1,4,2,"Flood",2014,100
4,1,104,2,1364,2,1,16,"Improved  transportation",2015,100
4,1,105,2,638,1,1,2,"Flood",2014,100
4,1,105,2,638,1,4,9,"Power outage",2014,100
4,1,105,2,638,1,3,7,"Massive job layout",2014,60
4,1,105,2,638,1,2,6,"Sharp changes in prices",2014,100
4,1,105,2,638,2,2,13,"New Health Facility",2015,100
4,1,105,2,638,2,1,11,"Dev projects",2014,100
4,1,106,2,880,1,2,8,"Loss of key social Services",2013,100
4,1,106,2,880,1,3,7,"Massive Job lay off",2012,50
4,1,106,2,880,1,1,6,"Sharp change in prices",2015,100
4,1,106,2,880,2,2,13,"New health facility",2014,100
4,1,106,2,880,2,1,13,"""Other good """,2015,100
4,1,107,2,1044,1,3,7,"Massive job lay offs",2015,60
4,1,107,2,1044,1,4,6,"Sharp changes in prices",2016,100
4,1,107,2,1044,1,1,10,"others",2015,100
4,1,107,2,1044,1,2,8,"Loss of key  social services",2014,100
4,1,107,2,1044,2,1,14,"New road",2016,100
4,1,108,2,904,1,2,6,"Sharp changes in prices",2016,100
4,1,108,2,904,1,3,10,"Power outages",2014,100
4,1,108,2,904,1,1,2,"Flood",2015,60
4,1,108,2,904,2,1,14,"New Roads",2014,100
4,1,108,2,904,2,2,11,"New Projects",2014,100
4,1,108,2,904,2,4,16,"Improved transportation services",2016,100
4,1,108,2,904,2,3,12,"New employment Opportunity",2014,20
4,1,110,2,76,1,2,9,"Power outages",2015,100
4,1,110,2,76,1,3,6,"sharp changes in prices",2016,100
4,1,110,2,76,1,1,2,"Flood",2014,25
4,1,110,2,76,2,2,16,"improved transportation",2016,100
4,1,110,2,76,2,1,14,"New road",2016,100
4,1,111,1,1146,1,1,2,"Flood",2015,100
4,1,111,1,1146,1,4,9,"Power outsges",2015,100
4,1,111,1,1146,1,3,9,"Power outages",2014,100
4,1,111,1,1146,1,2,6,"Sharp changes in prices",2016,100
4,1,111,1,1146,2,2,14,"New road",2015,100
4,1,111,1,1146,2,3,17,"On grid electricity",2016,100
4,1,111,1,1146,2,1,16,"Improved transportatioa services",2014,100
4,1,115,1,670,1,1,9,"power outages",2014,100
4,1,115,1,670,1,2,6,"Sharp changes in prices",2016,100
4,1,115,1,670,1,4,7,"Massive job lay off",2014,60
4,1,115,1,670,1,3,6,"sharp change in prices",2015,100
4,1,115,1,670,2,2,17,"On grid electricity",2015,100
4,1,115,1,670,2,4,11,"Dev project",2015,100
4,1,115,1,670,2,3,14,"New road",2015,100
4,1,115,1,670,2,1,16,"Improved transportation services",2015,100
4,1,117,2,560,1,2,6,"Sharp changes in prices",2016,100
4,1,117,2,560,1,3,8,"Loss of key social services",2014,100
4,1,117,2,560,1,1,9,"Power outages",2014,100
4,1,117,2,560,2,2,16,"Improved transportation services",2015,100
4,1,117,2,560,2,1,14,"New road",2016,100
2,2,201,2,60,1,3,1,"Draught",2015,50
2,2,201,2,60,1,2,2,"Fload",2014,70
2,2,201,2,60,1,4,10,"Robbery",2013,20
2,2,201,2,60,1,1,10,"Diversion of project meant for Community",2013,100
2,2,201,2,60,2,1,14,"Road Construction",2015,100
2,2,201,2,60,2,3,15,"New School",2015,100
2,2,201,2,60,2,4,18,"Provision",2014,100
2,2,201,2,60,2,2,13,"New Hospital",2014,100
2,2,203,2,1224,1,1,2,"Flood",2015,50
2,2,203,2,1224,1,2,6,"Inflation",2016,100
2,2,203,2,1224,2,1,13,"New Hospital Block",2015,100
2,2,205,2,712,1,1,10,"Insurgency",2014,80
2,2,205,2,712,1,2,6,"High Cost of Food items",2016,100
2,2,205,2,712,2,1,11,"Provision of new borehole",2013,100
2,2,205,2,712,2,2,17,"Electricity",2016,100
2,2,205,2,712,2,3,14,"Road",2013,100
2,2,207,2,1302,1,2,10,"Insurgency",2014,100
2,2,207,2,1302,1,1,2,"Flood",2015,50
2,2,207,2,1302,2,3,11,"New Borehole",2015,100
2,2,207,2,1302,2,2,11,"Fencing of Health Center",2016,100
2,2,207,2,1302,2,1,15,"Construction of New School",2016,100
2,2,209,2,1040,1,2,6,"Inflation raise",2016,100
2,2,209,2,1040,1,3,10,"Restricion of use of motorcycle",2015,100
2,2,209,2,1040,1,1,1,"Insufficient rainfall",2015,100
2,2,209,2,1040,2,1,17,"Restoration of Electric Power",2015,100
2,2,210,2,1300,1,2,10,"Fulani Cattle Rearers",2014,50
2,2,210,2,1300,1,1,10,"Insurgency",2014,100
2,2,210,2,1300,2,2,11,"New borehole",2014,100
2,2,210,2,1300,2,1,11,"Road Rehabilitation",2013,100
2,2,212,2,956,1,1,1,"Drought",2015,100
2,2,214,2,898,1,1,10,"killings by insurgents",2014,100
2,2,214,2,898,1,2,10,"Destruction of property",2014,100
2,2,214,2,898,1,3,6,"High price of Commodity",2016,100
2,2,214,2,898,2,3,11,"Rehabilitation of Schools",2016,100
2,2,214,2,898,2,1,11,"Rehabilitation of roads",2016,100
2,2,214,2,898,2,2,11,"Construction of new boreholes",2015,100
2,2,215,1,8,1,1,5,"Breakout of Small pox",2013,50
2,2,215,1,8,1,3,10,"Boko Haram activity",2014,100
2,2,215,1,8,1,2,6,"High Cost of Comodity",2016,100
2,2,215,1,8,2,3,17,"Steady power supply",2016,100
2,2,215,1,8,2,1,11,"Construction of new classroom block",2015,100
2,2,215,1,8,2,2,11,"Construction of examination hall",2013,100
2,2,216,2,200,1,2,6,"Inflation",2016,100
2,2,216,2,200,1,1,2,"Flood",2015,90
2,2,216,2,200,2,1,19,"Feeder Road",2015,100
2,2,216,2,200,2,2,19,"Donation of Relief materials",2015,90
2,2,218,2,1592,1,1,2,"Flood",2015,40
2,2,218,2,1592,2,1,19,"Imminization of Children",2015,100
2,2,221,2,18,1,1,2,"Fload",2014,60
2,2,221,2,18,1,4,6,"inflation",2016,100
2,2,221,2,18,1,3,1,"draught",2015,100
2,2,221,2,18,1,2,10,"Robbery",2015,20
2,2,221,2,18,2,2,15,"Construction of Nursery school",2015,100
2,2,221,2,18,2,1,13,"Health Clinic",2015,100
2,2,221,2,18,2,3,11,"Construction Petrol Station",2016,100
2,2,221,2,18,2,4,11,"Expansion of Market",2015,100
5,3,301,1,1198,,2,,"road",,
5,3,301,1,1198,,3,,"price fluctuations",,
5,3,301,1,1198,,1,,"school",,
5,3,301,1,1198,,1,,"crop failure",,
5,3,301,1,1198,,2,,"diseases",,
5,3,301,1,1198,,3,,"culvert",,
5,3,305,2,4,,1,,"electricity",,
5,3,305,2,4,,3,,"natural disaster",,
5,3,305,2,4,,2,,"price fluctuations",,
5,3,305,2,4,,1,,"diseases",,
5,3,305,2,4,,2,,"culvert",,
5,3,305,2,1542,,2,,"natural disaster",,
5,3,305,2,1542,,1,,"diseases",,
5,3,305,2,1542,,3,,"price fluctuations",,
5,3,305,2,1542,,1,,"new  school",,
5,3,305,2,1542,,2,,"culvert",,
5,3,307,1,634,,3,,"culvert",,
5,3,307,1,634,,2,,"road",,
5,3,307,1,634,,2,,"price fluctuations",,
5,3,307,1,634,,1,,"school",,
5,3,307,1,634,,1,,"diseases",,
5,3,309,2,478,,1,,"price fluctuations",,
5,3,309,2,478,,2,,"diseases",,
5,3,309,2,478,,3,,"water",,
5,3,309,2,478,,3,,"natural disaster",,
5,3,309,2,478,,2,,"new road",,
5,3,309,2,478,,1,,"culvert",,
5,3,312,2,20,,1,,"new road",,
5,3,312,2,20,,1,,"crop failures",,
5,3,312,2,20,,2,,"diseases",,
5,3,313,2,70,,2,,"water",,
5,3,313,2,70,,3,,"prices fluctuations",,
5,3,313,2,70,,1,,"crop failure",,
5,3,313,2,70,,2,,"diseases",,
5,3,313,2,70,,1,,"electricity",,
5,3,316,2,874,,1,,"price fluctuations",,
5,3,318,2,1136,,2,,"electricity",,
5,3,318,2,1136,,3,,"natural disaster",,
5,3,318,2,1136,,1,,"road",,
5,3,318,2,1136,,1,,"price fluctuations",,
5,3,318,2,1136,,2,,"diseases",,
5,3,321,2,364,,2,,"new school block",,
5,3,321,2,364,,2,,"natural disaster",,
5,3,321,2,364,,1,,"price fluctuations",,
5,3,321,2,364,,3,,"culvert",,
5,3,321,2,364,,1,,"new road",,
5,3,321,2,364,,3,,"diseases",,
5,3,323,2,580,,1,,"construction of new road",,
5,3,323,2,580,,1,,"price fluctuations",,
5,3,326,2,74,,3,,"price fluctuations",,
5,3,326,2,74,,2,,"water project",,
5,3,326,2,74,,1,,"electricity",,
5,3,326,2,74,,1,,"natural disaster",,
5,3,326,2,74,,2,,"diseases",,
5,3,329,2,696,,2,,"new school",,
5,3,329,2,696,,1,,"new road",,
5,3,329,2,696,,2,,"crop failure",,
5,3,329,2,696,,1,,"price fluctuations",,
5,3,331,1,516,,2,,"new school block",,
5,3,331,1,516,,1,,"price fluctuations",,
5,3,331,1,516,,2,,"diseases",,
5,3,331,1,516,,3,,"natural disaster",,
5,3,331,1,516,,1,,"new road",,
5,3,331,1,2322,,1,,"price fluctuations",,
5,3,331,1,2322,,1,,"new road",,
4,4,401,1,738,1,1,1,"Drought  01",2013,76
4,4,401,1,738,1,2,3,"Crop  Disease/Pests  03",2012,75
4,4,401,1,738,1,3,4,"Livestock  Disease  04",2014,70
4,4,401,1,738,1,4,6,"Sharp  Change  In  Prices  06",2014,90
4,4,401,1,738,2,3,14,"New  Road  14",2013,70
4,4,401,1,738,2,1,11,"Development  Project   11",2011,65
4,4,401,1,738,2,2,13,"New  Health  Facility  13",2013,68
4,4,401,1,738,2,4,16,"Improved  Transportation Service  16",2012,70
4,4,401,1,1460,1,2,3,"Crop Disease/Pests  03",2014,77
4,4,401,1,1460,1,1,1,"Drought  01",2013,70
4,4,401,1,1460,1,4,6,"Sharp Change in prices  06",2014,80
4,4,401,1,1460,1,3,4,"Livestock Disease  04",2013,65
4,4,401,1,1460,2,1,11,"Development Project  11",2012,60
4,4,401,1,1460,2,2,13,"New Health Facility  13",2013,70
4,4,401,1,1460,2,4,16,"Improved Transportation Services  16",2012,70
4,4,401,1,1460,2,3,14,"New Road  14",2012,62
4,4,401,2,2106,1,4,6,"Sharp change in prices 06",2014,80
4,4,401,2,2106,1,1,1,"Drought  01",2012,65
4,4,401,2,2106,1,2,3,"Crop disease/pests  03",2013,58
4,4,401,2,2106,1,3,4,"Livestock disease04",2012,64
4,4,401,2,2106,2,4,16,"Improved Transportation services 16",2015,80
4,4,401,2,2106,2,1,11,"Development project 11",2015,85
4,4,401,2,2106,2,3,13,"New Health Facility 13",2013,60
4,4,401,2,2106,2,2,14,"New Road 14",2014,74
4,4,402,2,1080,1,2,3,"crop disease 03",2015,35
4,4,402,2,1080,1,4,9,"power outage 09",2016,100
4,4,402,2,1080,1,3,6,"sharp change in prices 06",2016,100
4,4,402,2,1080,1,1,4,"livestock disease 04",2015,35
4,4,402,2,1080,2,3,11,"development project 11",2013,70
4,4,402,2,1080,2,4,14,"new road 14",2014,15
4,4,402,2,1080,2,2,13,"new health facility 13",2014,60
4,4,402,2,1080,2,1,16,"improved transportation services 16",2013,50
4,4,403,2,836,1,3,6,"sharp change in prices 06",2016,100
4,4,403,2,836,1,2,2,"flood 02",2014,100
4,4,403,2,836,1,4,9,"power outage 06",2016,70
4,4,403,2,836,1,1,1,"drought 01",2014,90
4,4,403,2,836,2,2,13,"new health facility 13",2013,40
4,4,403,2,836,2,3,14,"new road 14",2013,47
4,4,403,2,836,2,4,16,"improved transportation services 16",2014,60
4,4,403,2,836,2,1,11,"development project 11",2013,50
4,4,405,2,484,1,3,3,"Crop Disease/Pests  03",2014,78
4,4,405,2,484,1,1,1,"Drought   01",2013,78
4,4,405,2,484,1,2,2,"Flood  02",2012,68
4,4,405,2,484,1,4,4,"Livestock  Disease  04",2014,80
4,4,405,2,484,2,2,13,"New  Health  Facility  13",2013,80
4,4,405,2,484,2,4,16,"Improved Transportation Services  16",2012,60
4,4,405,2,484,2,1,11,"Development  Project  11",2011,60
4,4,405,2,484,2,3,14,"New  Road  14",2014,70
4,4,405,2,722,1,3,4,"Livestock disease  04",2014,40
4,4,405,2,722,1,1,1,"drought  01",2011,50
4,4,405,2,722,1,4,6,"sharp change in price 06",2014,60
4,4,405,2,722,1,2,3,"crop disease  03",2012,45
4,4,405,2,722,2,2,14,"new road 14",2013,75
4,4,405,2,722,2,1,11,"development project 11",2013,80
4,4,405,2,722,2,3,13,"new health facility 13",2013,80
4,4,405,2,722,2,4,16,"improved transportation services 16",2014,75
4,4,407,2,796,1,2,3,"Crop disease/pests  03",2013,50
4,4,407,2,796,1,1,1,"Drought  01",2012,55
4,4,407,2,796,1,3,4,"Livestock disease 04",2013,60
4,4,407,2,796,1,4,5,"Human Epidemic disease 05",2011,45
4,4,407,2,796,2,1,11,"Development project  11",2012,75
4,4,407,2,796,2,3,14,"New road  14",2014,80
4,4,407,2,796,2,4,16,"Improved transportation services  16",2012,78
4,4,407,2,796,2,2,13,"New health facility  13",2011,58
4,4,410,1,3192,1,1,1,"Drought   01",2012,76
4,4,410,1,3192,1,4,6,"Sharp  Change In Prices  06",2012,85
4,4,410,1,3192,1,2,3,"Crop Disease/Pests  03",2013,70
4,4,410,1,3192,1,3,4,"Livestock  Disease  04",2014,76
4,4,410,1,3192,2,3,14,"New  Road  14",2013,65
4,4,410,1,3192,2,2,13,"New  Health Facility  13",2013,75
4,4,410,1,3192,2,1,11,"Development  Project  11",2012,60
4,4,410,1,3192,2,4,16,"Improved Transportation Services  16",2014,66
4,4,410,1,3414,1,1,1,"Drought  01",2013,78
4,4,410,1,3414,1,4,6,"Shsrp  Change  In  Prices  06",2014,88
4,4,410,1,3414,1,3,4,"Livestock  Disease  04",2014,80
4,4,410,1,3414,1,2,3,"Crop  Disease/Pest  03",2012,70
4,4,410,1,3414,2,2,13,"New  Health  Facility  13",2012,75
4,4,410,1,3414,2,3,14,"New  Road  14",2013,65
4,4,410,1,3414,2,4,16,"Improved  Transportation  Services  16",2013,68
4,4,410,1,3414,2,1,11,"Development  Project  11",2013,60
4,4,410,2,4036,1,1,2,"flood 02",2013,30
4,4,410,2,4036,1,3,9,"power outage 09",2016,93
4,4,410,2,4036,1,4,7,"massive job lay offs 07",2014,50
4,4,410,2,4036,1,2,6,"sharp change in prices 06",2016,100
4,4,410,2,4036,2,2,13,"new health facility 13",2013,75
4,4,410,2,4036,2,4,14,"new road 14",2013,73
4,4,410,2,4036,2,3,16,"improved transportation services 16",2013,80
4,4,410,2,4036,2,1,11,"development project 11",2013,60
4,4,411,1,1486,1,4,2,"Flood 02",2014,50
4,4,411,1,1486,1,2,9,"Power Outage 09",2014,80
4,4,411,1,1486,1,3,4,"Livestock Disease 04",2013,40
4,4,411,1,1486,1,1,6,"Sharp Change in prices 06",2016,100
4,4,411,1,1486,2,2,13,"New health facility 14",2013,30
4,4,411,1,1486,2,1,11,"Development project 11",2013,40
4,4,411,1,1486,2,4,14,"New road 14",2013,20
4,4,411,1,1486,2,3,16,"Improved transportation services 16",2014,70
4,4,412,2,1606,1,2,9,"power outage 09",2016,100
4,4,412,2,1606,1,4,3,"crop disease 03",2014,50
4,4,412,2,1606,1,1,6,"sharp change in prices 06",2016,100
4,4,412,2,1606,1,3,1,"drought 01",2013,41
4,4,412,2,1606,2,4,14,"new road 14",2013,20
4,4,412,2,1606,2,3,16,"improved transportation services 16",2013,40
4,4,412,2,1606,2,1,13,"new health facility 13",2013,62
4,4,412,2,1606,2,2,11,"development project 11",2014,70
4,4,412,2,2592,1,2,3,"crop disease 03",2013,42
4,4,412,2,2592,1,3,6,"sharp change in prices 06",2016,100
4,4,412,2,2592,1,4,9,"power outage 09",2015,95
4,4,412,2,2592,1,1,1,"drought 01",2014,50
4,4,412,2,2592,2,3,11,"development project 11",2013,70
4,4,412,2,2592,2,1,13,"new health facility13",2013,38
4,4,412,2,2592,2,2,16,"improved transportation services 16",2014,80
4,4,412,2,2592,2,4,14,"new road 14",2013,23
4,4,413,2,1540,1,3,4,"Livestock Disease  04",2013,68
4,4,413,2,1540,1,1,1,"Drought  01",2013,65
4,4,413,2,1540,1,4,6,"Sharp Change In Prices  06",2014,85
4,4,413,2,1540,1,2,3,"Crop Disease/Pest  03",2014,70
4,4,413,2,1540,2,4,16,"Improved Transportation  Services  16",2014,50
4,4,413,2,1540,2,2,13,"New Health Facility  13",2015,70
4,4,413,2,1540,2,1,11,"Development Project  11",2014,65
4,4,413,2,1540,2,3,14,"New Road  14",2012,55
4,4,414,1,2176,1,3,2,"flood 02",2014,20
4,4,414,1,2176,1,1,6,"sharp change in prices 06",2016,100
4,4,414,1,2176,1,2,9,"power outage 09",2016,100
4,4,414,1,2176,1,4,1,"drought 01",2015,33
4,4,414,1,2176,2,2,16,"improved transportation services 16",2013,100
4,4,414,1,2176,2,1,11,"development project 11",2013,30
4,4,414,1,2176,2,4,14,"new road 14",2014,29
4,4,414,1,2176,2,3,13,"new health facility 13",2014,50
4,4,415,1,2108,1,2,3,"crop disease 03",2014,25
4,4,415,1,2108,1,3,6,"sharp change in prices 06",2016,100
4,4,415,1,2108,1,1,2,"flood 02",2014,21
4,4,415,1,2108,1,4,9,"power outage 09",2015,100
4,4,415,1,2108,2,1,11,"development project 11",2014,45
4,4,415,1,2108,2,2,13,"new health facility13",2014,53
4,4,415,1,2108,2,4,16,"improved transportation servicrs16",2013,75
4,4,415,1,2108,2,3,14,"new road14",2014,60
4,4,416,1,616,1,3,6,"Sharp change in prices 06",2016,100
4,4,416,1,616,1,1,1,"Drought 01",2013,20
4,4,416,1,616,1,2,2,"Flood 02",2014,34
4,4,416,1,616,1,4,9,"Power Outage 09",2014,90
4,4,416,1,616,2,3,16,"Improved Transportation services 16",2014,100
4,4,416,1,616,2,2,14,"New road 14",2013,80
4,4,416,1,616,2,4,13,"New health facility13",2014,50
4,4,416,1,616,2,1,11,"Development project 11",2013,90
4,4,417,1,678,1,1,1,"Drought 01",2014,50
4,4,417,1,678,1,2,2,"Flood 02",2014,55
4,4,417,1,678,1,4,9,"Power Outage 09",2014,100
4,4,417,1,678,1,3,6,"Sharp Change in prices 06",2015,100
4,4,417,1,678,2,2,14,"New road 14",2013,51
4,4,417,1,678,2,3,13,"New health facility 13",2013,80
4,4,417,1,678,2,1,11,"Development project 11",2013,40
4,4,417,1,678,2,4,16,"Improved transportation services 16",2014,70
4,4,418,1,44,1,3,2,"Flood 02",2014,35
4,4,418,1,44,1,4,1,"Drought 01",2014,40
4,4,418,1,44,1,1,6,"Sharp change in prices 06",2016,85
4,4,418,1,44,1,2,9,"Power outage 09",2015,90
4,4,418,1,44,2,3,14,"New road 14",2013,69
4,4,418,1,44,2,4,16,"Improved transportation services 16",2013,80
4,4,418,1,44,2,1,11,"Development project 11",2013,50
4,4,418,1,44,2,2,14,"New health facility 13",2013,75
4,4,419,2,296,1,1,1,"Drought  01",2013,75
4,4,419,2,296,1,3,4,"Livestock Disease  04",2013,77
4,4,419,2,296,1,2,3,"Crop Disease/Pests  03",2014,70
4,4,419,2,296,1,4,6,"Sharp change in prices  06",2015,90
4,4,419,2,296,2,3,14,"New Road  14",2013,65
4,4,419,2,296,2,2,13,"New Health Facility 13",2013,80
4,4,419,2,296,2,4,16,"Improved Transportation services  16",2012,65
4,4,419,2,296,2,1,11,"Development Project 11",2014,72
4,4,421,1,800,1,3,4,"Livestock  Disease  04",2014,80
4,4,421,1,800,1,4,6,"Sharp Change In Prices  06",2014,85
4,4,421,1,800,1,2,3,"Crop  Disease/Pests  03",2013,70
4,4,421,1,800,1,1,1,"Drought  01",2012,75
4,4,421,1,800,2,2,13,"New  Health  Facility  13",2013,78
4,4,421,1,800,2,3,14,"New  Road  14",2012,70
4,4,421,1,800,2,1,11,"Development  Project  11",2012,65
4,4,421,1,800,2,4,16,"Improved  Transportation  Service  16",2012,80
2,5,501,2,60,1,3,7,"lack ofwater",2011,30
2,5,501,2,60,1,1,10,"security threat",2014,20
2,5,501,2,60,1,2,9,"power outage",2012,70
2,5,501,2,60,2,1,14,"Road network",2011,80
2,5,501,2,60,2,2,11,"mobile network",2015,60
2,5,502,1,2194,1,3,9,"power outage",2014,58
2,5,502,1,2194,1,1,7,"laid off job",2015,20
2,5,502,1,2194,1,2,2,"lack of drainage",2014,10
2,5,502,1,2194,2,1,12,"communications",2010,30
2,5,502,1,2194,2,4,13,"improved under five clinic",2012,15
2,5,502,1,2194,2,2,16,"transportation",2011,40
2,5,502,1,2194,2,3,15,"secondary school",2010,20
2,5,502,2,3878,1,1,2,"flood",2013,30
2,5,502,2,3878,1,2,8,"lack of school",2000,98
2,5,502,2,3878,2,2,19,"communication",2000,25
2,5,502,2,3878,2,1,16,"Transportation",2009,30
2,5,504,2,708,,1,,"construction of borhole",,
2,5,506,2,830,1,1,2,"flood",2014,20
2,5,506,2,830,1,2,9,"power outage",2013,15
2,5,506,2,830,2,2,16,"improved transportation",2012,60
2,5,506,2,830,2,1,11,"overhead water tank",2014,80
2,5,508,2,718,1,1,2,"flood",2014,30
2,5,508,2,718,1,3,9,"power outage",2013,50
2,5,508,2,718,1,2,10,"insurgency activities",2015,20
2,5,508,2,718,2,3,16,"improved transportation service",2012,80
2,5,508,2,718,2,2,11,"communication service",2012,45
2,5,508,2,718,2,1,13,"maternity",2013,80
2,5,508,2,984,1,2,5,"Epidemics",2015,15
2,5,508,2,984,1,1,2,"Flood",2014,50
2,5,508,2,984,2,1,15,"primary school",2012,20
2,5,508,2,984,2,2,13,"healthcare",2011,60
2,5,510,1,872,1,1,7,"conflicts",2010,1
2,5,510,1,872,2,1,19,"peaceful conduct of election",2015,95
2,5,510,2,1516,1,1,2,"none",2013,22
2,5,510,2,1516,2,1,13,"political stability",2014,58
2,5,513,2,348,1,2,4,"death of Animals",2014,15
2,5,513,2,348,1,3,7,"unemployment",2013,12
2,5,513,2,348,1,1,2,"flood",2015,30
2,5,513,2,348,2,2,16,"Transportation improvement",2013,50
2,5,513,2,348,2,1,11,"mosque building",2014,80
2,5,514,2,710,1,1,10,"political violence",2015,2
2,5,514,2,710,2,1,12,"peace full conduct of election",2013,12
2,5,514,1,2036,1,1,6,"political cricise",2015,5
2,5,514,1,2036,2,1,16,"security of life",2016,99
2,5,515,2,18,1,1,10,"Stealing",2015,20
2,5,515,2,18,1,2,10,"Robbery",2015,10
2,5,515,2,18,2,1,19,"security of life",2015,60
2,5,516,2,942,1,1,10,"Tribal conflicts",2012,1
2,5,516,2,942,2,1,19,"Camper harvest",2013,89
2,5,518,2,1304,1,3,8,"breakdown of bridge",2013,95
2,5,518,2,1304,1,1,2,"overflood",2015,60
2,5,518,2,1304,1,2,10,"cattle theft",2015,20
2,5,518,2,1304,2,1,15,"secondary school",2015,30
2,5,518,2,1304,2,2,13,"Health centre",2015,80
2,5,518,2,1304,2,3,11,"bore hole",2015,98
2,5,518,2,1588,1,3,8,"lack of school",2000,80
2,5,518,2,1588,1,2,8,"transportation",1999,95
2,5,518,2,1588,1,1,10,"insurgency",2015,55
2,5,518,2,1588,2,3,19,"Agro chemical s",2008,60
2,5,518,2,1588,2,1,11,"borehole",2013,96
2,5,518,2,1588,2,2,19,"GSM",2010,20
2,5,520,2,1756,1,1,10,"non",,99
2,5,520,2,1756,2,1,19,"peaceful conduct of elections",2015,90
5,6,601,2,640,1,1,6,"Sea pirates  and sea robbery.",2015,100
5,6,601,2,640,2,1,16,"roadnetwork",2008,80
5,6,601,2,640,2,2,12,"constant electricity",2009,100
5,6,602,2,1356,1,1,10,"Transportation",2012,80
5,6,602,2,1356,1,2,8,"Lack of employment",2007,80
5,6,602,2,1356,2,1,18,"Electricity",2008,96
