"zone","state","lga","sector","ea","c6aq12a","c6aq12b","c6aq12c","c6aq12d"
"south east","abia","aba south","urban",536,3,2,2,5
"south east","abia","aba south","urban",1690,2,2,2,5
"south south","akwa ibom","abak","urban",1198,1,1,2,4
"south east","ebonyi","abakaliki","rural",154,3,3,4,4
"south west","ogun","abeokuta north","urban",506,2,2,1,3
"south east","imo","aboh mbaise","rural",954,4,4,1,4
"south south","rivers","abua-odua","rural",2034,2,1,2,3
"north central","kogi","adavi","rural",422,2,1,2,3
"south west","ekiti","ado ekiti","urban",1206,2,2,2,5
"south west","ogun","ado-odo/ota","urban",1076,3,3,2,4
"south west","ogun","ado-odo/ota","urban",1612,4,3,4,3
"north central","benue","ador","rural",606,4,4,1,3
"south east","ebonyi","afikpo north","rural",936,3,2,4,4
"north central","niger","agaie","rural",822,2,1,1,4
"north central","benue","agatu","rural",632,1,1,5,2
"south west","lagos","agege","urban",766,2,3,1,5
"south east","anambra","aguata","urban",738,3,3,2,3
"south east","anambra","aguata","urban",1460,2,2,2,3
"south east","anambra","aguata","rural",2106,3,3,2,3
"south east","imo","ahiazu mbaise","rural",1576,2,3,2,5
"south south","rivers","ahoada east","rural",84,2,2,2,3
"south south","rivers","ahoada west","rural",2644,2,2,2,3
"north west","kano","ajingi","rural",640,2,2,2,5
"south west","oyo","akinyele","urban",1264,2,2,1,4
"south west","oyo","akinyele","urban",1310,2,4,1,4
"south west","ondo","akoko north west","rural",566,2,3,2,4
"south west","ondo","akoko south west","urban",340,2,2,2,3
"south south","cross river","akpabuyo","rural",48,1,4,1,5
"south south","rivers","akuku-toru","urban",346,2,1,2,3
"south west","ondo","akure south","urban",164,2,2,1,4
"south west","ondo","akure south","urban",802,2,1,1,4
"north west","kano","albasu","rural",52,2,2,1,4
"south west","lagos","alimosho","urban",674,3,3,1,3
"south west","lagos","alimosho","urban",1588,2,3,2,5
"south west","lagos","alimosho","urban",3592,1,3,1,5
"south west","lagos","alimosho","urban",7586,2,3,2,5
"north east","bauchi","alkaleri","rural",60,2,1,3,2
"south east","anambra","anambra east","rural",1080,2,2,2,4
"south east","anambra","anambra west","rural",836,1,1,4,5
"south east","enugu","aniniri","rural",1116,2,2,2,3
"south south","delta","aniocha north","rural",172,2,4,2,4
"north west","zamfara","anka","rural",1214,2,2,2,4
"north central","kogi","ankpa","rural",266,2,2,3,3
"north central","kogi","ankpa","rural",530,4,5,2,2
"south west","lagos","apapa","urban",134,1,4,1,4
"north east","taraba","ardo-kola","rural",526,2,2,2,3
"north west","kebbi","arewa","rural",1124,3,3,2,5
"south south","rivers","asari-toru","rural",276,1,1,1,4
"north east","borno","asikira/uba","rural",1152,,,,
"south west","osun","atakumosa west","urban",1028,2,5,1,4
"south west","oyo","atigbo","rural",216,4,4,1,4
"north central","nasarawa","awe","rural",728,3,3,2,3
"south east","anambra","awka north","rural",484,2,3,2,3
"south east","anambra","awka north","rural",722,2,2,2,3
"south east","anambra","ayamelum","rural",796,3,3,2,3
"north west","jigawa","babura","rural",510,2,2,1,4
"north east","yobe","bade","urban",702,2,2,1,4
"north east","yobe","bade","rural",1228,3,2,4,3
"north west","katsina","bakori","rural",1354,1,2,2,2
"north east","gombe","balanga","rural",590,5,5,2,4
"north east","borno","bama","urban",944,,,,
