"zone","state","lga","sector","ea","item_cd","c8q1","c8q2","c8q2b","c8q3"
4,1,102,1,536,10,1,13,,35
4,1,102,1,536,11,1,13,,35
4,1,102,1,536,13,1,13,,50
4,1,102,1,536,14,1,13,,70
4,1,102,1,536,19,1,1,,300
4,1,102,1,536,22,1,13,,30
4,1,102,1,536,25,1,80,,60
4,1,102,1,536,26,1,80,,50
4,1,102,1,536,27,1,80,,20
4,1,102,1,536,28,1,120,,10
4,1,102,1,536,29,1,80,,50
4,1,102,1,536,31,1,80,,120
4,1,102,1,536,32,1,13,,20
4,1,102,1,536,33,1,13,,20
4,1,102,1,536,34,1,90,,100
4,1,102,1,536,35,1,110,,600
4,1,102,1,536,36,1,90,,200
4,1,102,1,536,38,1,80,,50
4,1,102,1,536,40,1,13,,40
4,1,102,1,536,41,1,13,,60
4,1,102,1,536,42,1,13,,60
4,1,102,1,536,44,1,13,,50
4,1,102,1,536,46,1,80,,50
4,1,102,1,536,47,1,90,,50
4,1,102,1,536,50,1,3,,300
4,1,102,1,536,51,1,120,,250
4,1,102,1,536,52,1,3,,300
4,1,102,1,536,60,1,100,,100
4,1,102,1,536,61,1,90,,50
4,1,102,1,536,62,1,81,,50
4,1,102,1,536,63,1,81,,50
4,1,102,1,536,64,1,81,,200
4,1,102,1,536,65,1,900,"one can",100
4,1,102,1,536,66,1,90,,50
4,1,102,1,536,67,1,81,,100
4,1,102,1,536,68,1,81,,250
4,1,102,1,536,69,1,80,,50
4,1,102,1,536,80,1,1,,1000
4,1,102,1,536,82,1,1,,1000
4,1,102,1,536,83,1,80,,25
4,1,102,1,536,84,1,80,,50
4,1,102,1,536,90,1,1,,1100
4,1,102,1,536,93,1,1,,1000
4,1,102,1,536,101,1,81,,250
4,1,102,1,536,102,1,81,,300
4,1,102,1,536,103,1,90,,200
4,1,102,1,536,105,1,90,,100
4,1,102,1,536,106,1,900,"one can",120
4,1,102,1,536,111,1,120,,20
4,1,102,1,536,112,1,900,"one 450g tin",1500
4,1,102,1,536,113,1,900,"1 Tin",130
4,1,102,1,536,115,1,120,,50
4,1,102,1,536,120,1,120,,50
4,1,102,1,536,121,1,120,,40
4,1,102,1,536,122,1,120,,200
4,1,102,1,536,130,1,120,,250
4,1,102,1,536,131,1,900,"1 bottle",450
4,1,102,1,536,132,1,900,"one 75cl bottle",1000
4,1,102,1,536,133,1,900,"one item",10
4,1,102,1,536,140,1,120,,20
4,1,102,1,536,141,1,120,,30
4,1,102,1,536,142,1,13,,600
4,1,102,1,536,144,1,900,"one tie",20
4,1,102,1,536,145,1,13,,120
4,1,102,1,536,147,1,13,,140
4,1,102,1,536,150,1,3,,80
4,1,102,1,536,151,1,120,,10
4,1,102,1,536,152,1,900,"one bottle",100
4,1,102,1,536,153,1,900,"one bottle",60
4,1,102,1,536,154,1,3,,280
4,1,102,1,536,155,1,900,"one bottle",650
4,1,102,1,1690,10,1,13,,35
4,1,102,1,1690,11,1,13,,35
4,1,102,1,1690,13,1,13,,60
4,1,102,1,1690,14,1,13,,80
4,1,102,1,1690,17,1,1,,400
4,1,102,1,1690,19,1,1,,300
4,1,102,1,1690,21,1,81,,50
4,1,102,1,1690,22,1,13,,30
4,1,102,1,1690,25,1,80,,100
4,1,102,1,1690,26,1,80,,50
4,1,102,1,1690,27,1,80,,20
4,1,102,1,1690,28,1,120,,10
4,1,102,1,1690,29,1,80,,50
4,1,102,1,1690,30,1,91,,1200
4,1,102,1,1690,31,1,80,,120
4,1,102,1,1690,32,1,13,,20
4,1,102,1,1690,33,1,13,,20
4,1,102,1,1690,34,1,90,,100
4,1,102,1,1690,35,1,110,,700
4,1,102,1,1690,36,1,90,,100
4,1,102,1,1690,38,1,80,,50
4,1,102,1,1690,40,1,13,,40
4,1,102,1,1690,41,1,13,,60
4,1,102,1,1690,42,1,13,,50
4,1,102,1,1690,44,1,13,,50
4,1,102,1,1690,45,1,13,,100
4,1,102,1,1690,46,1,80,,40
4,1,102,1,1690,47,1,90,,50
4,1,102,1,1690,50,1,3,,300
4,1,102,1,1690,51,1,120,,250
4,1,102,1,1690,52,1,120,,50
4,1,102,1,1690,60,1,100,,100
4,1,102,1,1690,61,1,90,,50
4,1,102,1,1690,62,1,81,,50
4,1,102,1,1690,63,1,81,,50
4,1,102,1,1690,64,1,81,,200
4,1,102,1,1690,65,1,900,"one can",100
4,1,102,1,1690,66,1,90,,50
4,1,102,1,1690,67,1,81,,100
4,1,102,1,1690,68,1,81,,250
4,1,102,1,1690,69,1,80,,50
4,1,102,1,1690,80,1,1,,1000
4,1,102,1,1690,82,1,1,,1000
4,1,102,1,1690,83,1,81,,30
4,1,102,1,1690,84,1,80,,60
4,1,102,1,1690,90,1,1,,1200
4,1,102,1,1690,93,1,1,,1300
4,1,102,1,1690,95,1,900,"one canned beef",500
4,1,102,1,1690,101,1,81,,250
4,1,102,1,1690,102,1,81,,300
4,1,102,1,1690,103,1,90,,200
4,1,102,1,1690,104,1,90,,200
4,1,102,1,1690,105,1,90,,100
4,1,102,1,1690,106,1,900,"one can",100
4,1,102,1,1690,111,1,120,,50
4,1,102,1,1690,112,1,900,"one 450g tin",1450
4,1,102,1,1690,113,1,900,"1 Tin",140
4,1,102,1,1690,115,1,120,,20
4,1,102,1,1690,120,1,120,,50
4,1,102,1,1690,121,1,120,,50
4,1,102,1,1690,122,1,120,,180
4,1,102,1,1690,130,1,120,,240
4,1,102,1,1690,131,1,900,"one jam bottle",400
4,1,102,1,1690,132,1,900,"one 75cl bottle",1000
4,1,102,1,1690,133,1,120,,120
4,1,102,1,1690,140,1,120,,20
4,1,102,1,1690,141,1,120,,30
4,1,102,1,1690,142,1,13,,550
4,1,102,1,1690,144,1,13,,150
4,1,102,1,1690,145,1,13,,120
4,1,102,1,1690,146,1,13,,60
4,1,102,1,1690,147,1,13,,140
4,1,102,1,1690,150,1,3,,100
4,1,102,1,1690,151,1,120,,10
4,1,102,1,1690,152,1,900,"one malt bottle",100
4,1,102,1,1690,153,1,900,"one coke bottle",60
4,1,102,1,1690,154,1,3,,250
4,1,102,1,1690,155,1,900,"one 75cl bottle",600
4,1,102,1,1690,601,1,90,,50
4,1,104,2,1364,13,1,13,,50
4,1,104,2,1364,14,1,13,,70
4,1,104,2,1364,21,1,80,,50
4,1,104,2,1364,22,1,13,,50
4,1,104,2,1364,25,1,80,,100
4,1,104,2,1364,26,1,80,,50
4,1,104,2,1364,27,1,80,,20
4,1,104,2,1364,28,1,120,,10
4,1,104,2,1364,29,1,80,,50
4,1,104,2,1364,30,1,90,,600
4,1,104,2,1364,31,1,80,,120
4,1,104,2,1364,32,1,13,,15
4,1,104,2,1364,33,1,13,,15
4,1,104,2,1364,34,1,90,,100
4,1,104,2,1364,35,1,110,,600
4,1,104,2,1364,36,1,91,,200
4,1,104,2,1364,41,1,13,,50
4,1,104,2,1364,42,1,13,,50
4,1,104,2,1364,44,1,13,,50
4,1,104,2,1364,45,1,90,,50
4,1,104,2,1364,46,1,80,,50
4,1,104,2,1364,47,1,90,,50
4,1,104,2,1364,48,1,900,"one wrap",50
4,1,104,2,1364,50,1,3,,300
4,1,104,2,1364,51,1,120,,250
4,1,104,2,1364,52,1,3,,320
4,1,104,2,1364,60,1,100,,100
4,1,104,2,1364,61,1,80,,10
4,1,104,2,1364,64,1,80,,100
4,1,104,2,1364,65,1,900,"one can",100
4,1,104,2,1364,66,1,90,,50
4,1,104,2,1364,67,1,80,,50
4,1,104,2,1364,68,1,81,,250
4,1,104,2,1364,80,1,1,,1000
4,1,104,2,1364,83,1,80,,30
4,1,104,2,1364,84,1,80,,60
4,1,104,2,1364,90,1,1,,1000
4,1,104,2,1364,93,1,1,,1000
4,1,104,2,1364,94,1,1,,1200
4,1,104,2,1364,101,1,81,,400
4,1,104,2,1364,102,1,80,,200
4,1,104,2,1364,103,1,90,,200
4,1,104,2,1364,105,1,90,,100
4,1,104,2,1364,106,1,900,"one can",120
4,1,104,2,1364,111,1,120,,20
4,1,104,2,1364,112,1,900,"1 Tin",1500
4,1,104,2,1364,113,1,900,"1 Tin",150
4,1,104,2,1364,115,1,120,,40
4,1,104,2,1364,120,1,120,,50
4,1,104,2,1364,121,1,120,,40
4,1,104,2,1364,122,1,120,,200
4,1,104,2,1364,130,1,120,,250
4,1,104,2,1364,133,1,900,"one sweet",10
4,1,104,2,1364,140,1,120,,20
4,1,104,2,1364,141,1,120,,30
4,1,104,2,1364,142,1,13,,500
4,1,104,2,1364,144,1,900,"a tie",20
4,1,104,2,1364,145,1,13,,100
4,1,104,2,1364,146,1,13,,60
4,1,104,2,1364,147,1,13,,120
4,1,104,2,1364,150,1,3,,100
