"zone","state","lga","sector","ea","item_cd","c8q1","c8q2","c8q2b","c8q3"
4,1,102,1,536,70,1,91,,100
4,1,102,1,536,71,1,900,"one can",40
4,1,102,1,536,72,1,90,,50
4,1,102,1,536,73,1,90,,50
4,1,102,1,536,74,1,90,,50
4,1,102,1,536,76,1,90,,50
4,1,102,1,536,77,1,90,,20
4,1,102,1,536,79,1,100,,100
4,1,102,1,536,160,1,900,"one bottle",150
4,1,102,1,536,161,1,900,"one beer bottle",100
4,1,102,1,536,163,1,900,"one gin bottle",550
4,1,102,1,536,164,1,900,"one bottle",1200
4,1,102,1,1690,70,1,91,,100
4,1,102,1,1690,71,1,900,"one can",40
4,1,102,1,1690,72,1,90,,50
4,1,102,1,1690,73,1,90,,50
4,1,102,1,1690,74,1,90,,50
4,1,102,1,1690,76,1,90,,50
4,1,102,1,1690,77,1,13,,100
4,1,102,1,1690,79,1,100,,100
4,1,102,1,1690,160,1,900,"one bottle",150
4,1,102,1,1690,161,1,900,"One 75cl bottle",100
4,1,102,1,1690,163,1,900,"one gin bottle",550
4,1,102,1,1690,164,1,900,"One 75cl bottle",1300
4,1,104,2,1364,70,1,90,,100
4,1,104,2,1364,71,1,900,"one can",50
4,1,104,2,1364,72,1,90,,50
4,1,104,2,1364,73,1,90,,50
4,1,104,2,1364,74,1,90,,50
4,1,104,2,1364,75,1,90,,50
4,1,104,2,1364,76,1,90,,50
4,1,104,2,1364,77,1,90,,20
4,1,104,2,1364,79,1,100,,50
4,1,104,2,1364,160,1,900,"one bottle",200
4,1,104,2,1364,163,1,900,"one gin bottle",600
4,1,104,2,1364,164,1,900,"one bottle",1200
4,1,105,2,638,70,1,90,,100
4,1,105,2,638,71,1,900,"One tin",50
4,1,105,2,638,72,1,90,,50
4,1,105,2,638,73,1,90,,50
4,1,105,2,638,74,1,90,,50
4,1,105,2,638,76,1,90,,50
4,1,105,2,638,77,1,90,,20
4,1,105,2,638,79,1,100,,50
4,1,105,2,638,160,1,900,"one bottle",200
4,1,105,2,638,161,1,900,"""one beer bottle """,100
4,1,105,2,638,163,1,900,"one gin bottle",600
4,1,105,2,638,164,1,900,"one bottle",1000
4,1,106,2,880,13,1,13,".",40
4,1,106,2,880,14,1,13,".",60
4,1,106,2,880,19,1,1,".",300
4,1,106,2,880,21,1,80,".",50
4,1,106,2,880,22,1,13,".",40
4,1,106,2,880,30,1,91,,1200
4,1,106,2,880,31,1,80,,120
4,1,106,2,880,32,1,13,,15
4,1,106,2,880,33,1,13,,15
4,1,106,2,880,34,1,90,,100
4,1,106,2,880,35,1,110,,500
4,1,106,2,880,36,1,90,,200
4,1,106,2,880,38,1,80,,50
4,1,106,2,880,40,1,13,,50
4,1,106,2,880,41,1,13,,50
4,1,106,2,880,42,1,13,,50
4,1,106,2,880,44,1,13,,50
4,1,106,2,880,45,1,13,,60
4,1,106,2,880,46,1,80,,40
4,1,106,2,880,47,1,80,,20
4,1,106,2,880,50,1,3,,250
4,1,106,2,880,51,1,120,,250
4,1,106,2,880,52,1,3,,300
4,1,106,2,880,60,1,100,,100
4,1,106,2,880,61,1,80,,10
4,1,106,2,880,70,1,90,,100
4,1,106,2,880,71,1,900,"a can",50
4,1,106,2,880,72,1,90,,50
4,1,106,2,880,73,1,90,,50
4,1,106,2,880,74,1,90,,50
4,1,106,2,880,76,1,90,,50
4,1,106,2,880,77,1,90,,20
4,1,106,2,880,79,1,100,,100
4,1,106,2,880,160,1,900,"one bottle",200
4,1,106,2,880,161,1,900,"one beer bottle",100
4,1,106,2,880,163,1,900,"""one gin bottle """,500
4,1,106,2,880,164,1,900,"""one bottle """,1000
4,1,107,2,1044,70,1,90,,100
4,1,107,2,1044,71,1,900,"a can",50
4,1,107,2,1044,72,1,90,,50
4,1,107,2,1044,73,1,90,,50
4,1,107,2,1044,74,1,90,,50
4,1,107,2,1044,76,1,90,,50
4,1,107,2,1044,77,1,90,,20
4,1,107,2,1044,79,1,100,,50
4,1,107,2,1044,160,1,900,"one bottle",150
4,1,107,2,1044,161,1,3,,100
4,1,107,2,1044,163,1,900,"a gin bottle",600
4,1,107,2,1044,164,1,900,"one bottle",1200
4,1,108,2,904,13,1,13,".",60
4,1,108,2,904,14,1,13,".",80
4,1,108,2,904,19,1,1,".",300
4,1,108,2,904,31,1,81,,250
