"zone","state","lga","sector","ea","community","c0q2","c0q3"
4,1,102,1,536,"ASSEMBLIES OF GOD CHURCH",1,"3/9/2016 12:00:00 AM"
4,1,102,1,1690,"BS NWOGU",1,"3/13/2016 12:00:00 AM"
4,1,104,2,1364,"CHIEF CHUKWUMA DANIEL",1,"2/24/2016 12:00:00 AM"
4,1,105,2,638,"CHIEF ONU NWOGU",1,"2/23/2016 12:00:00 AM"
4,1,106,2,880,"CHIEF AGBAWO KOMA",1,"2/22/2016 12:00:00 AM"
4,1,107,2,1044,"CHIEFMARK NWAOBILOR",1,"3/4/2016 12:00:00 AM"
4,1,108,2,904,"OGBONNA NNAJI",1,"2/29/2016 12:00:00 AM"
4,1,110,2,76,"THOMAS AWAN",1,"3/2/2016 12:00:00 AM"
4,1,111,1,1146,"1/6 EZIABA STREET",1,"3/11/2016 12:00:00 AM"
4,1,115,1,670,"SIR G N NWAGBARA",1,"3/16/2016 12:00:00 AM"
4,1,117,2,560,"ICHIE MOSSES UDOGU",1,"3/3/2016 12:00:00 AM"
2,2,201,2,60,"GARDI DANGIRE",1,"2/27/2016 12:00:00 AM"
2,2,203,2,1224,"TIMKAKA",1,"3/3/2016 12:00:00 AM"
2,2,205,2,712,"GAHUMBA B",1,"3/21/2016 12:00:00 AM"
2,2,207,2,1302,"MALAM ADAMU",1,"3/19/2016 12:00:00 AM"
2,2,209,2,1040,"THOMAS GWASI",1,"3/1/2016 12:00:00 AM"
2,2,210,2,1300,"PHC CLINIC",1,"3/17/2016 12:00:00 AM"
2,2,212,2,956,"WURO ALH HODI",1,"3/4/2016 12:00:00 AM"
2,2,214,2,898,"MARY SALE VIFI",1,"3/14/2016 12:00:00 AM"
2,2,215,1,8,"SHUAIBU BELLO",1,"3/16/2016 12:00:00 AM"
2,2,216,2,200,"HABILA JETRIEL",1,"2/29/2016 12:00:00 AM"
2,2,218,2,1592,"BILLE",1,"3/11/2016 12:00:00 AM"
2,2,221,2,18,"HOSSERE CLINIC",1,"2/24/2016 12:00:00 AM"
5,3,301,1,1198,"CHRIST ARMY CHURCH",1,"3/16/2016 12:00:00 AM"
5,3,305,2,4,"SIR B U EKONG",1,"3/23/2016 12:00:00 AM"
5,3,305,2,1542,"ANTHONY ARCHIBONG",1,"3/9/2016 12:00:00 AM"
5,3,307,1,634,"BROWN ISEMIN",1,"3/13/2016 12:00:00 AM"
5,3,309,2,478,"EDET ASIAN",1,"3/3/2016 12:00:00 AM"
5,3,312,2,20,"VILLAGE COUNCIL HALL",1,"3/7/2016 12:00:00 AM"
5,3,313,2,70,"THE APOSTOLIC CHURCH",1,"3/18/2016 12:00:00 AM"
5,3,316,2,874,"EKAETE BASSEY",1,"2/27/2016 12:00:00 AM"
5,3,318,2,1136,"APOSTOLIC CHURCH",1,"3/21/2016 12:00:00 AM"
5,3,321,2,364,"NTIEDO JOHN",1,"3/5/2016 12:00:00 AM"
5,3,323,2,580,"COMMUNITY SECONDRY SCHOOL",1,"3/1/2016 12:00:00 AM"
5,3,326,2,74,"ELDER IME NWONDA",1,"3/11/2016 12:00:00 AM"
5,3,329,2,696,"CHURCH OF CHRIST",1,"2/29/2016 12:00:00 AM"
5,3,331,1,516,"FRIDAY EDEMEKON",1,"2/24/2016 12:00:00 AM"
5,3,331,1,2322,"NO 6 EYO NWA STREET",1,"2/22/2016 12:00:00 AM"
4,4,401,1,738,"PIUS EZELO",1,"3/10/2016 12:00:00 AM"
4,4,401,1,1460,"JOEL OKAFOR",1,"3/4/2016 12:00:00 AM"
4,4,401,2,2106,"BENSON NNADOZIE",1,"2/27/2016 12:00:00 AM"
4,4,402,2,1080,"OZOMA ADIGWE",2,"3/10/2016 12:00:00 AM"
4,4,403,2,836,"OKECHUKWU EKWEMUO",2,"3/17/2016 12:00:00 AM"
4,4,405,2,484,"CHIDERA ANIAGO",1,"3/7/2016 12:00:00 AM"
4,4,405,2,722,"ALEX JIDENDU",1,"2/23/2016 12:00:00 AM"
4,4,407,2,796,"OKPU SETTLEMENT",1,"2/25/2016 12:00:00 AM"
4,4,410,1,3192,"JUTH EFOBI",1,"3/14/2016 12:00:00 AM"
4,4,410,1,3414,"OKOLO OKPALA KINDRED HALL",1,"3/16/2016 12:00:00 AM"
4,4,410,2,4036,"PATRICK ACHEBE",2,"3/9/2016 12:00:00 AM"
4,4,411,1,1486,"BARR HENRY NWAFOR",2,"2/29/2016 12:00:00 AM"
4,4,412,2,1606,"HON THEOPHILUS NNOROM",2,"3/12/2016 12:00:00 AM"
4,4,412,2,2592,"MMKAKAOGU FIDELIS",2,"3/15/2016 12:00:00 AM"
4,4,413,2,1540,"PETER IGWE",1,"2/29/2016 12:00:00 AM"
4,4,414,1,2176,"SAINT MARY CATHOLIC CHURCH",2,"3/7/2016 12:00:00 AM"
4,4,415,1,2108,"CHIEF ROMANUS EKEDOZIE",2,"3/7/2016 12:00:00 AM"
4,4,416,1,616,"ULTIMATE FED SEC SCH",2,"3/1/2016 12:00:00 AM"
4,4,417,1,678,"8 OGBOLI ROAD ONITSHA",2,"2/23/2016 12:00:00 AM"
4,4,418,1,44,"NO 21 ARCBISHOP HENRY",2,"2/24/2016 12:00:00 AM"
4,4,419,2,296,"ORJI GODWIN",1,"3/2/2016 12:00:00 AM"
4,4,421,1,800,"ORANWELU IWUCHUKWU",1,"3/12/2016 12:00:00 AM"
2,5,501,2,60,"SUNUSI MALANTA",1,"3/14/2016 12:00:00 AM"
2,5,502,1,2194,"KOFAR WASE",1,"3/17/2016 12:00:00 AM"
2,5,502,2,3878,"MINTILA BABBA",1,"2/26/2016 12:00:00 AM"
2,5,504,2,708,"ZAKARI IDRIS",2,"3/8/2016 12:00:00 AM"
2,5,506,2,830,"SARKIN BIRNIN GANYE",1,"3/28/2016 12:00:00 AM"
2,5,508,2,718,"MOHHAMED MAIJEGO",1,"3/10/2016 12:00:00 AM"
2,5,508,2,984,"SARKIN LAGURU MUSA",1,"3/2/2016 12:00:00 AM"
2,5,510,1,872,"DANMADAMI DASS",2,"3/22/2016 12:00:00 AM"
2,5,510,2,1516,"MAGAJI YAKUBU",2,"3/14/2016 12:00:00 AM"
2,5,513,2,348,"WORO DISHE",1,"3/5/2016 12:00:00 AM"
2,5,514,2,710,"MUSA UMARU",2,"3/5/2016 12:00:00 AM"
2,5,514,1,2036,"KAWU BARLE",2,"3/3/2016 12:00:00 AM"
2,5,515,2,18,"BALA MAI DOGUWA",2,"2/29/2016 12:00:00 AM"
