"hhid","plotid","dist_household","twi_nw","srtm_nga","srtmslp_nga"
10009,1,0,13,121,"5"
10009,2,0,12,122,"5"
10031,1,0.699999988079071,14,47,"7"
10061,3,0.600000023841858,36,105,"0"
10061,2,0.600000023841858,36,105,"0"
10061,1,0.600000023841858,36,105,"0"
10061,6,0,14,110,"1"
10061,5,1.10000002384186,15,110,"1"
10062,3,0,14,110,"1"
10062,2,0.100000001490116,14,111,"1"
10062,1,0,15,109,"2"
10063,3,0.100000001490116,13,111,"2"
10063,1,0,14,110,"1"
10063,2,0.100000001490116,13,110,"2"
10064,1,0,15,110,"1"
10064,3,0.600000023841858,36,105,"0"
10064,2,0.100000001490116,14,110,"1"
10066,1,0.100000001490116,15,111,"1"
10066,2,0.400000005960464,14,105,"1"
10067,2,0.100000001490116,14,110,"1"
10067,1,0.100000001490116,14,111,"1"
10067,4,0,14,110,"1"
10068,2,0.5,14,109,"1"
10068,1,0.200000002980232,20,109,"1"
10069,2,0.200000002980232,20,108,"1"
10069,1,0.100000001490116,14,110,"1"
10070,2,0,13,115,"1"
10071,1,0.200000002980232,12,216,"7"
10071,2,0.300000011920929,12,209,"7"
10071,3,0.100000001490116,13,224,"10"
10072,1,0.100000001490116,13,219,"11"
10073,1,0,12,230,"7"
10074,1,0,13,225,"10"
10075,1,0.100000001490116,12,219,"7"
10075,2,0,13,223,"10"
10076,1,0.100000001490116,12,232,"6"
10076,2,0.100000001490116,12,231,"7"
10077,1,0.100000001490116,12,233,"6"
10078,1,0.100000001490116,12,230,"7"
10079,1,0.200000002980232,13,224,"10"
10079,2,0.100000001490116,12,225,"10"
10080,2,0,12,226,"8"
10080,1,0.100000001490116,12,231,"7"
10091,1,0.400000005960464,12,115,"5"
10091,2,0.5,15,84,"2"
10092,1,0.300000011920929,16,98,"5"
10092,2,0.300000011920929,16,98,"5"
10093,6,0.300000011920929,12,87,"5"
10093,2,0.400000005960464,13,86,"4"
10093,7,0.300000011920929,13,85,"5"
10094,2,0.300000011920929,14,115,"5"
10094,1,0,13,109,"3"
10096,2,0.400000005960464,12,113,"5"
10096,1,0.400000005960464,14,110,"5"
10097,2,0,14,106,"5"
10097,1,0.300000011920929,14,111,"5"
10097,3,0.200000002980232,13,110,"3"
10099,1,0.200000002980232,14,109,"4"
10100,2,0.400000005960464,14,112,"5"
10100,1,0.400000005960464,12,114,"5"
10100,3,0.5,13,115,"6"
10102,2,0.200000002980232,12,150,"13"
10102,1,0.100000001490116,12,154,"14"
10103,1,0.200000002980232,12,192,"7"
10103,2,0.300000011920929,12,148,"11"
10104,1,0,13,136,"12"
10105,1,0.200000002980232,13,133,"11"
10105,2,0.200000002980232,13,143,"9"
10106,3,0.200000002980232,12,177,"11"
10106,2,0.100000001490116,12,156,"9"
10106,1,0.100000001490116,12,160,"10"
10107,2,0.100000001490116,11,142,"12"
10108,1,0.100000001490116,12,157,"14"
10109,2,0.100000001490116,12,159,"10"
10109,1,0.100000001490116,11,142,"12"
10110,2,0.300000011920929,15,132,"7"
10110,1,0.100000001490116,11,177,"11"
19008,2,0,22,30,"7"
19008,1,0,16,36,"12"
19038,1,1,14,146,"7"
19039,2,0.100000001490116,11,197,"12"
19039,1,0,11,203,"9"
19041,2,0,12,187,"14"
19041,1,0.100000001490116,12,186,"12"
19043,1,0.200000002980232,11,192,"13"
19043,2,0.200000002980232,12,186,"14"
19043,4,0.400000005960464,15,162,"10"
19043,3,0.300000011920929,12,165,"11"
19044,1,0,12,211,"11"
19044,2,0,12,213,"10"
19045,2,0.100000001490116,12,209,"13"
19045,1,0.100000001490116,12,209,"13"
19047,1,0.400000005960464,14,169,"9"
19047,2,0.200000002980232,11,194,"12"
19048,1,4.5,13,171,"6"
19048,3,4.5,13,168,"7"
19048,2,4.5,13,170,"6"
19049,2,0.100000001490116,15,144,"6"
19049,1,0,12,146,"6"
19051,3,3.79999995231628,13,111,"7"
19051,2,0,12,145,"6"
19052,2,3,12,128,"5"
19052,1,1,12,137,"10"
19054,4,0.100000001490116,15,138,"5"
19054,3,0.100000001490116,15,135,"5"
19055,1,3.09999990463257,16,94,"3"
19055,2,3.20000004768372,16,93,"3"
19056,1,0.100000001490116,14,129,"4"
19058,1,1.10000002384186,13,126,"2"
19058,2,0,14,132,"4"
19060,2,3.09999990463257,12,122,"5"
19060,1,3.29999995231628,13,118,"5"
19061,1,0.100000001490116,14,56,"2"
19062,1,0,14,54,"2"
19062,2,0.600000023841858,18,53,"0"
19063,2,0.699999988079071,14,56,"1"
19063,1,0.800000011920929,14,54,"1"
19064,1,0.699999988079071,14,57,"1"
19064,3,0.699999988079071,13,56,"1"
19064,2,0,14,57,"1"
19066,1,0.300000011920929,13,54,"2"
19066,2,0.200000002980232,18,53,"1"
19068,2,0.100000001490116,14,56,"1"
19068,1,0.5,14,56,"1"
19069,2,0.100000001490116,14,56,"1"
19069,1,0.100000001490116,16,55,"1"
19070,2,0.100000001490116,14,56,"1"
19070,3,0.5,16,56,"2"
19070,1,0.200000002980232,13,57,"1"
19071,1,0,14,57,"1"
19071,3,0,14,57,"1"
19072,3,0,14,57,"1"
19072,1,0,13,57,"1"
19072,4,0,13,57,"1"
19072,7,0.100000001490116,13,57,"2"
19072,2,0.400000005960464,16,56,"2"
19073,4,0.100000001490116,15,96,"1"
19073,3,0.100000001490116,19,96,"0"
19075,1,0,14,97,"2"
19075,2,0.100000001490116,15,96,"0"
19076,2,0,13,100,"3"
19076,1,0,14,97,"3"
19077,2,0,15,96,"1"
19077,1,0,21,96,"2"
19079,1,0.600000023841858,14,98,"2"
19080,3,0,22,96,"2"
19080,2,2.90000009536743,15,103,"2"
19081,1,0.200000002980232,36,96,"0"
19082,3,0.300000011920929,18,96,"1"
19082,4,0.300000011920929,22,96,"1"
19082,6,0.100000001490116,36,96,"0"
19082,5,0.100000001490116,36,96,"0"
19082,1,0.300000011920929,22,96,"1"
19084,2,2.90000009536743,13,104,"2"
19085,2,0.100000001490116,13,74,"1"
19087,2,0,16,73,"0"
19087,1,0,16,73,"0"
19088,1,0.100000001490116,15,73,"1"
19089,3,0.400000005960464,13,74,"2"
19089,1,0.400000005960464,13,74,"2"
19091,4,1.29999995231628,14,76,"1"
19091,3,2.09999990463257,15,71,"2"
19092,1,0,15,74,"1"
19093,1,0.400000005960464,15,73,"2"
19094,1,0.100000001490116,14,75,"1"
19094,3,1.20000004768372,13,75,"1"
19095,1,0.100000001490116,15,74,"1"
19095,3,1.20000004768372,16,74,"1"
19096,2,0.400000005960464,14,76,"2"
19096,1,1.20000004768372,15,75,"1"
19096,4,0,15,75,"1"
19097,2,4.90000009536743,14,52,"3"
19097,1,0.600000023841858,13,64,"2"
19097,4,4.80000019073486,13,54,"2"
19099,1,0.5,13,64,"3"
19099,2,0.100000001490116,14,62,"2"
19100,1,0.600000023841858,17,61,"1"
19100,2,0.5,13,65,"2"
19101,2,0,15,64,"1"
19101,1,0.100000001490116,13,64,"1"
