"zone","state","lga","sector","ea","hhid","item_cd","s10cq8"
4,1,115,1,670,10001,1,5
4,1,115,1,670,10001,2,4
4,1,115,1,670,10001,3,3
4,1,115,1,670,10001,4,3
4,1,115,1,670,10001,5,5
4,1,115,1,670,10001,6,5
4,1,115,1,670,10001,7,3
4,1,115,1,670,10001,8,3
4,1,115,1,670,10001,9,4
4,1,115,1,670,10001,10,4
4,1,115,1,670,10001,11,4
4,1,115,1,670,10002,1,2
4,1,115,1,670,10002,2,2
4,1,115,1,670,10002,3,1
4,1,115,1,670,10002,4,2
4,1,115,1,670,10002,5,2
4,1,115,1,670,10002,6,4
4,1,115,1,670,10002,7,1
4,1,115,1,670,10002,8,2
4,1,115,1,670,10002,9,3
4,1,115,1,670,10002,10,1
4,1,115,1,670,10002,11,2
4,1,115,1,670,10003,1,3
4,1,115,1,670,10003,2,3
4,1,115,1,670,10003,3,2
4,1,115,1,670,10003,4,4
4,1,115,1,670,10003,5,4
4,1,115,1,670,10003,6,0
4,1,115,1,670,10003,7,4
4,1,115,1,670,10003,8,3
4,1,115,1,670,10003,9,4
4,1,115,1,670,10003,10,0
4,1,115,1,670,10003,11,4
4,1,115,1,670,10004,1,3
4,1,115,1,670,10004,2,5
4,1,115,1,670,10004,3,3
4,1,115,1,670,10004,4,4
4,1,115,1,670,10004,5,4
4,1,115,1,670,10004,6,3
4,1,115,1,670,10004,7,1
4,1,115,1,670,10004,8,2
4,1,115,1,670,10004,9,5
4,1,115,1,670,10004,10,2
4,1,115,1,670,10004,11,4
4,1,115,1,670,10005,1,6
4,1,115,1,670,10005,2,7
4,1,115,1,670,10005,3,4
4,1,115,1,670,10005,4,6
4,1,115,1,670,10005,5,5
4,1,115,1,670,10005,6,0
4,1,115,1,670,10005,7,0
4,1,115,1,670,10005,8,6
4,1,115,1,670,10005,9,7
4,1,115,1,670,10005,10,6
4,1,115,1,670,10005,11,6
4,1,115,1,670,10008,1,3
4,1,115,1,670,10008,2,5
4,1,115,1,670,10008,3,2
4,1,115,1,670,10008,4,3
4,1,115,1,670,10008,5,1
4,1,115,1,670,10008,6,0
4,1,115,1,670,10008,7,2
4,1,115,1,670,10008,8,2
4,1,115,1,670,10008,9,4
4,1,115,1,670,10008,10,2
4,1,115,1,670,10008,11,2
4,1,105,2,0,10009,1,7
4,1,105,2,0,10009,2,6
4,1,105,2,0,10009,3,6
4,1,105,2,0,10009,4,7
4,1,105,2,0,10009,5,6
4,1,105,2,0,10009,6,7
4,1,105,2,0,10009,7,0
4,1,105,2,0,10009,8,7
4,1,105,2,0,10009,9,7
4,1,105,2,0,10009,10,6
4,1,105,2,0,10009,11,7
4,1,115,1,670,10010,1,6
4,1,115,1,670,10010,2,4
4,1,115,1,670,10010,3,4
4,1,115,1,670,10010,4,5
4,1,115,1,670,10010,5,6
4,1,115,1,670,10010,6,0
4,1,115,1,670,10010,7,5
4,1,115,1,670,10010,8,6
4,1,115,1,670,10010,9,7
4,1,115,1,670,10010,10,0
4,1,115,1,670,10010,11,7
4,1,111,1,1146,10031,1,2
4,1,111,1,1146,10031,2,3
4,1,111,1,1146,10031,3,1
4,1,111,1,1146,10031,4,4
4,1,111,1,1146,10031,5,2
4,1,111,1,1146,10031,6,3
4,1,111,1,1146,10031,7,1
4,1,111,1,1146,10031,8,3
4,1,111,1,1146,10031,9,2
4,1,111,1,1146,10031,10,1
4,1,111,1,1146,10031,11,3
4,1,111,1,1146,10032,1,4
4,1,111,1,1146,10032,2,3
4,1,111,1,1146,10032,3,3
4,1,111,1,1146,10032,4,4
4,1,111,1,1146,10032,5,4
4,1,111,1,1146,10032,6,0
4,1,111,1,1146,10032,7,3
4,1,111,1,1146,10032,8,3
4,1,111,1,1146,10032,9,4
4,1,111,1,1146,10032,10,3
4,1,111,1,1146,10032,11,4
4,1,111,1,1146,10033,1,7
4,1,111,1,1146,10033,2,7
4,1,111,1,1146,10033,3,0
4,1,111,1,1146,10033,4,7
4,1,111,1,1146,10033,5,6
4,1,111,1,1146,10033,6,7
4,1,111,1,1146,10033,7,2
4,1,111,1,1146,10033,8,6
4,1,111,1,1146,10033,9,7
4,1,111,1,1146,10033,10,6
4,1,111,1,1146,10033,11,6
4,1,111,1,1146,10034,1,5
4,1,111,1,1146,10034,2,7
4,1,111,1,1146,10034,3,3
4,1,111,1,1146,10034,4,7
4,1,111,1,1146,10034,5,6
4,1,111,1,1146,10034,6,7
4,1,111,1,1146,10034,7,2
4,1,111,1,1146,10034,8,6
4,1,111,1,1146,10034,9,7
4,1,111,1,1146,10034,10,6
4,1,111,1,1146,10034,11,6
4,1,111,1,1146,10035,1,4
4,1,111,1,1146,10035,2,7
4,1,111,1,1146,10035,3,4
4,1,111,1,1146,10035,4,4
4,1,111,1,1146,10035,5,5
4,1,111,1,1146,10035,6,0
4,1,111,1,1146,10035,7,2
4,1,111,1,1146,10035,8,4
4,1,111,1,1146,10035,9,5
4,1,111,1,1146,10035,10,3
4,1,111,1,1146,10035,11,3
4,1,111,1,1146,10036,1,2
4,1,111,1,1146,10036,2,1
4,1,111,1,1146,10036,3,2
4,1,111,1,1146,10036,4,6
4,1,111,1,1146,10036,5,1
4,1,111,1,1146,10036,6,1
4,1,111,1,1146,10036,7,1
4,1,111,1,1146,10036,8,2
4,1,111,1,1146,10036,9,5
4,1,111,1,1146,10036,10,0
4,1,111,1,1146,10036,11,2
