"zone","state","lga","sector","ea","hhid","sec11_resp","s11q1b","s11q1b_os","s11q1","s11q2","s11q3a","s11q3b","s11q4a","s11q4b","s11q5a","s11q5a_os","s11q5b","s11q5c_1","s11q5c_2","s11q5c_3","s11q5c_4","s11q5c_5","s11q5c_6","s11q5c_7","s11q5c_8","s11q5c_9","s11q5","s11q6","s11q6_os","s11q7","s11q7b","s11q8","s11q8b","s11q9","s11q40","s11q40_os","s11q41","s11q41_os","s11q42","s11q43_1","s11q43_2","s11q43_os","s11q44_1","s11q44_2","s11q45","s11q46_1","s11q46_2","s11q46_3","s11q46_os","s11q47","s11q48__1","s11q48__2","s11q48__3","s11q48__4","s11q48__5","s11q48__6","s11q48__7","s11q48_os","s11q49","s11q50","s11q51","s11q52","s11q53","s11q54","s11q33b","s11q33b_os","s11q55","s11q55_os","s11q56","s11q57a","s11q57b","s11q58","s11q59","s11q60","s11q60_os","s11q61","s11q62","s11q63a","s11q63b","s11q64","s11q65","s11q66","s11q67__1","s11q67__2","s11q67__3","s11q67__4","s11q67__5","s11q67__6","s11q67__7","s11q67_os","s11q68","s11q68_os","s11q69","s11q36","s11q36_os","s11q70","s11q71","s11q71_os","s11q72","s11q73","s11q74","s11q38","s11q38b","s11q75a","s11q75b"
4,1,115,1,670,10001,2,3,,1,5000000,,,,,1,,1,1,2,,,,,,,,2000,5,,2,,5,,3,6,,1,,2,1,,,,,2,,,,,1,1,0,1,0,0,0,0,,1,3,3,2,3,1,5,,5,,1,,,,1,15,,,,,,,2,2,,,,,,,,,5,,200,2,,2,,,1,2,,1,,3600,6
4,1,115,1,670,10002,1,1,,1,15000000,,,,,1,,1,1,,,,,,,,,2007,5,,9,,3,,3,5,,1,,2,1,14,,1500,5000,2,,,,,1,1,0,1,0,0,0,0,,1,5,3,1,24,2,5,,5,,1,,,,2,,,,,,,,2,2,,,,,,,,,5,,1000,2,,2,,,1,2,,3,,3600,6
4,1,115,1,670,10003,3,3,,1,600000,,,,,1,,1,1,2,,,,,,,,9999,5,,3,,5,,3,6,,1,,2,1,,,,,2,,,,,1,1,0,1,0,0,0,0,,1,3,3,2,3,1,1,,5,,,,,,2,,,,,,,,2,2,,,,,,,,,5,,200,2,,2,,,1,2,,2,,3600,4
4,1,115,1,670,10004,1,1,,1,8000000,,,,,5,,1,1,,,,,,,,,2008,5,,4,,5,,3,5,,1,,2,14,,,4500,,2,,,,,1,0,0,1,0,0,0,0,,3,4,4,,,-99,5,,5,,1,,,,2,,,,,,,,2,2,,,,,,,,,5,,2000,2,,2,,,1,2,,3,,3600,6
4,1,115,1,670,10005,1,3,,5,,,,20000,1,5,,1,1,,,,,,,,,2009,5,,2,,3,,3,6,,1,,2,1,,,,,2,,,,,1,0,0,1,0,0,0,0,,3,4,4,,,2,5,,5,,3,10,1,6,2,,,,,,,,2,2,,,,,,,,,5,,1500,2,,2,,,1,2,,3,,3600,6
4,1,115,1,670,10008,2,1,,1,3000000,,,,,1,,1,1,2,,,,,,,,9999,5,,2,,5,,3,5,,1,,2,14,,,4500,,2,,,,,1,1,0,1,0,0,0,0,,1,2,3,3,2,2,5,,5,,1,,,,2,,,,,,,,1,2,,,,,,,,,5,,200,2,,2,,,1,2,,5,,,
4,1,105,2,0,10009,2,1,,5,,,,20000,1,5,,1,1,,,,,,,,,9999,5,,4,,5,,3,5,,1,,2,14,,,4800,,2,,,,,1,1,0,1,0,0,0,0,,1,2,3,2,3,2,11,,5,,3,1,2,1,2,,,,,,,,2,2,,,,,,,,,11,,6000,2,,2,,,1,2,,5,,,
4,1,115,1,670,10010,1,1,,1,8000000,,,,,1,,1,1,,,,,,,,,2001,5,,2,,5,,4,5,,1,,2,14,,,4500,,2,,,,,1,0,0,1,0,0,0,0,,3,4,4,,,2,5,,5,,2,,,,2,,,,,,,,2,2,,,,,,,,,5,,2000,2,,2,,,1,2,,3,,3500,5
4,1,111,1,1146,10031,1,3,,5,,,,12500,1,5,,1,1,,,,,,,,,9999,5,,6,,3,,3,6,,1,,2,1,,,,,2,,,,,1,1,0,0,0,0,0,0,,1,3,2,2,0,2,5,,5,,3,15,1,2,2,,,,,,,,1,2,,,,,,,,,5,,1800,2,,1,3,,1,2,,1,,3500,6
4,1,111,1,1146,10032,2,3,,5,,,,150000,2,5,,1,1,,,,,,,,,9999,5,,4,,3,,3,6,,1,,2,1,,,,,2,,,,,1,1,0,0,0,0,0,0,,1,2,2,3,0,2,5,,5,,3,20,1,5,2,,,,,,,,2,2,,,,,,,,,5,,2000,2,,1,1,,1,2,,1,,3600,6
