"zone","state","lga","ea","sector","hhid","plotid","s11aq4aa","s11aq4b","s11aq4a","s11aq4b1","s11aq4b1_os","s11aq4b2","s11aq4c","s11b1q27","s11aq6a","s11aq6b","s11aq6c","s11aq6d"
4,1,115,670,1,10001,1,526.52,7,,,,,,2,,,,
4,1,115,670,1,10002,1,0.5,5,,,,,,2,,,,
4,1,115,670,1,10003,1,562.96,7,,,,,,2,,,,
4,1,115,670,1,10004,1,0.5,5,,,,,,2,,,,
4,1,115,670,1,10008,1,5243,7,,,,,,2,,,,
4,1,105,0,2,10009,1,350,2,1,,,,18811,1,1,2,,
4,1,105,0,2,10009,2,100,2,1,,,,1953.9,1,1,2,,
4,1,115,670,1,10010,1,0.5,5,,,,,,2,,,,
4,1,111,1146,1,10031,1,70,1,1,,,,505.89,1,1,,,
4,1,111,1146,1,10033,1,0.1,5,,,,,,2,,,,
4,1,111,1146,1,10034,1,0.5,5,,,,,,2,,,,
4,1,111,1146,1,10037,1,482.63,7,,,,,,2,,,,
4,1,102,1690,1,10053,1,1000,7,,,,,,2,,,,
4,1,102,1690,1,10057,1,1,5,,,,,,2,,,,
4,1,107,1044,2,10061,1,1,5,1,,,,701.38,1,1,2,3,4
4,1,107,1044,2,10061,2,1,5,1,,,,750.35,1,1,2,3,4
4,1,107,1044,2,10061,3,1,5,1,,,,681.53,1,1,2,3,4
4,1,107,1044,2,10061,4,2,5,2,1,,,,1,1,2,3,4
4,1,107,1044,2,10061,5,1,5,2,1,,,,1,1,2,3,4
4,1,107,1044,2,10061,6,1,5,1,,,,249.78,1,1,2,3,4
4,1,107,1044,2,10062,1,2,5,1,,,,965.97,1,1,,,
4,1,107,1044,2,10062,2,1,5,1,,,,550.16,1,1,,,
4,1,107,1044,2,10062,3,1.5,5,2,4,,,,1,1,,,
4,1,107,1044,2,10063,1,1,1,1,,,,120.27,1,6,,,
4,1,107,1044,2,10063,2,6,7,1,,,,1634.5,1,6,,,
4,1,107,1044,2,10063,3,3,6,1,,,,368.15,1,6,,,
4,1,107,1044,2,10064,1,2,6,1,,,,1088.1,1,1,,,
4,1,107,1044,2,10064,2,1300.5,7,1,,,,1300.5,1,1,,,
4,1,107,1044,2,10064,3,915.76,7,1,,,,915.76,1,1,,,
4,1,102,0,1,10065,1,1,5,2,1,,,,1,2,,,
4,1,102,0,1,10065,2,2,5,2,4,,,,1,2,,,
4,1,107,1044,2,10066,1,150,1,1,,,,1413.6,1,2,,,
4,1,107,1044,2,10066,2,200,1,1,,,,2950.7,1,2,5,7,
4,1,107,1044,2,10067,1,250,1,1,,,,2693.3,1,1,,,
4,1,107,1044,2,10067,2,200,1,1,,,,899.64,1,1,2,,
4,1,107,1044,2,10067,4,150,3,1,,,,226.19,1,1,,,
4,1,107,1044,2,10068,1,500,1,1,,,,2270.1,1,2,3,,
4,1,107,1044,2,10068,2,350,1,2,4,,,,1,2,3,,
4,1,107,1044,2,10069,1,200,1,1,,,,469.88,1,1,13,,
4,1,107,1044,2,10069,2,156,1,1,,,,1245.5,1,1,13,,
4,1,107,0,2,10070,1,600,1,2,4,,,,1,2,,,
4,1,107,0,2,10070,2,550,1,1,,,,820.29,1,2,,,
4,1,107,0,2,10070,3,200.98,7,,,,,,2,,,,
4,1,117,560,2,10071,1,1,5,1,,,,202.34,1,1,,,
4,1,117,560,2,10071,2,1,5,1,,,,497.4,1,1,,,
4,1,117,560,2,10071,3,0.5,5,1,,,,185.61,1,1,,,
4,1,117,560,2,10071,4,0.5,5,,,,,,2,,,,
4,1,117,560,2,10072,1,0.5,5,1,,,,380.83,1,1,,,
4,1,117,560,2,10072,2,0.5,5,1,,,,418.99,1,1,,,
4,1,117,560,2,10072,3,0.5,5,,,,,,2,,,,
4,1,117,560,2,10073,1,0.5,5,1,,,,594.22,1,1,,,
4,1,117,560,2,10073,2,0.5,5,,,,,,2,,,,
4,1,117,560,2,10074,1,0.5,5,1,,,,449.74,1,2,1,,
4,1,117,560,2,10074,2,0.5,5,,,,,,2,,,,
4,1,117,560,2,10075,1,300,1,1,,,,535.5,1,1,3,,
4,1,117,560,2,10075,2,200,1,1,,,,273.1,1,1,3,,
4,1,117,560,2,10075,3,785.96,7,,,,,,2,,,,
4,1,117,560,2,10076,1,200,1,1,,,,219.67,1,1,2,,
4,1,117,560,2,10076,2,250,1,1,,,,385.4,1,1,2,,
4,1,117,560,2,10076,3,564.92,7,,,,,,2,,,,
4,1,117,560,2,10077,1,2500,1,1,,,,327.17,1,2,,,
4,1,117,560,2,10077,2,0.5,5,,,,,,2,,,,
4,1,117,560,2,10078,1,250,1,1,,,,399.78,1,4,,,
4,1,117,560,2,10078,2,1,5,,,,,,2,,,,
4,1,117,560,2,10078,3,768.6,7,,,,,,2,,,,
4,1,117,560,2,10079,1,300,1,1,,,,566.37,1,1,,,
4,1,117,560,2,10079,2,270,1,1,,,,224.48,1,1,2,,
4,1,117,560,2,10079,3,1,5,,,,,,2,,,,
4,1,117,560,2,10080,1,2000,1,1,,,,229.38,1,1,,,
4,1,117,560,2,10080,2,3000,1,1,,,,422.79,1,1,,,
4,1,117,560,2,10080,3,3500,1,,,,,,2,,,,
4,1,105,638,2,10091,1,1,5,1,,,,833.37,1,2,,,
4,1,105,638,2,10091,2,2,5,1,,,,2127.6,1,2,,,
4,1,105,638,2,10091,3,1,5,,,,,,2,,,,
4,1,105,638,2,10092,1,1,5,1,,,,631.11,1,1,,,
4,1,105,638,2,10092,2,1,5,1,,,,603.04,1,1,,,
4,1,105,638,2,10092,3,1,5,,,,,,2,,,,
5,3,322,0,2,10093,2,800,3,2,1,,,,1,1,,,
5,3,322,0,2,10093,3,650,3,2,1,,,,1,1,,,
5,3,322,0,2,10093,4,700,3,2,1,,,,1,1,2,,
5,3,322,0,2,10093,6,500,3,1,,,,1306.4,1,3,,,
5,3,322,0,2,10093,7,600,3,1,,,,687.96,1,2,,,
4,1,105,638,2,10094,1,2,5,1,,,,484.81,1,1,,,
4,1,105,638,2,10094,2,1,5,1,,,,886.53,1,1,,,
4,1,105,638,2,10096,1,270,1,1,,,,421.63,1,5,3,,
4,1,105,638,2,10096,2,350,1,1,,,,274.38,1,5,3,,
4,1,105,638,2,10096,3,642.18,7,,,,,,2,,,,
4,1,105,638,2,10097,1,350,1,1,,,,1252.8,1,1,,,
4,1,105,638,2,10097,2,450,1,1,,,,252.78,1,1,,,
4,1,105,638,2,10097,3,400,1,1,,,,318.94,1,1,,,
4,1,105,638,2,10097,4,1,5,,,,,,2,,,,
4,1,105,638,2,10098,1,1,5,,,,,,2,,,,
4,1,105,638,2,10099,1,1,5,1,,,,330.14,1,1,,,
4,1,105,638,2,10100,1,1,5,1,,,,1082.8,1,1,,,
4,1,105,638,2,10100,2,1,5,1,,,,280.26,1,1,,,
4,1,105,638,2,10100,3,1,5,1,,,,657.6,1,1,,,
4,1,105,638,2,10100,5,1,5,,,,,,2,,,,
4,1,108,904,2,10102,1,3500,1,1,,,,847.65,1,1,,,
4,1,108,904,2,10102,2,4000,1,1,,,,965.77,1,1,,,
4,1,108,904,2,10102,3,1000,1,,,,,,2,,,,
4,1,108,904,2,10103,1,350,1,1,,,,917.65,1,1,2,,
4,1,108,904,2,10103,2,400,1,1,,,,3957.6,1,1,2,,
4,1,108,904,2,10103,3,782.69,7,,,,,,2,,,,
4,1,108,904,2,10104,1,250,1,1,,,,2081.2,1,1,,,
4,1,108,904,2,10104,2,462.72,7,,,,,,2,,,,
4,1,108,904,2,10105,1,300,1,1,,,,5816,1,1,,,
4,1,108,904,2,10105,2,400,1,1,,,,4897.9,1,1,,,
4,1,108,904,2,10105,3,468.32,7,,,,,,2,,,,
4,1,108,904,2,10106,1,350,1,1,,,,5403.6,1,1,2,4,
4,1,108,904,2,10106,2,450,1,1,,,,4540.5,1,1,2,,
4,1,108,904,2,10106,3,362,1,1,,,,3434.7,1,1,2,,
4,1,108,904,2,10106,4,786.68,7,,,,,,2,,,,
4,1,108,904,2,10107,1,0.5,5,,,,,,2,,,,
4,1,108,904,2,10107,2,0.5,5,1,,,,3398.9,1,1,,,
4,1,108,904,2,10108,1,1,5,1,,,,381.41,1,4,2,,
4,1,108,904,2,10108,2,0.5,5,,,,,,2,,,,
4,1,108,904,2,10109,1,1,5,1,,,,4869.3,1,1,,,
4,1,108,904,2,10109,2,1,5,1,,,,3123.8,1,1,,,
4,1,108,904,2,10109,3,1,5,,,,,,2,,,,
4,1,108,904,2,10110,1,0.5,5,1,,,,1493.8,1,1,,,
4,1,108,904,2,10110,2,1,5,1,,,,1911.3,1,1,,,
4,1,108,904,2,10110,3,0.5,5,,,,,,2,,,,
4,1,102,46,1,19008,1,1,5,1,,,,1012.1,1,1,,,
4,1,102,46,1,19008,2,1,5,1,,,,815.27,1,1,,,
4,1,102,806,1,19014,1,250.96,7,,,,,,2,,,,
4,1,102,806,1,19023,1,100.63,7,,,,,,2,,,,
4,1,102,2486,1,19033,1,100.98,7,,,,,,2,,,,
4,1,102,2486,1,19035,1,98.86,7,,,,,,2,,,,
4,1,102,2486,1,19036,1,250,7,,,,,,2,,,,
4,1,104,412,2,19038,1,1,5,1,,,,252.13,1,1,,,
4,1,104,412,2,19038,2,1,5,,,,,,2,,,,
4,1,104,412,2,19039,1,2,5,1,,,,480.54,1,1,,,
4,1,104,412,2,19039,2,1,5,1,,,,446.97,1,1,,,
4,1,104,412,2,19041,1,1,5,1,,,,1146,1,1,,,
4,1,104,412,2,19041,2,1,5,1,,,,1322.7,1,1,,,
4,1,104,412,2,19043,1,1,5,2,1,,,,1,1,,,
4,1,104,412,2,19043,2,1,5,2,1,,,,1,1,,,
4,1,104,412,2,19043,3,1,5,2,1,,,,1,1,,,
4,1,104,412,2,19043,4,1,5,2,1,,,,1,1,,,
4,1,104,412,2,19044,1,1,5,1,,,,342.85,1,1,,,
4,1,104,412,2,19044,2,1,5,1,,,,182.33,1,1,,,
4,1,104,412,2,19045,1,1800,1,1,,,,250.75,1,1,,,
4,1,104,412,2,19045,2,1000,1,1,,,,213.28,1,1,2,,
4,1,104,412,2,19047,1,1,5,1,,,,1981.9,1,2,,,
4,1,104,412,2,19047,2,1,5,1,,,,400.87,1,2,,,
4,1,104,412,2,19048,1,3000,1,1,,,,334.74,1,1,,,
4,1,104,412,2,19048,2,4000,1,1,,,,1077.7,1,1,2,,
4,1,104,412,2,19048,3,2000,1,1,,,,1178.9,1,1,2,,
4,1,104,412,2,19048,4,1,5,,,,,,2,,,,
4,1,104,1020,2,19049,1,1282.9,7,1,,,,807.27,1,1,,,
4,1,104,1020,2,19049,2,807.27,7,1,,,,807.27,1,1,,,
4,1,104,1020,2,19051,2,2,5,1,,,,255.51,1,1,,,
4,1,104,1020,2,19051,3,1,5,1,,,,1028.2,1,1,,,
4,1,104,1020,2,19051,4,1,5,,,,,,2,,,,
4,1,104,1020,2,19052,1,1,5,1,,,,317.2,1,1,,,
4,1,104,1020,2,19052,2,1,5,1,,,,1227.2,1,1,,,
4,1,104,1020,2,19054,1,320,1,,,,,,2,,,,
4,1,104,1020,2,19054,2,1,5,,,,,,2,,,,
4,1,104,1020,2,19054,3,1,5,1,,,,765.22,1,1,,,
4,1,104,1020,2,19054,4,1,5,1,,,,175.31,1,1,,,
4,1,104,1020,2,19055,1,1,5,1,,,,1395.4,1,1,,,
4,1,104,1020,2,19055,2,1,5,1,,,,1108.6,1,1,,,
