"zone","state","lga","ea","sector","hhid","ag1","ag2","ag3","ag4"
4,1,115,670,1,10001,2,1,2,2
4,1,115,670,1,10002,2,1,2,2
4,1,115,670,1,10003,2,1,2,2
4,1,115,670,1,10004,2,1,2,2
4,1,115,670,1,10005,2,2,2,2
4,1,115,670,1,10008,2,1,2,2
4,1,105,0,2,10009,1,2,2,2
4,1,115,670,1,10010,2,1,2,2
4,1,111,1146,1,10031,1,2,2,2
4,1,111,1146,1,10032,2,2,2,2
4,1,111,1146,1,10033,2,1,2,2
4,1,111,1146,1,10034,2,1,2,2
4,1,111,1146,1,10035,2,2,2,2
4,1,111,1146,1,10036,2,2,2,2
4,1,111,1146,1,10037,2,1,2,2
4,1,111,1146,1,10038,2,2,2,2
4,1,111,1146,1,10040,2,2,2,2
4,1,102,1690,1,10051,2,2,2,2
4,14,1412,0,2,10052,1,2,2,2
4,1,102,1690,1,10053,2,1,2,2
4,1,102,1690,1,10054,2,2,2,2
4,1,102,0,1,10055,2,2,1,2
4,1,102,1690,1,10056,2,2,2,2
4,1,102,1690,1,10057,2,1,2,2
4,1,102,1690,1,10058,2,2,2,2
4,1,102,1690,1,10059,2,2,2,2
4,1,102,1690,1,10060,2,2,2,2
4,1,107,1044,2,10061,1,1,1,2
4,1,107,1044,2,10062,1,1,2,2
4,1,107,1044,2,10063,1,1,1,2
4,1,107,1044,2,10064,1,1,1,1
4,1,102,0,1,10065,1,2,2,2
4,1,107,1044,2,10066,1,1,1,1
4,1,107,1044,2,10067,1,1,1,2
4,1,107,1044,2,10068,1,2,1,2
4,1,107,1044,2,10069,1,1,2,1
4,1,107,0,2,10070,1,2,1,2
4,1,117,560,2,10071,1,1,1,2
4,1,117,560,2,10072,1,1,2,2
4,1,117,560,2,10073,1,1,2,2
4,1,117,560,2,10074,1,1,1,1
4,1,117,560,2,10075,1,1,2,2
4,1,117,560,2,10076,1,1,2,2
4,1,117,560,2,10077,1,2,2,2
4,1,117,560,2,10078,1,1,2,2
4,1,117,560,2,10079,1,1,2,2
4,1,117,560,2,10080,1,1,1,2
4,1,105,638,2,10091,1,1,1,1
4,1,105,638,2,10092,1,1,2,2
5,3,322,0,2,10093,1,2,1,2
4,1,105,638,2,10094,1,2,2,2
4,1,105,638,2,10096,1,1,2,2
4,1,105,638,2,10097,1,1,2,2
4,1,105,638,2,10098,2,1,2,2
4,1,105,638,2,10099,1,2,2,2
4,1,105,638,2,10100,1,1,1,2
4,1,108,904,2,10102,1,1,1,2
4,1,108,904,2,10103,1,1,2,2
4,1,108,904,2,10104,1,1,2,2
4,1,108,904,2,10105,1,1,2,2
4,1,108,904,2,10106,1,1,2,2
4,1,108,904,2,10107,1,1,2,2
4,1,108,904,2,10108,1,1,2,2
4,1,108,904,2,10109,1,1,2,2
4,1,108,904,2,10110,1,1,2,2
4,1,102,46,1,19001,2,2,2,2
4,1,102,46,1,19002,2,2,2,2
4,1,102,46,1,19005,2,2,2,2
4,1,102,46,1,19006,2,2,2,2
4,1,102,46,1,19007,2,2,2,2
4,1,102,46,1,19008,1,2,1,2
4,1,102,46,1,19009,2,2,2,2
4,1,102,46,1,19010,2,2,2,2
4,1,102,46,1,19012,2,2,2,2
4,1,102,806,1,19014,2,1,1,2
4,1,102,806,1,19015,2,2,2,2
4,1,102,806,1,19017,2,2,2,2
4,1,102,806,1,19018,2,2,2,2
4,1,102,806,1,19019,2,2,2,2
4,1,102,806,1,19020,2,2,2,2
4,1,102,806,1,19023,2,1,2,2
4,1,102,806,1,19024,2,2,2,2
4,1,102,2486,1,19025,2,2,2,2
4,1,102,2486,1,19026,2,2,2,2
4,1,102,2486,1,19029,2,2,2,2
4,1,102,2486,1,19031,2,2,2,2
4,1,102,2486,1,19032,2,2,2,2
4,1,102,2486,1,19033,2,1,2,2
4,1,102,2486,1,19034,2,2,2,2
4,1,102,2486,1,19035,2,1,2,2
4,1,102,2486,1,19036,2,1,2,2
4,1,104,412,2,19037,2,2,2,2
4,1,104,412,2,19038,1,1,2,2
4,1,104,412,2,19039,1,1,2,2
4,1,104,412,2,19040,2,2,2,2
4,1,104,412,2,19041,1,2,2,2
4,1,104,412,2,19043,1,1,2,2
4,1,104,412,2,19044,1,2,2,2
4,1,104,412,2,19045,1,2,2,2
4,1,104,412,2,19047,1,2,1,2
4,1,104,412,2,19048,1,1,1,2
4,1,104,1020,2,19049,1,2,1,1
4,1,104,1020,2,19050,2,2,1,1
4,1,104,1020,2,19051,1,1,2,1
4,1,104,1020,2,19052,1,2,1,1
4,1,104,1020,2,19054,1,1,2,2
4,1,104,1020,2,19055,1,1,2,2
4,1,104,1020,2,19056,1,2,1,2
4,1,104,1020,2,19058,1,2,2,2
4,1,104,1020,2,19060,1,2,2,2
4,1,107,10,2,19061,1,1,2,2
4,1,107,10,2,19062,1,1,2,2
4,1,107,10,2,19063,1,1,2,2
4,1,107,10,2,19064,1,1,1,2
4,1,107,10,2,19066,1,1,1,2
4,1,107,10,2,19068,1,1,1,1
4,1,107,10,2,19069,1,1,2,2
4,1,107,10,2,19070,1,1,2,2
4,1,107,10,2,19071,1,1,2,2
4,1,107,10,2,19072,1,1,2,2
4,1,107,1322,2,19073,1,2,1,2
4,1,107,1322,2,19075,1,2,2,2
4,1,107,1322,2,19076,1,2,2,2
4,1,107,1322,2,19077,1,1,2,2
4,1,107,1322,2,19079,1,1,2,2
4,1,107,1322,2,19080,1,2,2,2
4,1,107,1322,2,19081,1,1,1,2
4,1,107,1322,2,19082,1,1,1,2
4,1,107,1322,2,19084,1,1,1,1
4,1,109,1214,2,19085,1,1,1,2
4,1,109,1214,2,19087,1,1,2,2
4,1,109,1214,2,19088,1,1,2,2
4,1,109,1214,2,19089,1,1,2,2
4,1,109,1214,2,19091,1,1,1,2
4,1,109,1214,2,19092,1,2,1,2
4,1,109,1214,2,19093,1,2,2,2
4,1,109,1214,2,19094,1,1,1,2
4,1,109,1214,2,19095,1,1,2,2
4,1,109,1214,2,19096,1,1,1,2
4,1,109,1792,2,19097,1,1,1,2
4,1,109,1792,2,19098,1,1,2,2
4,1,109,1792,2,19099,1,2,2,2
4,1,109,1792,2,19100,1,1,1,2
4,1,109,1792,2,19101,1,1,1,2
4,1,109,1792,2,19103,1,1,1,2
4,1,109,1792,2,19104,1,1,1,2
4,1,109,1792,2,19105,1,1,1,2
4,1,109,1792,2,19106,1,1,2,2
4,1,109,1792,2,19107,1,1,1,2
4,1,109,1996,2,19110,1,1,1,2
4,1,109,1996,2,19111,1,1,2,2
4,1,109,1996,2,19112,1,1,1,2
4,1,109,1996,2,19113,1,2,2,2
4,1,109,1996,2,19115,1,1,1,2
4,1,109,1996,2,19116,1,1,1,2
4,1,109,1996,2,19117,1,1,1,1
4,1,109,1996,2,19118,1,1,2,2
4,1,109,1996,2,19119,1,1,1,2
4,1,109,1996,2,19120,1,1,1,2
4,1,110,338,2,19121,1,1,1,1
4,1,110,338,2,19122,1,1,1,1
4,1,110,338,2,19123,1,1,2,2
4,1,110,338,2,19124,1,1,2,2
4,1,110,338,2,19125,1,1,2,2
4,1,110,338,2,19126,1,1,2,2
4,1,110,338,2,19127,1,1,1,2
4,1,110,338,2,19129,1,1,2,2
4,1,110,338,2,19130,1,1,2,2
4,1,110,338,2,19131,1,1,2,2
4,1,111,118,2,19133,1,1,1,2
4,1,111,118,2,19135,1,1,1,2
4,1,111,118,2,19136,1,1,2,2
4,1,111,118,2,19137,1,1,2,2
4,1,111,118,2,19138,1,1,2,2
4,1,111,118,2,19139,1,1,2,2
4,1,111,118,2,19140,1,1,2,2
4,1,111,118,2,19141,1,1,2,2
4,1,111,118,2,19143,1,1,2,2
4,1,111,118,2,19144,1,1,1,1
4,1,112,266,2,19145,2,2,2,2
4,1,112,266,2,19146,2,2,2,2
4,1,112,266,2,19147,2,2,2,2
4,1,112,266,2,19148,2,2,2,2
4,1,112,266,2,19149,2,2,2,2
4,1,112,266,2,19150,2,2,2,2
4,1,112,266,2,19151,2,1,2,2
4,1,112,266,2,19152,2,2,2,2
4,1,112,266,2,19153,1,2,2,2
4,1,112,556,2,19158,1,1,2,2
4,1,112,556,2,19159,1,1,1,2
4,1,112,556,2,19160,1,1,2,2
4,1,112,556,2,19161,1,1,2,2
4,1,112,556,2,19163,1,1,2,2
4,1,112,556,2,19164,1,1,2,2
4,1,112,556,2,19165,1,1,2,2
4,1,112,556,2,19166,1,1,2,2
4,1,112,556,2,19167,1,1,2,2
4,1,112,556,2,19168,1,2,2,2
4,1,113,6,2,19169,1,1,1,1
4,1,113,6,2,19170,1,1,1,2
4,1,113,6,2,19173,1,2,2,2
4,1,113,6,2,19174,1,1,2,2
4,1,113,6,2,19175,1,1,2,2
4,1,113,6,2,19177,1,1,1,2
4,1,113,6,2,19178,1,1,1,2
4,1,113,6,2,19179,1,1,2,2
4,1,113,6,2,19180,1,2,2,2
4,1,113,44,2,19181,1,1,1,2
4,1,113,44,2,19182,1,1,1,2
4,1,113,44,2,19183,1,1,1,2
4,1,113,44,2,19184,1,1,2,2
4,1,113,44,2,19185,1,1,2,2
4,1,113,44,2,19186,1,1,1,2
4,1,113,44,2,19187,1,1,2,2
4,1,113,44,2,19188,1,1,2,2
4,1,113,44,2,19191,1,1,1,2
4,1,113,44,2,19192,1,1,2,2
4,1,113,284,2,19193,1,2,2,2
4,1,113,284,2,19194,1,2,2,2
4,1,113,284,2,19195,1,2,2,2
4,1,113,284,2,19196,2,2,2,2
4,1,113,284,2,19197,2,1,2,2
4,1,113,284,2,19198,2,2,2,2
4,1,113,284,2,19199,2,2,2,2
4,1,113,284,2,19201,2,2,2,2
4,1,113,284,2,19202,1,1,1,2
4,1,113,284,2,19204,2,1,1,2
4,1,115,176,1,19205,1,1,2,2
4,1,115,176,1,19206,1,1,1,2
4,1,115,176,1,19207,1,1,2,2
4,1,115,176,1,19208,1,1,2,2
4,1,115,176,1,19209,1,1,2,2
4,1,115,176,1,19211,1,1,2,2
4,1,115,176,1,19213,1,1,1,2
4,1,115,176,1,19214,1,1,2,2
4,1,115,176,1,19215,1,1,1,1
4,1,115,176,1,19216,2,2,2,2
4,1,115,550,1,19217,2,2,2,2
4,1,115,550,1,19218,2,2,2,2
4,1,115,550,1,19222,2,2,2,2
4,1,115,550,1,19224,2,2,2,2
4,1,115,550,1,19225,2,2,2,2
4,1,115,550,1,19226,2,2,2,2
4,1,115,550,1,19227,2,2,2,2
4,1,115,550,1,19228,2,2,2,2
4,1,117,800,2,19230,1,1,1,1
4,1,117,800,2,19231,1,1,1,2
4,1,117,800,2,19232,1,1,1,1
4,1,117,800,2,19234,2,2,2,2
4,1,117,800,2,19235,1,1,2,2
4,1,117,800,2,19236,1,1,2,2
4,1,117,800,2,19238,1,1,2,2
4,1,117,800,2,19239,1,2,2,2
4,1,102,46,1,19242,2,2,2,2
4,1,102,806,1,19244,2,2,2,2
4,1,102,2486,1,19245,2,2,2,2
4,1,104,1020,2,19250,1,2,2,2
4,1,107,1322,2,19254,1,2,1,2
4,1,112,266,2,19266,1,2,2,2
4,1,113,6,2,19269,1,2,1,2
4,1,115,550,1,19277,2,1,2,2
4,1,115,550,1,19278,2,1,2,2
4,1,117,800,2,19279,2,1,2,2
4,1,117,800,2,19280,1,1,2,2
4,1,102,806,1,19284,2,1,2,2
2,2,209,1040,2,20001,1,2,2,1
2,2,209,1040,2,20002,1,2,2,1
