"zone","state","lga","sector","ea","hhid","plotid","doc_id","s11b1q10a","s11b1q10b_1","s11b1q10b_2","s11b1q10b_3","s11b1q10b_4","s11b1q10b_5","s11b1q10b_6"
4,1,115,1,670,10001,1,2,1,1,2,,,,
4,1,115,1,670,10001,1,5,1,1,2,,,,
4,1,115,1,670,10003,1,2,1,1,2,,,,
4,1,115,1,670,10008,1,2,1,1,2,,,,
4,1,102,1,1690,10053,1,2,1,1,,,,,
4,1,102,1,1690,10053,1,3,1,1,,,,,
4,1,102,1,1690,10053,1,6,1,1,,,,,
4,1,107,2,1044,10064,1,3,2,,,,,,
4,1,104,2,412,19048,1,1,1,1,,,,,
4,1,109,2,1214,19094,2,4,1,1,2,,,,
4,1,113,2,284,19197,1,2,1,1,,,,,
4,1,113,2,284,19197,1,5,1,1,,,,,
4,1,113,2,284,19197,1,6,1,1,,,,,
4,1,102,1,806,19284,1,2,1,1,,,,,
4,1,102,1,806,19284,1,3,1,1,,,,,
4,1,102,1,806,19284,1,4,1,1,,,,,
4,1,102,1,806,19284,1,6,1,1,,,,,
2,2,210,2,1300,20061,3,3,1,1,,,,,
2,2,210,2,1300,20063,7,2,2,,,,,,
2,2,210,2,1300,20064,1,3,1,1,,,,,
2,2,210,2,1300,20064,3,3,1,1,,,,,
2,2,210,2,1300,20064,4,3,2,,,,,,
2,2,210,2,1300,20064,5,3,2,,,,,,
2,2,210,2,1300,20064,6,3,1,1,,,,,
2,2,207,2,1302,20091,3,3,1,1,,,,,
2,2,204,2,144,29006,4,1,1,1,,,,,
2,2,209,2,10,29058,1,2,1,1,2,,,,
2,2,210,2,924,29063,4,3,1,1,,,,,
2,2,210,2,924,29064,4,3,2,,,,,,
2,2,210,2,924,29065,3,2,2,,,,,,
2,2,211,2,668,29101,3,2,1,1,,,,,
2,2,211,2,668,29103,3,1,1,1,,,,,
2,2,211,2,668,29105,3,2,1,1,,,,,
2,2,212,2,100,29109,1,4,1,1,2,,,,
2,2,215,2,814,29169,3,2,2,,,,,,
2,2,218,2,1624,29181,4,6,1,1,2,,,,
2,2,218,2,1624,29183,1,3,1,1,,,,,
2,2,218,2,1624,29183,2,3,1,1,,,,,
2,2,219,2,124,29198,1,3,1,1,,,,,
2,2,219,2,124,29198,2,3,1,1,,,,,
2,2,219,2,124,29198,3,3,1,1,,,,,
2,2,219,2,124,29199,1,2,1,1,,,,,
2,2,219,2,124,29199,2,1,1,1,,,,,
2,2,220,2,112,29206,1,2,1,5,,,,,
2,2,220,2,112,29211,1,3,1,1,,,,,
2,2,220,2,112,29211,2,5,1,1,2,,,,
2,2,220,2,112,29213,1,2,1,1,,,,,
2,2,221,1,750,29218,2,1,1,1,5,,,,
2,2,221,1,750,29218,3,1,1,1,5,,,,
2,2,221,1,750,29219,3,2,1,1,,,,,
2,2,221,1,750,29220,1,2,1,1,,,,,
2,2,221,1,750,29220,2,2,1,1,,,,,
2,2,221,1,750,29220,3,3,1,1,,,,,
2,2,221,1,750,29226,2,3,1,1,,,,,
2,2,221,1,750,29226,3,2,2,,,,,,
5,3,316,2,874,30022,1,2,1,1,,,,,
5,3,316,2,874,30023,2,5,1,1,,,,,
5,3,316,2,874,30024,2,5,1,1,4,10,,,
5,3,316,2,874,30024,2,6,1,1,4,10,,,
5,3,316,2,874,30025,1,5,1,1,,,,,
5,3,316,2,874,30025,1,6,1,1,,,,,
5,3,316,2,874,30026,1,2,1,1,2,,,,
5,3,316,2,0,30029,1,2,1,1,2,,,,
5,3,316,2,0,30029,1,6,1,1,2,,,,
5,3,307,1,634,30044,1,2,1,1,2,,,,
5,3,307,1,634,30044,1,5,1,1,2,,,,
5,3,307,1,634,30044,1,6,2,,,,,,
5,3,307,1,634,30045,1,5,1,1,,,,,
5,3,307,1,634,30045,1,6,1,1,,,,,
5,3,307,1,634,30046,1,2,1,1,,,,,
5,3,307,1,634,30046,1,5,1,1,,,,,
5,3,307,1,634,30046,1,6,1,1,,,,,
5,3,307,1,634,30046,2,2,2,,,,,,
5,3,307,1,634,30046,3,2,1,1,,,,,
5,3,307,1,634,30049,3,2,1,1,,,,,
5,3,318,2,1136,30084,1,2,1,3,4,,,,
