"zone","state","lga","sector","ea","hhid","plotid","indiv","s11c1q1a","s11c1q1b","s11c1q1c","s11c1q1d_1","s11c1q1d_2","s11c1q1d_3","s11c1q1d_4","s11c1q1d_5","s11c1q1d_6"
4,1,105,2,0,10009,1,2,1,18,5,0,1,1,1,1,0
4,1,105,2,0,10009,1,3,2,,,,,,,,
4,1,105,2,0,10009,1,6,1,22,5,0,0,1,1,1,0
4,1,105,2,0,10009,1,5,2,,,,,,,,
4,1,105,2,0,10009,1,1,1,20,5,0,1,0,1,0,1
4,1,105,2,0,10009,2,6,1,15,5,0,0,1,1,1,0
4,1,105,2,0,10009,2,2,1,23,5,0,0,1,1,1,0
4,1,105,2,0,10009,2,3,2,,,,,,,,
4,1,105,2,0,10009,2,1,1,18,5,0,1,0,1,0,1
4,1,105,2,0,10009,2,5,2,,,,,,,,
4,1,111,1,1146,10031,1,1,1,15,3,0,1,0,0,0,1
4,1,111,1,1146,10031,1,5,2,,,,,,,,
4,1,111,1,1146,10031,1,4,2,,,,,,,,
4,1,111,1,1146,10031,1,2,1,15,4,0,0,1,0,0,1
4,1,111,1,1146,10031,1,3,2,,,,,,,,
4,1,107,2,1044,10061,1,7,2,,,,,,,,
4,1,107,2,1044,10061,1,5,2,,,,,,,,
4,1,107,2,1044,10061,1,2,1,25,5,0,1,1,1,0,1
4,1,107,2,1044,10061,1,4,1,19,4,1,1,1,1,0,0
4,1,107,2,1044,10061,1,8,2,,,,,,,,
4,1,107,2,1044,10061,1,1,1,31,5,1,1,1,1,0,1
4,1,107,2,1044,10061,1,6,2,,,,,,,,
4,1,107,2,1044,10061,1,3,2,,,,,,,,
4,1,107,2,1044,10061,2,5,2,,,,,,,,
4,1,107,2,1044,10061,2,8,2,,,,,,,,
4,1,107,2,1044,10061,2,4,1,20,4,1,1,1,1,0,0
4,1,107,2,1044,10061,2,3,2,,,,,,,,
4,1,107,2,1044,10061,2,7,2,,,,,,,,
4,1,107,2,1044,10061,2,1,1,33,6,1,1,1,1,0,1
4,1,107,2,1044,10061,2,6,2,,,,,,,,
4,1,107,2,1044,10061,2,2,1,36,5,0,1,1,1,0,1
4,1,107,2,1044,10061,3,8,2,,,,,,,,
4,1,107,2,1044,10061,3,4,1,27,3,1,1,1,1,0,0
4,1,107,2,1044,10061,3,1,1,35,4,1,1,0,1,0,1
4,1,107,2,1044,10061,3,3,2,,,,,,,,
4,1,107,2,1044,10061,3,2,2,,,,,,,,
4,1,107,2,1044,10061,3,6,2,,,,,,,,
4,1,107,2,1044,10061,3,7,2,,,,,,,,
4,1,107,2,1044,10061,3,5,2,,,,,,,,
4,1,107,2,1044,10061,4,1,2,,,,,,,,
4,1,107,2,1044,10061,4,4,2,,,,,,,,
4,1,107,2,1044,10061,4,8,2,,,,,,,,
4,1,107,2,1044,10061,4,6,2,,,,,,,,
4,1,107,2,1044,10061,4,5,2,,,,,,,,
4,1,107,2,1044,10061,4,3,1,23,3,0,1,1,1,0,0
4,1,107,2,1044,10061,4,7,2,,,,,,,,
4,1,107,2,1044,10061,4,2,1,26,3,0,1,1,1,0,1
4,1,107,2,1044,10061,5,2,1,25,4,0,1,1,1,0,1
4,1,107,2,1044,10061,5,5,2,,,,,,,,
4,1,107,2,1044,10061,5,6,2,,,,,,,,
4,1,107,2,1044,10061,5,1,2,,,,,,,,
4,1,107,2,1044,10061,5,8,2,,,,,,,,
4,1,107,2,1044,10061,5,4,1,26,4,1,1,1,1,0,0
4,1,107,2,1044,10061,5,7,2,,,,,,,,
4,1,107,2,1044,10061,5,3,1,23,3,0,1,1,1,0,0
4,1,107,2,1044,10061,6,3,1,29,4,0,1,1,1,0,0
4,1,107,2,1044,10061,6,7,2,,,,,,,,
4,1,107,2,1044,10061,6,2,1,28,5,0,1,1,1,0,1
4,1,107,2,1044,10061,6,4,1,27,4,0,1,1,1,0,0
4,1,107,2,1044,10061,6,8,2,,,,,,,,
4,1,107,2,1044,10061,6,1,2,,,,,,,,
4,1,107,2,1044,10061,6,6,2,,,,,,,,
4,1,107,2,1044,10061,6,5,2,,,,,,,,
4,1,107,2,1044,10062,1,4,1,21,3,0,1,1,1,0,0
4,1,107,2,1044,10062,1,1,1,33,3,0,1,1,1,0,0
4,1,107,2,1044,10062,2,1,1,39,2,0,1,1,1,0,1
4,1,107,2,1044,10062,2,4,2,,,,,,,,
4,1,107,2,1044,10062,3,4,1,19,3,0,1,1,1,0,0
4,1,107,2,1044,10062,3,1,1,28,3,0,1,1,1,0,1
4,1,107,2,1044,10063,1,13,1,2,2,0,0,1,0,0,0
4,1,107,2,1044,10063,1,7,1,1,2,0,1,1,0,0,0
4,1,107,2,1044,10063,1,12,1,1,2,0,0,1,0,0,0
