"zone","state","lga","sector","ea","hhid","plotid","s11c1q2a","s11c1q2","s11c1q3","s11c1q3a","s11c1q4","s11c1q4a_1","s11c1q4a_2","s11c1q4a_3","s11c1q4a_4","s11c1q4a_5","s11c1q5a","s11c1q5","s11c1q6","s11c1q6a","s11c1q7","s11c1q7a_1","s11c1q7a_2","s11c1q7a_3","s11c1q7a_4","s11c1q7a_5","s11c1q8a","s11c1q8","s11c1q9","s11c1q9a","s11c1q10","s11c1q10a_1","s11c1q10a_2","s11c1q10a_3","s11c1q10a_4","s11c1q10a_5","s11c1q13a","s11c1q14a","s11c1q15a","s11c1q16a","s11c1q17a_1","s11c1q17a_2","s11c1q17a_3","s11c1q17a_4","s11c1q17a_5","s11c1q13b","s11c1q14b","s11c1q15b","s11c1q16b","s11c1q17b_1","s11c1q17b_2","s11c1q17b_3","s11c1q17b_4","s11c1q17b_5","s11c1q13c","s11c1q14c","s11c1q15c","s11c1q16c","s11c1q17c_1","s11c1q17c_2","s11c1q17c_3","s11c1q17c_4","s11c1q17c_5"
4,1,105,2,0,10009,1,1,2,22,6,2000,1,1,0,0,0,1,2,26,6,1200,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,2,1,2,20,6,2000,1,1,0,0,0,1,2,23,6,1200,0,0,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10031,1,1,3,1,6,3000,1,0,0,1,0,1,3,5,6,2000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,3,2,,,,,,,,,,1,3,2,4,1000,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10064,1,1,1,2,5,1000,1,1,0,0,0,1,2,3,4,800,0,1,1,0,0,1,1,3,5,500,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10064,3,1,5,6,6,1000,1,1,0,0,0,1,3,5,4,800,0,1,1,0,0,1,2,4,3,500,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,0,10065,1,1,2,2,6,2000,1,0,0,0,0,1,3,2,6,1000,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,0,10065,2,1,2,2,6,2000,1,0,0,0,0,1,4,3,6,1000,0,0,1,0,0,1,2,3,6,1000,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,1,1,7,10,8,1500,1,0,0,1,0,1,15,12,8,1000,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,2,1,5,8,10,1500,1,0,0,1,0,1,8,12,8,1000,1,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10067,1,1,10,12,8,1500,0,0,0,1,0,1,12,13,8,1000,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10067,2,1,9,8,8,1500,1,0,0,1,0,1,10,6,8,1000,0,1,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10067,4,1,7,6,8,1500,1,0,0,1,0,1,9,6,8,1000,1,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10068,1,1,5,3,7,1000,1,0,0,1,0,1,4,2,6,800,0,1,1,0,0,1,2,2,6,800,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10068,2,1,3,2,6,1000,1,0,0,1,0,1,2,1,5,800,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10069,1,1,5,2,6,1500,1,0,0,1,0,1,3,2,5,1000,0,0,1,0,0,1,1,2,6,1000,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,0,10070,1,1,14,3,8,1500,1,0,0,1,0,1,10,3,8,1200,1,1,1,0,0,2,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,1,6,2,5,1,1,1,0,0
4,1,107,2,0,10070,2,1,6,3,8,1500,1,1,0,1,1,1,9,4,8,1200,1,1,1,1,0,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,1,3,3,5,1,0,1,1,0
4,1,117,2,560,10071,1,1,9,8,8,2000,1,0,0,1,0,1,8,10,8,1500,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10071,2,1,7,9,8,2000,1,0,0,1,0,1,8,10,8,1500,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10071,3,1,5,4,8,2000,1,0,0,1,0,1,4,5,8,1500,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10072,1,1,10,8,8,2000,1,0,0,1,0,1,12,10,8,1500,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10072,2,1,10,8,8,2000,1,0,0,1,0,1,10,8,8,1500,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10073,1,1,4,12,8,2000,1,0,0,1,0,1,3,10,8,1500,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10074,1,1,10,12,8,2000,1,0,0,1,0,1,12,14,8,1500,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10075,1,1,3,30,7,2000,1,1,0,0,0,1,3,30,7,2000,0,0,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
