"zone","state","lga","sector","ea","hhid","item_cd","s11dq7","s11dq8"
4,1,115,1,670,10001,501,2,
4,1,115,1,670,10001,502,2,
4,1,115,1,670,10001,503,2,
4,1,115,1,670,10001,504,2,
4,1,115,1,670,10001,505,2,
4,1,115,1,670,10001,506,2,
4,1,115,1,670,10001,507,2,
4,1,115,1,670,10001,508,2,
4,1,115,1,670,10001,509,2,
4,1,115,1,670,10001,510,2,
4,1,115,1,670,10001,511,2,
4,1,115,1,670,10001,512,2,
4,1,115,1,670,10001,513,2,
4,1,115,1,670,10001,514,2,
4,1,115,1,670,10001,515,2,
4,1,115,1,670,10001,516,2,
4,1,115,1,670,10001,517,2,
4,1,115,1,670,10002,501,2,
4,1,115,1,670,10002,502,2,
4,1,115,1,670,10002,503,2,
4,1,115,1,670,10002,504,2,
4,1,115,1,670,10002,505,2,
4,1,115,1,670,10002,506,2,
4,1,115,1,670,10002,507,2,
4,1,115,1,670,10002,508,2,
4,1,115,1,670,10002,509,2,
4,1,115,1,670,10002,510,2,
4,1,115,1,670,10002,511,2,
4,1,115,1,670,10002,512,2,
4,1,115,1,670,10002,513,2,
4,1,115,1,670,10002,514,2,
4,1,115,1,670,10002,515,2,
4,1,115,1,670,10002,516,2,
4,1,115,1,670,10002,517,2,
4,1,115,1,670,10003,501,2,
4,1,115,1,670,10003,502,2,
4,1,115,1,670,10003,503,2,
4,1,115,1,670,10003,504,2,
4,1,115,1,670,10003,505,2,
4,1,115,1,670,10003,506,2,
4,1,115,1,670,10003,507,2,
4,1,115,1,670,10003,508,2,
4,1,115,1,670,10003,509,2,
4,1,115,1,670,10003,510,2,
4,1,115,1,670,10003,511,2,
4,1,115,1,670,10003,512,2,
4,1,115,1,670,10003,513,2,
4,1,115,1,670,10003,514,2,
4,1,115,1,670,10003,515,2,
4,1,115,1,670,10003,516,2,
4,1,115,1,670,10003,517,2,
4,1,115,1,670,10004,501,2,
4,1,115,1,670,10004,502,2,
4,1,115,1,670,10004,503,2,
4,1,115,1,670,10004,504,2,
4,1,115,1,670,10004,505,2,
4,1,115,1,670,10004,506,2,
4,1,115,1,670,10004,507,2,
4,1,115,1,670,10004,508,2,
4,1,115,1,670,10004,509,2,
4,1,115,1,670,10004,510,2,
4,1,115,1,670,10004,511,2,
4,1,115,1,670,10004,512,2,
4,1,115,1,670,10004,513,2,
4,1,115,1,670,10004,514,2,
4,1,115,1,670,10004,515,2,
4,1,115,1,670,10004,516,2,
4,1,115,1,670,10004,517,2,
4,1,115,1,670,10005,501,2,
4,1,115,1,670,10005,502,2,
4,1,115,1,670,10005,503,2,
4,1,115,1,670,10005,504,2,
4,1,115,1,670,10005,505,2,
4,1,115,1,670,10005,506,2,
4,1,115,1,670,10005,507,2,
4,1,115,1,670,10005,508,2,
4,1,115,1,670,10005,509,2,
4,1,115,1,670,10005,510,2,
4,1,115,1,670,10005,511,2,
4,1,115,1,670,10005,512,2,
4,1,115,1,670,10005,513,2,
4,1,115,1,670,10005,514,2,
4,1,115,1,670,10005,515,2,
4,1,115,1,670,10005,516,2,
4,1,115,1,670,10005,517,2,
4,1,115,1,670,10008,501,2,
4,1,115,1,670,10008,502,2,
4,1,115,1,670,10008,503,2,
4,1,115,1,670,10008,504,2,
4,1,115,1,670,10008,505,2,
4,1,115,1,670,10008,506,2,
4,1,115,1,670,10008,507,2,
4,1,115,1,670,10008,508,2,
4,1,115,1,670,10008,509,2,
4,1,115,1,670,10008,510,2,
4,1,115,1,670,10008,511,2,
4,1,115,1,670,10008,512,2,
4,1,115,1,670,10008,513,2,
4,1,115,1,670,10008,514,2,
4,1,115,1,670,10008,515,2,
4,1,115,1,670,10008,516,2,
4,1,115,1,670,10008,517,2,
4,1,105,2,0,10009,501,2,
4,1,105,2,0,10009,502,2,
4,1,105,2,0,10009,503,2,
4,1,105,2,0,10009,504,2,
4,1,105,2,0,10009,505,2,
4,1,105,2,0,10009,506,2,
4,1,105,2,0,10009,507,2,
4,1,105,2,0,10009,508,2,
