"zone","state","lga","sector","ea","hhid","seedid","cropcode","s11eq4a","s11eq4a_os","s11eq4","s11eq6a","s11eq6b","s11eq6b_os","s11eq6c","s11eq8","s11eq10a","s11eq10b","s11eq10b_os","s11eq10c","s11eq11","s11eq11_os","s11eq13","s11eq13_os","s11eq14","s11eq18a","s11eq18b","s11eq18b_os","s11eq18c","s11eq15_1","s11eq15_2","s11eq15_3","s11eq15_4","s11eq21","s11eq21a","s11eq22a","s11eq22a_os","s11eq23a","s11eq20","s11eq20_os"
4,1,105,2,0,10009,10202,1020,7,,1,30,100,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,105,2,0,10009,10801,1080,6,,2,,,,,2,,,,,,,,,1,16,13,,,1,2,,,600,2,1,,15,1,
4,1,111,1,1146,10031,10202,1020,7,,2,,,,,1,5,100,,1,2,,5,,2,,,,,,,,,,,,,,,
4,1,111,1,1146,10031,10802,1080,6,,2,,,,,2,,,,,,,,,1,5,13,,,1,,,,200,1,6,,15,5,
4,1,111,1,1146,10031,21902,2190,6,,2,,,,,1,3,70,,0,2,,1,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,10202,1020,6,,1,300,210,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,10802,1080,7,,1,5,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,11212,1121,9,,2,,,,,2,,,,,,,,,1,35,211,,,1,,,,7000,1,7,,25,5,
4,1,107,2,1044,10061,11242,1124,5,,1,25,211,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,20601,2060,3,,2,,,,,1,2,13,,,3,,1,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,20802,2080,7,,2,,,,,2,,,,,,,,,1,2,13,,,1,,,,800,1,4,,3,5,
4,1,107,2,1044,10061,21422,2142,9,,2,,,,,2,,,,,,,,,1,1,13,,,1,,,,150,1,6,,3,5,
4,1,107,2,1044,10061,21942,2194,9,,1,2,70,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,10202,1020,6,,1,100,210,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,10801,1080,6,,1,11,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,10802,1080,9,,1,9,13,,,2,,,,,,,,,2,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,20802,2080,4,,2,,,,,2,,,,,,,,,1,6,13,,,1,,,,600,1,3,,0.5,1,
