"zone","state","lga","sector","ea","hhid","s11eq12","s11eq19"
4,1,105,2,0,10009,,200
4,1,111,1,1146,10031,150,200
4,1,107,2,1044,10061,250,700
4,1,107,2,1044,10062,,500
4,1,107,2,1044,10063,,2000
4,1,107,2,1044,10064,,3000
4,1,102,1,0,10065,,
4,1,107,2,1044,10066,500,
4,1,107,2,1044,10067,,
4,1,107,2,1044,10068,,
4,1,107,2,1044,10069,,
4,1,107,2,0,10070,,
4,1,117,2,560,10071,,500
4,1,117,2,560,10072,1500,4000
4,1,117,2,560,10073,,
4,1,117,2,560,10074,,500
4,1,117,2,560,10075,,200
4,1,117,2,560,10076,,
4,1,117,2,560,10077,,
4,1,117,2,560,10078,,
4,1,117,2,560,10079,,400
4,1,117,2,560,10080,,500
4,1,105,2,638,10091,,1200
4,1,105,2,638,10092,,8000
5,3,322,2,0,10093,,0
4,1,105,2,638,10094,,600
4,1,105,2,638,10096,,500
4,1,105,2,638,10097,,
4,1,105,2,638,10099,1200,
4,1,105,2,638,10100,,
4,1,108,2,904,10102,,500
4,1,108,2,904,10103,,500
4,1,108,2,904,10104,,
4,1,108,2,904,10105,,300
4,1,108,2,904,10106,,200
4,1,108,2,904,10107,600,
4,1,108,2,904,10108,,
4,1,108,2,904,10109,,800
4,1,108,2,904,10110,,
4,1,102,1,46,19008,,800
4,1,104,2,412,19038,,
4,1,104,2,412,19039,100,500
4,1,104,2,412,19041,1000,
4,1,104,2,412,19043,,200
4,1,104,2,412,19044,,
4,1,104,2,412,19045,1500,1800
4,1,104,2,412,19047,,
4,1,104,2,412,19048,,5500
4,1,104,2,1020,19049,,500
4,1,104,2,1020,19051,500,400
4,1,104,2,1020,19052,,2000
4,1,104,2,1020,19054,500,3500
4,1,104,2,1020,19055,,
4,1,104,2,1020,19056,,1000
4,1,104,2,1020,19058,,300
4,1,104,2,1020,19060,,
4,1,107,2,10,19061,,5000
4,1,107,2,10,19062,,6000
4,1,107,2,10,19063,,5000
4,1,107,2,10,19064,,
4,1,107,2,10,19066,,
4,1,107,2,10,19068,,
4,1,107,2,10,19069,,2000
4,1,107,2,10,19070,,1700
4,1,107,2,10,19071,,3500
4,1,107,2,10,19072,,300
4,1,107,2,1322,19073,,500
4,1,107,2,1322,19075,,500
4,1,107,2,1322,19076,,300
4,1,107,2,1322,19077,,400
4,1,107,2,1322,19079,,1000
4,1,107,2,1322,19080,,300
4,1,107,2,1322,19081,,1000
4,1,107,2,1322,19082,,
4,1,107,2,1322,19084,,
4,1,109,2,1214,19085,,1600
4,1,109,2,1214,19087,800,30000
4,1,109,2,1214,19088,,500
4,1,109,2,1214,19089,,4000
4,1,109,2,1214,19091,,
4,1,109,2,1214,19092,,
4,1,109,2,1214,19093,,400
4,1,109,2,1214,19094,,
4,1,109,2,1214,19095,,16000
