"zone","state","lga","sector","ea","hhid","plotid","cropcode","s11fq0","s11fq1","s11fq2a","s11fq3d_1","s11fq3d_2","s11fq3d_2_os","s11fq3d_3","s11fq3b","s11fq3aa","s11fq3c","s11fq3e","s11fq3f","s11fq3_1","s11fq3_2","s11fq4aa","s11fq4","s11fq5aa","s11fq6","s11fq7","s11fq7a","s11fq8aa","s11fq8a","s11fq8b","s11fq8c","s11fq8d","s11fq9","s11fq10","s11fq10_os","s11fq11a","s11fq11b","s11fq11b_os","s11fq11c","s11fq11d","s11fq12a","s11fq12b","s11fq12b_os","s11fq12c","s11fq12d","s11fq13"
4,1,105,2,0,10009,1,1020,1,100,2,20,100,,1,2,,,,,8,2018,,,,,,,2,,,,,,,,,,,,,48,130,,10,,1
4,1,105,2,0,10009,1,1080,1,100,2,10,13,,,1,1,"PRO VITAMIN A MAIZE",1,,8,2018,,,,,,,,,,,,,,,,,,,,5,10,,,1,1
4,1,105,2,0,10009,2,1020,1,100,2,10,100,,1,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,26,130,,10,,1
4,1,105,2,0,10009,2,1080,1,100,2,6,13,,,1,1,"UBA SUPER SIX",1,,4,2018,,,,,,,,,,,,,,,,,,,,5,10,,,1,1
4,1,111,1,1146,10031,1,1020,1,100,2,3,100,,1,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,10,150,,2,,2
4,1,111,1,1146,10031,1,1080,1,100,2,4,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,10,150,,2,1,2
4,1,111,1,1146,10031,1,2190,1,100,2,3,70,,0,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,8,100,,1,,1
4,1,107,2,1044,10061,1,2080,1,100,1,1.5,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,3,130,,10,,1
4,1,107,2,1044,10061,2,2060,1,100,1,1,13,,,1,1,"Dont know",1,,5,2018,,,,,,,,,,,,,,,,,,,,3,130,,10,,1
4,1,107,2,1044,10061,3,1124,1,100,1,150,900,"STANDS",99,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,20,130,,10,,1
4,1,107,2,1044,10061,4,1020,1,100,1,250,210,,,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,75,130,,11,,1
4,1,107,2,1044,10061,5,1080,1,100,1,16,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,7,130,,12,1,1
4,1,107,2,1044,10061,6,1121,1,50,2,42,211,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,42,211,,,,1
4,1,107,2,1044,10061,6,2142,1,33,2,2,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,1,10,,,,1
4,1,107,2,1044,10061,6,2194,1,50,2,12,1,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,10,100,,2,,1
4,1,107,2,1044,10062,1,1020,1,50,2,150,210,,,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,15,130,,10,,1
4,1,107,2,1044,10062,1,1080,1,50,2,2,13,,,1,-98,"dont know",1,,4,2018,,,,,,,,,,,,,,,,,,,,10,130,,10,1,1
4,1,107,2,1044,10062,2,1020,1,75,2,180,210,,,2,,,,,4,2018,,,,,,,1,1,2018,2,2018,2,,,25,130,,10,,36,130,,10,,1
4,1,107,2,1044,10062,2,1080,1,33,2,3,13,,,2,,,,,1,2018,,,,,,,,,,,,,,,,,,,,9,130,,10,1,1
4,1,107,2,1044,10062,2,2080,1,50,2,4,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,7,130,,10,,1
4,1,107,2,1044,10062,3,1020,1,50,2,125,210,,,2,,,,,5,2018,,,,,,,2,,,,,,,,,,,,,29,130,,10,,1
