"zone","state","lga","sector","ea","hhid","livestock_cd","s11jq1a","s11jq2_1","s11jq2_2","s11jq2_3","s11jq2_4","s11jq2_5","s11jq2_6","s11jq2_7","s11jq2_8","s11jq2_9","s11jq2_10","s11jq2_11","s11jq2_os","s11jq3","s11jq4","s11jq5_1","s11jq5_2","s11jq5_3","s11jq5_4","s11jq5_5","s11jq5_6","s11jq5_7","s11jq5_8","s11jq5_9","s11jq5_10","s11jq5_11","s11jq5_os","s11jq6","s11jq7","s11jq8","s11jq11","s11jq11_os","s11jq12","s11jq13","s11jq14","s11jq15_1","s11jq15_2","s11jq15_3","s11jq15_4","s11jq15_5","s11jq15_6","s11jq15_7","s11jq15_8","s11jq15_9","s11jq15_10","s11jq16","s11jq17","s11jq18","s11jq19","s11jq20","s11jq21","s11jq22","s11jq23"
4,1,102,1,0,10055,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,1,,2,,3,2,,,,,,,,,,2,,2,,2,,2,
4,1,107,2,1044,10061,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,3,1,2,3,4,,,,,,,2,,2,,2,,2,
4,1,107,2,1044,10061,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,5,,2,,3,3,4,,,,,,,,,2,,2,,2,,2,
4,1,107,2,1044,10063,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,5,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,107,2,1044,10064,3,1,0,0,0,0,1,0,0,0,0,0,0,,0,2,,,,,,,,,,,,,,2,,2,,2,,2,1,4,,,,,,,,,2,,2,,2,,2,
4,1,107,2,1044,10064,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,5,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,107,2,1044,10066,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,107,2,1044,10067,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,1,2500,1,,,,,,,,,,,,,2,,2,,2,
4,1,107,2,1044,10067,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,107,2,1044,10068,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,107,2,0,10070,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,117,2,560,10071,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,2,3,,,,,,,,,,2,,2,,2,,2,
4,1,117,2,560,10074,3,2,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,,1800,2,,4,,2,,3,2,,,,,,,,,,2,,2,,2,,2,
4,1,117,2,560,10080,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,5,,2,,3,1,,,,,,,,,,2,,2,,2,,2,
4,1,117,2,560,10080,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,1,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,105,2,638,10091,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,3,5,,,,,,,,,,2,,2,,2,,2,
5,3,322,2,0,10093,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,1,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,105,2,638,10100,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,5,,2,,3,1,,,,,,,,,,2,,2,,2,,2,
4,1,108,2,904,10102,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,102,1,46,19008,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,4,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,102,1,806,19014,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,104,2,412,19047,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,5,,2,,4,2,,,,,,,,,,2,,2,,2,,2,
4,1,104,2,412,19048,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,5,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,104,2,1020,19049,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,4,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,104,2,1020,19050,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,104,2,1020,19052,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,3,3,,,,,,,,,,2,,2,,2,,2,
4,1,104,2,1020,19056,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,1,,2,,3,1,,,,,,,,,,2,,2,,2,,2,
4,1,107,2,10,19064,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,107,2,10,19066,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,107,2,10,19068,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,107,2,1322,19073,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,4,,2,,4,1,3,,,,,,,,,2,,2,,2,,2,
4,1,107,2,1322,19073,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,107,2,1322,19081,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,1,1200,1,,,,,,,,,,,,,2,,2,,2,
4,1,107,2,1322,19082,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,1,1600,1,,,,,,,,,,,,,2,,2,,2,
4,1,107,2,1322,19084,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1214,19085,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,2000,1,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1214,19091,3,2,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,0,0,,16000,1,25000,3,,2,,3,1,,,,,,,,,,2,,2,,2,,2,
4,1,109,2,1214,19091,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1214,19092,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1214,19094,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1214,19096,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1792,19097,4,2,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,0,0,0,0,,30000,1,20000,2,,2,,2,1,,,,,,,,,,1,70000,2,,2,,2,
4,1,109,2,1792,19100,5,2,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,,2400,2,,7,,2,,4,1,2,,,,,,,,,1,10500,2,,2,,2,
4,1,109,2,1792,19101,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,4,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1792,19103,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1792,19104,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1792,19105,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1792,19107,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19110,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19112,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19115,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19115,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19116,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19117,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19119,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19120,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,1,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,110,2,338,19121,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
