"zone","state","lga","sector","ea","hhid","livestock_cd","animal_cd","s11k2q1","s11k2q4","s11k2q2","s11k2q3","s11k2q5","s11k2q6_1","s11k2q6_2","s11k2q6_3","s11k2q6_4","s11k2q7_1","s11k2q7_2","s11k2q7_3","s11k2q7_4","s11k2q7_99","s11k2q8","s11k2q10","s11k2q11","s11k2q12","s11k2q13","s11k2q14"
4,1,107,2,1044,10061,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,3,111,2,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10064,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10064,3,111,2,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10067,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10068,3,111,2,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10071,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10074,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10080,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10080,3,111,2,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10091,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10100,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10102,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19047,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19052,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,104,2,1020,19056,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19073,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19085,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,109,2,1214,19091,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,109,2,1792,19101,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,109,2,1996,19112,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,109,2,1996,19115,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,110,2,338,19121,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,110,2,338,19122,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,110,2,338,19122,3,111,2,,,,,,,,,,,,,,,,,,,
4,1,110,2,338,19127,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,111,2,118,19144,3,110,2,,,,,,,,,,,,,,,,,,,
4,1,113,2,6,19170,3,110,2,,,,,,,,,,,,,,,,,,,
