"zone","state","lga","sector","ea","hhid","livestock_cd","animal_cd","s11k3q1","s11k3q2","s11k3q2a","s11k3q3","s11k3q4","s11k3q4a","s11k3q5","s11k3q6","s11k3q7_1","s11k3q7_2","s11k3q7_3","s11k3q8"
4,1,107,2,1044,10061,5,114,1,3,2,7,1,14,1,5,1,,,250
4,1,107,2,1044,10063,5,114,1,3,2,5,3,15,2,,,,,
4,1,107,2,1044,10064,5,114,1,3,3,8,4,30,2,,,,,
4,1,107,2,1044,10066,5,114,1,2,3,25,3,60,1,45,7,,,2250
4,1,107,2,1044,10067,5,114,1,3,3,36,3,36,1,30,2,,,1500
4,1,107,2,1044,10069,5,114,1,2,2,6,4,65,1,30,13,,,2100
4,1,107,2,0,10070,5,114,1,3,3,10,6,50,1,40,2,,,2000
4,1,117,2,560,10080,5,113,1,1,4,1,1,5,2,,,,,
5,3,322,2,0,10093,5,114,1,2,1,6,2,15,2,,,,,
4,1,102,1,46,19008,5,114,1,2,2,5,2,21,2,,,,,
4,1,102,1,806,19014,5,114,1,5,3,30,3,50,1,35,2,,,1050
4,1,104,2,412,19048,5,114,1,12,1,3,5,15,2,,,,,
4,1,104,2,1020,19049,5,114,2,,,,,,,,,,,
4,1,104,2,1020,19050,5,114,1,5,1,7,2,21,2,,,,,
4,1,104,2,1020,19051,5,114,2,,,,,,,,,,,
4,1,107,2,10,19064,5,114,1,3,3,5,2,24,1,15,2,,,550
4,1,107,2,10,19066,5,114,1,2,3,5,3,15,2,,,,,
4,1,107,2,10,19068,5,114,1,3,3,15,3,40,1,25,2,,,1250
4,1,107,2,1322,19073,5,114,1,3,2,5,2,21,2,,,,,
4,1,107,2,1322,19081,5,114,1,3,3,5,4,23,1,12,4,,,600
4,1,107,2,1322,19082,5,114,1,2,3,7,4,35,1,10,1,,,500
4,1,107,2,1322,19084,5,114,1,3,3,18,4,60,1,40,2,,,2000
4,1,109,2,1214,19091,5,114,1,4,3,30,4,45,2,,,,,
4,1,109,2,1214,19092,5,114,1,3,3,17,4,38,1,25,2,,,1250
4,1,109,2,1214,19094,5,114,1,3,3,15,3,25,1,20,4,,,800
4,1,109,2,1214,19096,5,114,1,2,2,5,1,12,2,,,,,
4,1,109,2,1792,19103,5,114,1,3,3,5,2,18,2,,,,,
4,1,109,2,1792,19104,5,114,2,,,,,,,,,,,
4,1,109,2,1792,19105,5,114,1,3,3,20,5,60,1,30,2,,,1500
4,1,109,2,1792,19107,5,114,1,8,2,4,2,15,2,,,,,
4,1,109,2,1996,19110,5,114,1,3,2,8,2,18,2,,,,,
4,1,109,2,1996,19115,5,114,1,3,3,15,3,45,1,30,2,,,1500
4,1,109,2,1996,19116,5,114,1,3,3,4,3,15,1,10,2,,,500
4,1,109,2,1996,19117,5,114,1,3,3,20,4,60,1,50,2,,,2500
4,1,109,2,1996,19119,5,114,1,2,2,5,3,26,2,,,,,
4,1,109,2,1996,19120,5,114,1,2,2,6,2,19,2,,,,,
4,1,110,2,338,19127,5,114,1,1,3,3,1,10,2,,,,,
4,1,111,2,118,19133,5,114,1,2,4,3,1,4,2,,,,,
4,1,111,2,118,19135,5,114,1,1,4,5,1,5,2,,,,,
4,1,112,2,556,19159,5,114,1,4,2,7,3,21,2,,,,,
4,1,113,2,6,19169,5,114,1,3,2,7,2,28,2,,,,,
4,1,113,2,6,19177,5,114,1,3,3,6,3,20,2,,,,,
