"zone","state","lga","sector","ea","hhid","topic_cd","s11l1q1","s11l1q2","s11l1q2_os"
4,1,105,2,0,10009,1,1,1,
4,1,105,2,0,10009,2,2,,
4,1,105,2,0,10009,3,1,1,
4,1,105,2,0,10009,4,2,,
4,1,105,2,0,10009,5,2,,
4,1,105,2,0,10009,6,2,,
4,1,105,2,0,10009,7,2,,
4,1,105,2,0,10009,8,2,,
4,1,105,2,0,10009,9,2,,
4,1,105,2,0,10009,10,2,,
4,1,105,2,0,10009,11,2,,
4,1,105,2,0,10009,12,2,,
4,1,111,1,1146,10031,1,2,,
4,1,111,1,1146,10031,2,2,,
4,1,111,1,1146,10031,3,2,,
4,1,111,1,1146,10031,4,2,,
4,1,111,1,1146,10031,5,1,11,
4,1,111,1,1146,10031,6,2,,
4,1,111,1,1146,10031,7,2,,
4,1,111,1,1146,10031,8,2,,
4,1,111,1,1146,10031,9,2,,
4,1,111,1,1146,10031,10,2,,
4,1,111,1,1146,10031,11,2,,
4,1,111,1,1146,10031,12,2,,
4,14,1412,2,0,10052,1,,,
4,14,1412,2,0,10052,2,,,
4,14,1412,2,0,10052,3,,,
4,14,1412,2,0,10052,4,,,
4,14,1412,2,0,10052,5,,,
4,14,1412,2,0,10052,6,,,
4,14,1412,2,0,10052,7,,,
4,14,1412,2,0,10052,8,,,
4,14,1412,2,0,10052,9,,,
4,14,1412,2,0,10052,10,,,
4,14,1412,2,0,10052,11,,,
4,14,1412,2,0,10052,12,,,
4,1,102,1,0,10055,1,2,,
4,1,102,1,0,10055,2,2,,
4,1,102,1,0,10055,3,2,,
4,1,102,1,0,10055,4,2,,
4,1,102,1,0,10055,5,2,,
4,1,102,1,0,10055,6,2,,
4,1,102,1,0,10055,7,2,,
4,1,102,1,0,10055,8,2,,
4,1,102,1,0,10055,9,2,,
4,1,102,1,0,10055,10,2,,
4,1,102,1,0,10055,11,2,,
4,1,102,1,0,10055,12,2,,
4,1,107,2,1044,10061,1,2,,
4,1,107,2,1044,10061,2,2,,
4,1,107,2,1044,10061,3,2,,
4,1,107,2,1044,10061,4,2,,
4,1,107,2,1044,10061,5,2,,
4,1,107,2,1044,10061,6,2,,
4,1,107,2,1044,10061,7,2,,
4,1,107,2,1044,10061,8,2,,
4,1,107,2,1044,10061,9,2,,
4,1,107,2,1044,10061,10,2,,
4,1,107,2,1044,10061,11,2,,
4,1,107,2,1044,10061,12,2,,
4,1,107,2,1044,10062,1,2,,
4,1,107,2,1044,10062,2,2,,
4,1,107,2,1044,10062,3,2,,
4,1,107,2,1044,10062,4,2,,
4,1,107,2,1044,10062,5,2,,
4,1,107,2,1044,10062,6,2,,
4,1,107,2,1044,10062,7,2,,
4,1,107,2,1044,10062,8,2,,
4,1,107,2,1044,10062,9,2,,
4,1,107,2,1044,10062,10,2,,
4,1,107,2,1044,10062,11,2,,
4,1,107,2,1044,10062,12,2,,
4,1,107,2,1044,10063,1,2,,
4,1,107,2,1044,10063,2,2,,
4,1,107,2,1044,10063,3,2,,
4,1,107,2,1044,10063,4,2,,
4,1,107,2,1044,10063,5,2,,
4,1,107,2,1044,10063,6,2,,
4,1,107,2,1044,10063,7,2,,
4,1,107,2,1044,10063,8,2,,
4,1,107,2,1044,10063,9,2,,
4,1,107,2,1044,10063,10,2,,
4,1,107,2,1044,10063,11,2,,
4,1,107,2,1044,10063,12,2,,
4,1,107,2,1044,10064,1,2,,
4,1,107,2,1044,10064,2,2,,
4,1,107,2,1044,10064,3,2,,
4,1,107,2,1044,10064,4,2,,
4,1,107,2,1044,10064,5,2,,
4,1,107,2,1044,10064,6,2,,
4,1,107,2,1044,10064,7,2,,
4,1,107,2,1044,10064,8,2,,
4,1,107,2,1044,10064,9,2,,
4,1,107,2,1044,10064,10,2,,
4,1,107,2,1044,10064,11,2,,
4,1,107,2,1044,10064,12,2,,
4,1,102,1,0,10065,1,2,,
4,1,102,1,0,10065,2,2,,
4,1,102,1,0,10065,3,2,,
4,1,102,1,0,10065,4,2,,
4,1,102,1,0,10065,5,2,,
4,1,102,1,0,10065,6,2,,
4,1,102,1,0,10065,7,2,,
4,1,102,1,0,10065,8,2,,
4,1,102,1,0,10065,9,2,,
4,1,102,1,0,10065,10,2,,
4,1,102,1,0,10065,11,2,,
4,1,102,1,0,10065,12,2,,
4,1,107,2,1044,10066,1,2,,
4,1,107,2,1044,10066,2,2,,
4,1,107,2,1044,10066,3,2,,
4,1,107,2,1044,10066,4,2,,
4,1,107,2,1044,10066,5,2,,
4,1,107,2,1044,10066,6,2,,
4,1,107,2,1044,10066,7,2,,
4,1,107,2,1044,10066,8,2,,
4,1,107,2,1044,10066,9,2,,
4,1,107,2,1044,10066,10,2,,
4,1,107,2,1044,10066,11,2,,
4,1,107,2,1044,10066,12,2,,
4,1,107,2,1044,10067,1,2,,
4,1,107,2,1044,10067,2,2,,
4,1,107,2,1044,10067,3,2,,
4,1,107,2,1044,10067,4,2,,
4,1,107,2,1044,10067,5,2,,
4,1,107,2,1044,10067,6,2,,
4,1,107,2,1044,10067,7,2,,
4,1,107,2,1044,10067,8,2,,
4,1,107,2,1044,10067,9,2,,
4,1,107,2,1044,10067,10,2,,
4,1,107,2,1044,10067,11,2,,
4,1,107,2,1044,10067,12,2,,
4,1,107,2,1044,10068,1,2,,
4,1,107,2,1044,10068,2,2,,
4,1,107,2,1044,10068,3,2,,
4,1,107,2,1044,10068,4,2,,
4,1,107,2,1044,10068,5,2,,
4,1,107,2,1044,10068,6,2,,
4,1,107,2,1044,10068,7,2,,
4,1,107,2,1044,10068,8,2,,
4,1,107,2,1044,10068,9,2,,
4,1,107,2,1044,10068,10,2,,
4,1,107,2,1044,10068,11,2,,
4,1,107,2,1044,10068,12,2,,
4,1,107,2,1044,10069,1,2,,
4,1,107,2,1044,10069,2,2,,
4,1,107,2,1044,10069,3,1,11,
4,1,107,2,1044,10069,4,2,,
4,1,107,2,1044,10069,5,1,11,
4,1,107,2,1044,10069,6,2,,
4,1,107,2,1044,10069,7,2,,
4,1,107,2,1044,10069,8,2,,
4,1,107,2,1044,10069,9,2,,
4,1,107,2,1044,10069,10,2,,
4,1,107,2,1044,10069,11,1,2,
4,1,107,2,1044,10069,12,2,,
4,1,107,2,0,10070,1,2,,
4,1,107,2,0,10070,2,2,,
4,1,107,2,0,10070,3,2,,
4,1,107,2,0,10070,4,2,,
4,1,107,2,0,10070,5,2,,
4,1,107,2,0,10070,6,2,,
4,1,107,2,0,10070,7,2,,
4,1,107,2,0,10070,8,2,,
4,1,107,2,0,10070,9,2,,
4,1,107,2,0,10070,10,2,,
4,1,107,2,0,10070,11,2,,
4,1,107,2,0,10070,12,2,,
4,1,117,2,560,10071,1,2,,
4,1,117,2,560,10071,2,2,,
4,1,117,2,560,10071,3,2,,
4,1,117,2,560,10071,4,2,,
4,1,117,2,560,10071,5,2,,
4,1,117,2,560,10071,6,2,,
4,1,117,2,560,10071,7,2,,
4,1,117,2,560,10071,8,2,,
4,1,117,2,560,10071,9,2,,
4,1,117,2,560,10071,10,2,,
4,1,117,2,560,10071,11,2,,
4,1,117,2,560,10071,12,2,,
4,1,117,2,560,10072,1,2,,
4,1,117,2,560,10072,2,2,,
4,1,117,2,560,10072,3,2,,
4,1,117,2,560,10072,4,2,,
4,1,117,2,560,10072,5,2,,
4,1,117,2,560,10072,6,2,,
4,1,117,2,560,10072,7,2,,
4,1,117,2,560,10072,8,2,,
4,1,117,2,560,10072,9,2,,
4,1,117,2,560,10072,10,2,,
4,1,117,2,560,10072,11,2,,
4,1,117,2,560,10072,12,2,,
4,1,117,2,560,10073,1,2,,
4,1,117,2,560,10073,2,2,,
4,1,117,2,560,10073,3,2,,
4,1,117,2,560,10073,4,2,,
4,1,117,2,560,10073,5,2,,
4,1,117,2,560,10073,6,2,,
4,1,117,2,560,10073,7,2,,
4,1,117,2,560,10073,8,2,,
4,1,117,2,560,10073,9,2,,
4,1,117,2,560,10073,10,2,,
4,1,117,2,560,10073,11,2,,
4,1,117,2,560,10073,12,2,,
4,1,117,2,560,10074,1,2,,
4,1,117,2,560,10074,2,2,,
4,1,117,2,560,10074,3,2,,
4,1,117,2,560,10074,4,2,,
4,1,117,2,560,10074,5,2,,
4,1,117,2,560,10074,6,2,,
4,1,117,2,560,10074,7,2,,
4,1,117,2,560,10074,8,2,,
4,1,117,2,560,10074,9,2,,
4,1,117,2,560,10074,10,2,,
4,1,117,2,560,10074,11,2,,
4,1,117,2,560,10074,12,2,,
4,1,117,2,560,10075,1,2,,
4,1,117,2,560,10075,2,2,,
4,1,117,2,560,10075,3,2,,
4,1,117,2,560,10075,4,2,,
4,1,117,2,560,10075,5,2,,
4,1,117,2,560,10075,6,2,,
4,1,117,2,560,10075,7,2,,
4,1,117,2,560,10075,8,2,,
4,1,117,2,560,10075,9,2,,
4,1,117,2,560,10075,10,2,,
4,1,117,2,560,10075,11,2,,
4,1,117,2,560,10075,12,2,,
4,1,117,2,560,10076,1,2,,
4,1,117,2,560,10076,2,2,,
4,1,117,2,560,10076,3,2,,
4,1,117,2,560,10076,4,2,,
4,1,117,2,560,10076,5,2,,
4,1,117,2,560,10076,6,2,,
4,1,117,2,560,10076,7,2,,
4,1,117,2,560,10076,8,2,,
4,1,117,2,560,10076,9,2,,
4,1,117,2,560,10076,10,2,,
4,1,117,2,560,10076,11,2,,
4,1,117,2,560,10076,12,2,,
4,1,117,2,560,10077,1,2,,
4,1,117,2,560,10077,2,2,,
4,1,117,2,560,10077,3,2,,
4,1,117,2,560,10077,4,2,,
4,1,117,2,560,10077,5,2,,
4,1,117,2,560,10077,6,2,,
4,1,117,2,560,10077,7,2,,
4,1,117,2,560,10077,8,2,,
4,1,117,2,560,10077,9,2,,
4,1,117,2,560,10077,10,2,,
4,1,117,2,560,10077,11,2,,
4,1,117,2,560,10077,12,2,,
4,1,117,2,560,10078,1,2,,
4,1,117,2,560,10078,2,2,,
4,1,117,2,560,10078,3,2,,
4,1,117,2,560,10078,4,2,,
4,1,117,2,560,10078,5,2,,
4,1,117,2,560,10078,6,2,,
4,1,117,2,560,10078,7,2,,
4,1,117,2,560,10078,8,2,,
4,1,117,2,560,10078,9,2,,
4,1,117,2,560,10078,10,2,,
4,1,117,2,560,10078,11,2,,
4,1,117,2,560,10078,12,2,,
4,1,117,2,560,10079,1,2,,
4,1,117,2,560,10079,2,2,,
4,1,117,2,560,10079,3,1,11,
4,1,117,2,560,10079,4,2,,
4,1,117,2,560,10079,5,2,,
4,1,117,2,560,10079,6,2,,
4,1,117,2,560,10079,7,2,,
4,1,117,2,560,10079,8,2,,
4,1,117,2,560,10079,9,2,,
4,1,117,2,560,10079,10,2,,
4,1,117,2,560,10079,11,2,,
4,1,117,2,560,10079,12,2,,
4,1,117,2,560,10080,1,2,,
4,1,117,2,560,10080,2,2,,
4,1,117,2,560,10080,3,2,,
4,1,117,2,560,10080,4,2,,
4,1,117,2,560,10080,5,2,,
4,1,117,2,560,10080,6,2,,
4,1,117,2,560,10080,7,2,,
4,1,117,2,560,10080,8,2,,
4,1,117,2,560,10080,9,2,,
4,1,117,2,560,10080,10,2,,
4,1,117,2,560,10080,11,2,,
4,1,117,2,560,10080,12,2,,
4,1,105,2,638,10091,1,2,,
4,1,105,2,638,10091,2,2,,
4,1,105,2,638,10091,3,2,,
4,1,105,2,638,10091,4,2,,
4,1,105,2,638,10091,5,2,,
4,1,105,2,638,10091,6,2,,
4,1,105,2,638,10091,7,2,,
4,1,105,2,638,10091,8,2,,
4,1,105,2,638,10091,9,2,,
4,1,105,2,638,10091,10,2,,
4,1,105,2,638,10091,11,2,,
4,1,105,2,638,10091,12,2,,
4,1,105,2,638,10092,1,2,,
4,1,105,2,638,10092,2,2,,
4,1,105,2,638,10092,3,2,,
4,1,105,2,638,10092,4,2,,
4,1,105,2,638,10092,5,2,,
4,1,105,2,638,10092,6,2,,
4,1,105,2,638,10092,7,2,,
4,1,105,2,638,10092,8,2,,
4,1,105,2,638,10092,9,2,,
4,1,105,2,638,10092,10,2,,
4,1,105,2,638,10092,11,2,,
4,1,105,2,638,10092,12,2,,
5,3,322,2,0,10093,1,2,,
5,3,322,2,0,10093,2,2,,
5,3,322,2,0,10093,3,1,11,
5,3,322,2,0,10093,4,2,,
5,3,322,2,0,10093,5,2,,
5,3,322,2,0,10093,6,2,,
5,3,322,2,0,10093,7,2,,
5,3,322,2,0,10093,8,2,,
5,3,322,2,0,10093,9,2,,
5,3,322,2,0,10093,10,2,,
5,3,322,2,0,10093,11,2,,
5,3,322,2,0,10093,12,2,,
4,1,105,2,638,10094,1,2,,
4,1,105,2,638,10094,2,2,,
4,1,105,2,638,10094,3,2,,
4,1,105,2,638,10094,4,2,,
4,1,105,2,638,10094,5,2,,
4,1,105,2,638,10094,6,2,,
4,1,105,2,638,10094,7,2,,
4,1,105,2,638,10094,8,2,,
4,1,105,2,638,10094,9,2,,
4,1,105,2,638,10094,10,2,,
4,1,105,2,638,10094,11,2,,
4,1,105,2,638,10094,12,2,,
4,1,105,2,638,10096,1,2,,
4,1,105,2,638,10096,2,2,,
4,1,105,2,638,10096,3,2,,
4,1,105,2,638,10096,4,2,,
4,1,105,2,638,10096,5,2,,
4,1,105,2,638,10096,6,2,,
4,1,105,2,638,10096,7,2,,
4,1,105,2,638,10096,8,2,,
4,1,105,2,638,10096,9,2,,
4,1,105,2,638,10096,10,2,,
4,1,105,2,638,10096,11,2,,
4,1,105,2,638,10096,12,2,,
4,1,105,2,638,10097,1,2,,
4,1,105,2,638,10097,2,2,,
4,1,105,2,638,10097,3,1,11,
4,1,105,2,638,10097,4,2,,
4,1,105,2,638,10097,5,2,,
4,1,105,2,638,10097,6,2,,
4,1,105,2,638,10097,7,2,,
4,1,105,2,638,10097,8,2,,
4,1,105,2,638,10097,9,2,,
4,1,105,2,638,10097,10,2,,
4,1,105,2,638,10097,11,2,,
4,1,105,2,638,10097,12,2,,
4,1,105,2,638,10099,1,2,,
4,1,105,2,638,10099,2,2,,
4,1,105,2,638,10099,3,2,,
4,1,105,2,638,10099,4,2,,
4,1,105,2,638,10099,5,2,,
4,1,105,2,638,10099,6,2,,
4,1,105,2,638,10099,7,2,,
4,1,105,2,638,10099,8,2,,
4,1,105,2,638,10099,9,2,,
4,1,105,2,638,10099,10,2,,
4,1,105,2,638,10099,11,2,,
4,1,105,2,638,10099,12,2,,
4,1,105,2,638,10100,1,2,,
4,1,105,2,638,10100,2,2,,
4,1,105,2,638,10100,3,2,,
4,1,105,2,638,10100,4,2,,
4,1,105,2,638,10100,5,2,,
4,1,105,2,638,10100,6,2,,
4,1,105,2,638,10100,7,2,,
4,1,105,2,638,10100,8,2,,
4,1,105,2,638,10100,9,2,,
4,1,105,2,638,10100,10,2,,
4,1,105,2,638,10100,11,2,,
4,1,105,2,638,10100,12,2,,
4,1,108,2,904,10102,1,2,,
4,1,108,2,904,10102,2,2,,
4,1,108,2,904,10102,3,2,,
4,1,108,2,904,10102,4,2,,
4,1,108,2,904,10102,5,2,,
4,1,108,2,904,10102,6,2,,
4,1,108,2,904,10102,7,2,,
4,1,108,2,904,10102,8,2,,
4,1,108,2,904,10102,9,2,,
4,1,108,2,904,10102,10,2,,
4,1,108,2,904,10102,11,2,,
4,1,108,2,904,10102,12,2,,
4,1,108,2,904,10103,1,2,,
4,1,108,2,904,10103,2,1,10,
4,1,108,2,904,10103,3,2,,
4,1,108,2,904,10103,4,2,,
4,1,108,2,904,10103,5,2,,
4,1,108,2,904,10103,6,2,,
4,1,108,2,904,10103,7,2,,
4,1,108,2,904,10103,8,2,,
4,1,108,2,904,10103,9,2,,
4,1,108,2,904,10103,10,2,,
4,1,108,2,904,10103,11,2,,
4,1,108,2,904,10103,12,2,,
4,1,108,2,904,10104,1,2,,
4,1,108,2,904,10104,2,2,,
4,1,108,2,904,10104,3,2,,
4,1,108,2,904,10104,4,2,,
4,1,108,2,904,10104,5,2,,
4,1,108,2,904,10104,6,2,,
4,1,108,2,904,10104,7,2,,
4,1,108,2,904,10104,8,2,,
4,1,108,2,904,10104,9,2,,
4,1,108,2,904,10104,10,2,,
4,1,108,2,904,10104,11,2,,
4,1,108,2,904,10104,12,2,,
4,1,108,2,904,10105,1,2,,
4,1,108,2,904,10105,2,2,,
4,1,108,2,904,10105,3,2,,
4,1,108,2,904,10105,4,2,,
4,1,108,2,904,10105,5,2,,
4,1,108,2,904,10105,6,2,,
4,1,108,2,904,10105,7,2,,
4,1,108,2,904,10105,8,2,,
4,1,108,2,904,10105,9,2,,
4,1,108,2,904,10105,10,2,,
4,1,108,2,904,10105,11,2,,
4,1,108,2,904,10105,12,2,,
4,1,108,2,904,10106,1,2,,
4,1,108,2,904,10106,2,2,,
4,1,108,2,904,10106,3,1,11,
4,1,108,2,904,10106,4,2,,
4,1,108,2,904,10106,5,2,,
4,1,108,2,904,10106,6,2,,
4,1,108,2,904,10106,7,2,,
4,1,108,2,904,10106,8,2,,
4,1,108,2,904,10106,9,2,,
4,1,108,2,904,10106,10,2,,
4,1,108,2,904,10106,11,2,,
4,1,108,2,904,10106,12,2,,
4,1,108,2,904,10107,1,2,,
4,1,108,2,904,10107,2,2,,
4,1,108,2,904,10107,3,2,,
4,1,108,2,904,10107,4,2,,
4,1,108,2,904,10107,5,2,,
4,1,108,2,904,10107,6,2,,
4,1,108,2,904,10107,7,2,,
4,1,108,2,904,10107,8,2,,
4,1,108,2,904,10107,9,2,,
4,1,108,2,904,10107,10,2,,
4,1,108,2,904,10107,11,2,,
4,1,108,2,904,10107,12,2,,
4,1,108,2,904,10108,1,2,,
4,1,108,2,904,10108,2,2,,
4,1,108,2,904,10108,3,2,,
4,1,108,2,904,10108,4,2,,
4,1,108,2,904,10108,5,2,,
4,1,108,2,904,10108,6,2,,
4,1,108,2,904,10108,7,2,,
4,1,108,2,904,10108,8,2,,
4,1,108,2,904,10108,9,2,,
4,1,108,2,904,10108,10,2,,
4,1,108,2,904,10108,11,2,,
4,1,108,2,904,10108,12,2,,
4,1,108,2,904,10109,1,2,,
4,1,108,2,904,10109,2,2,,
4,1,108,2,904,10109,3,2,,
4,1,108,2,904,10109,4,2,,
4,1,108,2,904,10109,5,2,,
4,1,108,2,904,10109,6,2,,
4,1,108,2,904,10109,7,2,,
4,1,108,2,904,10109,8,2,,
4,1,108,2,904,10109,9,2,,
4,1,108,2,904,10109,10,2,,
4,1,108,2,904,10109,11,2,,
4,1,108,2,904,10109,12,2,,
4,1,108,2,904,10110,1,2,,
4,1,108,2,904,10110,2,2,,
4,1,108,2,904,10110,3,2,,
4,1,108,2,904,10110,4,2,,
4,1,108,2,904,10110,5,2,,
4,1,108,2,904,10110,6,2,,
4,1,108,2,904,10110,7,2,,
4,1,108,2,904,10110,8,2,,
4,1,108,2,904,10110,9,2,,
4,1,108,2,904,10110,10,2,,
4,1,108,2,904,10110,11,2,,
4,1,108,2,904,10110,12,2,,
