"zone","state","lga","sector","ea","hhid","s12q8a","s12q8b","s12q8c","s12q8d","s12q8e","s12q8f","s12q8g","s12q8h","s12q8i","s12q8j","s12q2a","s12q2b1","s12q2b","s12q5","s12q6__1","s12q6__2","s12q6__3","s12q6__4","s12q6__5","s12q6__6","s12q6__7","s12q6__8","s12q6__9","s12q6__10","s12q6__11","s12q6__12","s12q6__13","s12q6__14","s12q6__15","s12q7_1","s12q7_2","s12q7_3","s12q7_os","Sec12_resp"
4,1,115,1,670,10001,1,1,1,1,1,1,2,2,2,2,3,4,4,2,,,,,,,,,,,,,,,,,,,,2
4,1,115,1,670,10002,2,2,2,2,2,2,2,2,2,2,3,3,,2,,,,,,,,,,,,,,,,,,,,1
4,1,115,1,670,10003,1,1,1,1,1,1,1,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,115,1,670,10004,1,2,2,2,2,2,2,2,2,2,3,3,,2,,,,,,,,,,,,,,,,,,,,2
4,1,115,1,670,10005,1,2,2,2,2,2,2,2,2,2,3,4,,2,,,,,,,,,,,,,,,,,,,,1
4,1,115,1,670,10008,2,2,2,2,2,2,2,2,2,2,3,3,,2,,,,,,,,,,,,,,,,,,,,2
4,1,105,2,0,10009,2,2,2,2,2,2,2,2,2,2,3,4,6,2,,,,,,,,,,,,,,,,,,,,2
4,1,115,1,670,10010,2,2,2,2,2,2,2,2,2,2,3,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,1
4,1,111,1,1146,10031,2,2,2,2,2,2,2,2,1,2,3,3,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,1
4,1,111,1,1146,10032,2,2,2,2,2,2,2,2,2,2,3,4,,2,,,,,,,,,,,,,,,,,,,,2
4,1,111,1,1146,10033,1,1,1,2,1,2,2,2,2,2,3,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,,,,2
4,1,111,1,1146,10034,1,1,1,1,1,1,1,2,2,2,3,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,8
4,1,111,1,1146,10035,1,1,1,1,1,1,1,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,111,1,1146,10036,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,111,1,1146,10037,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,111,1,1146,10038,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,1
4,1,111,1,1146,10040,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,102,1,1690,10051,1,2,1,2,1,1,2,2,1,2,3,3,4,2,,,,,,,,,,,,,,,,,,,,3
4,1,102,1,1690,10053,2,1,1,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,102,1,1690,10054,2,2,2,2,2,2,2,2,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,102,1,0,10055,1,1,1,1,1,1,1,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,102,1,1690,10056,2,2,2,2,2,2,2,2,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,102,1,1690,10057,1,1,1,1,1,1,1,2,1,2,3,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,102,1,1690,10058,1,1,1,2,1,2,1,2,1,2,2,,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,12,,,6
4,1,102,1,1690,10059,1,2,2,1,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,102,1,1690,10060,1,1,1,1,1,1,1,2,1,2,3,3,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,,,,2
4,1,107,2,1044,10061,1,1,1,1,1,1,2,2,1,2,2,3,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,12,,,2
4,1,107,2,1044,10062,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
