"zone","state","lga","sector","ea","hhid","s4aq16","s4aq17a__1","s4aq17a__2","s4aq17a__3","s4aq17a__4","s4aq17a__6","s4aq17a__5","s4aq17a_os","s4aq17b_1","s4aq17b_2","s4aq17b_3","s4aq17b_4","s4aq17b_5","s4aq17b_6","s4aq17b_7","s4aq17b_8","s4aq17b_9","s4aq17b_10","s4aq17c_1","s4aq17c_2","s4aq17c_3","s4aq17c_4","s4aq17c_5"
4,1,115,1,670,10001,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10002,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,
4,1,115,1,670,10003,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10004,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,
4,1,115,1,670,10005,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10008,2,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,2,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10010,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10031,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10032,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10033,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10034,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10035,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10036,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10037,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10038,2,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10040,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10051,2,,,,,,,,,,,,,,,,,,,,,,
4,14,1412,2,0,10052,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10053,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10054,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,0,10055,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10056,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10057,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10058,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10059,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10060,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10064,2,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,0,10065,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10067,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10068,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10069,2,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,0,10070,2,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10071,2,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10072,2,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10073,2,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10074,2,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10075,2,,,,,,,,,,,,,,,,,,,,,,
