"zone","state","lga","sector","ea","hhid","lid","s4cq2b","s4cq2b_os","s4cq18_1","s4cq18_2","s4cq18_3","s4cq4","s4cq4_os","s4cq19","s4cq20","s4cq21a","s4cq21b","s4cq22","s4cq23_1","s4cq23_2","s4cq23_3","s4cq23_os","s4cq24","s4cq25a","s4cq25b","s4cq26","s4cq7","s4cq8","s4cq8b","s4cq9","s4cq27a","s4cq27b","s4cq10","s4cq10b","s4cq11"
4,1,111,1,1146,10036,1,3,,1,,,10,,3000000,3,,,2,,,,,2,,,,,,,,,,,,
4,14,1412,2,0,10052,1,6,,1,,,8,,50000,1,1,3,2,,,,,1,2,3,50000,1,,9999,1,,9999,,,55000
4,1,107,2,1044,10064,1,1,,2,,,3,,90000,3,,,2,,,,,2,,,,,,,,,,,,
4,1,107,2,1044,10068,1,2,,2,,,2,,70000,1,2,2,2,,,,,1,1,2,70000,1,3,2018,2,,,3,2019,77000
4,1,102,1,806,19020,1,2,,2,,,5,,50000,1,1,2,2,,,,,1,2,2,50000,2,3,2018,2,,,9,2018,55000
4,1,102,1,2486,19029,1,5,,1,,,5,,20000,1,0,,2,,,,,1,2,2,20000,1,11,2017,2,,,12,2018,22000
4,1,104,2,412,19047,1,1,,1,,,3,,200000,4,3,3,1,3,,,,,,,,,,,,,,,,
4,1,104,2,1020,19058,1,3,,1,,,5,,100000,1,1,3,2,,,,,1,8,3,100000,1,3,2018,2,,,10,2018,110000
4,1,107,2,10,19069,1,5,,2,,,8,,40000,1,0,,2,,,,,1,1,2,40000,2,2,2018,2,,,2,2019,44000
4,1,107,2,10,19071,1,5,,1,,,7,,50000,1,0,,2,,,,,1,1,2,50000,2,12,2017,2,,,12,2018,55000
4,1,107,2,1322,19073,1,5,,2,,,2,,60000,1,0,,2,,,,,1,1,2,60000,2,2,2018,2,,,2,2019,66000
4,1,107,2,1322,19075,1,5,,1,,,8,,60000,1,1,3,2,,,,,1,2,2,60000,1,8,2017,2,,,8,2018,60000
4,1,107,2,1322,19077,1,5,,1,,,2,,90000,1,4,1,2,,,,,1,2,2,90000,2,7,2017,1,12,2017,,,94500
4,1,107,2,1322,19080,1,5,,1,,,3,,200000,4,48,3,1,6,,,,,,,,,,,,,,,,
4,1,109,2,1214,19091,1,6,,1,,,2,,300000,1,0,,2,,,,,1,0,,300000,1,12,2017,2,,,1,2019,300000
4,1,109,2,1214,19095,1,5,,2,,,13,"RENTING OF A FARMING PLOT",30000,1,2,1,2,,,,,1,1,3,30000,1,2,2018,2,,,12,2018,30000
4,1,109,2,1214,19096,1,5,,1,,,13,"RENTING OF FARM PLOT",20000,1,1,2,2,,,,,1,3,2,20000,1,1,2018,2,,,12,2018,20000
4,1,109,2,1792,19098,1,6,,1,,,3,,10000,1,1,1,2,,,,,1,1,2,10000,1,3,2018,1,6,2018,,,10000
4,1,109,2,1792,19100,1,5,,1,,,4,,100000,1,1,2,2,,,,,1,2,2,100000,2,12,2017,2,,,12,2018,100000
4,1,109,2,1792,19101,1,5,,2,,,12,,50000,1,1,2,2,,,,,1,1,2,50000,2,2,2018,2,,,2,2019,55000
4,1,109,2,1792,19106,1,3,,7,,,3,,60000,1,1,2,2,,,,,1,1,3,60000,2,1,2018,1,5,2018,,,69000
4,1,109,2,1996,19119,1,5,,1,,,13,"RENTING FARM LAND",50000,1,2,2,2,,,,,1,0,,50000,2,2,2018,2,,,12,2018,55000
4,1,109,2,1996,19120,1,5,,1,,,12,,30000,1,2,2,2,,,,,1,1,2,30000,1,2,2018,2,,,2,2019,33000
4,1,110,2,338,19121,1,7,,1,,,5,,50000,1,1,2,2,,,,,1,1,2,50000,1,12,2017,1,7,2018,,,84000
4,1,111,2,118,19133,1,5,,1,,,13,"FARM WORK",100000,1,0,,2,,,,,1,0,,100000,2,11,2017,1,8,2018,,,110000
4,1,112,2,556,19163,1,5,,2,,,13,"RENTING OF FARM PLOT",10000,1,0,,2,,,,,1,1,2,10000,2,2,2018,2,,,9,2018,10500
4,1,112,2,556,19164,1,5,,1,,,13,"RENTING OF FARM PLOT",10000,1,0,,2,,,,,1,2,2,10000,2,4,2018,2,,,12,2018,10000
4,1,113,2,6,19174,1,5,,1,,,12,,20000,1,1,2,2,,,,,1,2,2,20000,2,7,2018,2,,,8,2018,20000
4,1,113,2,6,19178,1,9,"ANNUAL MEETING CONTRIBUTION",1,,,2,,500000,1,7,1,2,,,,,1,2,2,300000,2,1,2018,2,,,1,2019,330000
4,1,115,1,176,19206,1,7,,2,,,2,,60000,1,0,,2,,,,,1,0,,60000,1,2,2018,1,8,2018,,,70000
4,1,117,2,800,19231,1,1,,1,,,10,,100000,1,0,,2,,,,,1,0,,100000,2,8,2017,2,,,8,2018,120000
4,1,104,2,1020,19250,1,3,,1,,,3,,100000,1,1,3,2,,,,,1,1,3,100000,1,5,2018,2,,,12,2018,110000
2,2,204,2,144,29001,1,6,,1,,,2,,30000,1,4,1,2,,,,,1,4,1,30000,1,6,2018,2,,,12,2018,32000
2,2,204,2,144,29006,1,3,,1,,,2,,100000,1,3,1,2,,,,,1,3,2,100000,2,10,2017,1,2,2018,,,140000
2,2,211,2,344,29080,1,4,,1,,,4,,250000,4,2,2,1,6,,,,,,,,,,,,,,,,
2,2,211,2,532,29091,1,4,,2,15,,5,,100000,4,6,3,1,6,,,,,,,,,,,,,,,,
2,2,211,2,532,29092,1,4,,1,,,5,,100000,1,2,3,2,,,,,1,0,,80000,2,7,2017,1,4,2018,,,100000
2,2,212,2,100,29118,1,4,,3,,,10,,300000,1,2,2,2,,,,,1,3,2,300000,1,1,2018,2,,,12,2020,423000
2,2,213,2,1406,29160,1,4,,1,,,3,,150000,1,0,,2,,,,,1,7,1,122000,2,5,2018,2,,,5,2020,129612
2,2,218,2,1624,29182,1,6,,1,,,11,,3500,1,1,1,2,,,,,1,1,1,3500,1,6,2018,2,,,7,2018,3600
2,2,218,2,1624,29187,1,6,,1,,,11,,10000,4,0,,1,6,,,,,,,,,,,,,,,,
2,2,218,2,1624,29188,1,4,,1,,,7,,700000,1,0,,2,,,,,1,1,3,457600,1,9,2017,2,,,9,2019,757000
2,2,220,2,112,29212,1,4,,1,,,3,,200000,4,2,3,1,6,,,,,,,,,,,,,,,,
2,2,220,2,112,29212,2,4,,1,,,3,,150000,4,12,3,1,6,,,,,,,,,,,,,,,,
2,2,220,2,112,29215,1,1,,1,,,6,,40000,1,2,2,2,,,,,1,1,2,20000,2,5,2018,2,,,8,2018,22000
2,2,220,2,112,29215,2,4,,1,,,5,,40000,4,3,1,1,2,,,,,,,,,,,,,,,,
5,3,316,2,874,30021,1,3,,1,,,6,,100000,3,,,2,,,,,2,,,,,,,,,,,,
5,3,316,2,874,30026,1,5,,1,,,5,,50000,1,1,2,2,,,,,1,1,2,50000,2,5,2018,2,,,9,2018,60000
5,3,313,2,70,30097,1,1,,4,,,5,,40000,1,1,2,2,,,,,1,1,2,40000,2,3,2018,2,,,9,2018,59850
5,3,301,1,0,30102,1,6,,2,,,5,,20000,1,2,3,2,,,,,1,0,,20000,2,2,2018,2,,,10,2018,20000
5,3,301,1,1198,30103,1,6,,1,,,8,,40000,1,1,1,2,,,,,1,1,1,40000,2,1,2018,2,,,9,2018,40000
5,3,301,1,1198,30103,2,6,,1,,,8,,40000,1,3,3,2,,,,,1,3,3,40000,2,5,2018,2,,,12,2018,40000
5,3,301,1,1198,30105,1,2,,1,,,2,,50000,1,3,1,2,,,,,1,4,1,50000,1,1,2018,2,,,7,2018,55000
5,3,301,1,1198,30107,1,7,,5,,,5,,50000,1,2,2,2,,,,,1,3,2,50000,2,1,2018,2,,,8,2018,55000
5,3,301,1,1198,30109,1,4,,1,,,10,,200000,4,3,3,1,6,,,,,,,,,,,,,,,,
5,3,305,2,1542,30121,1,2,,2,,,5,,300000,1,2,2,2,,,,,1,3,2,300000,1,5,2018,2,,,12,2018,330000
5,3,305,2,1542,30128,1,2,,1,,,8,,100000,1,1,2,2,,,,,1,0,,100000,1,10,2017,1,3,2018,,,125000
5,3,305,2,1542,30129,1,1,,2,,,7,,50000,4,2,1,1,6,,,,,,,,,,,,,,,,
5,3,302,2,302,39004,1,4,,1,,,8,,156000,1,2,2,2,,,,,1,2,2,156000,1,4,2018,2,,,7,2019,195000
5,3,309,2,698,39037,1,2,,1,,,13,"PURCHASE PALM PLOT",30000,1,1,2,2,,,,,1,2,2,30000,1,3,2018,2,,,10,2018,32000
5,3,309,2,698,39044,1,3,,1,,,2,,500000,4,2,3,1,6,,,,,,,,,,,,,,,,
5,3,318,2,56,39079,1,2,,1,,,5,,5000,1,2,1,2,,,,,1,0,,5000,2,1,2018,2,,,11,2018,5500
5,3,304,2,10,39092,1,3,,1,,,5,,70000,1,3,3,2,,,,,1,0,,50000,1,8,2017,1,5,2018,,,62200
5,3,320,2,266,39116,1,2,,1,,,4,,10000,1,1,2,2,,,,,1,0,,10000,1,2,2018,1,5,2018,,,10500
5,3,320,2,266,39117,1,1,,1,,,13,"MPTOCYCLE REPAIR",26000,1,1,3,2,,,,,1,0,,26000,1,1,2018,2,,,11,2018,34580
5,3,323,2,488,39127,1,3,,2,,,5,,100000,1,5,1,2,,,,,1,2,2,100000,1,1,2018,1,7,2018,,,124200
5,3,327,2,196,39146,1,3,,1,,,3,,500000,4,6,3,1,2,3,1,,,,,,,,,,,,,,
5,3,327,2,196,39152,1,6,,2,,,10,,30000,1,2,1,2,,,,,1,0,,30000,1,9,2017,2,,,12,2018,30000
5,3,327,2,196,39154,1,6,,2,,,6,,40000,3,,,2,,,,,2,,,,,,,,,,,,
5,3,327,2,246,39162,1,6,,2,,,5,,15000,1,1,2,2,,,,,1,0,,15000,2,6,2018,2,,,12,2018,27000
5,3,327,2,246,39166,1,2,,1,,,5,,50000,3,,,2,,,,,2,,,,,,,,,,,,
5,3,329,2,608,39168,1,6,,2,,,5,,30000,1,0,,2,,,,,1,2,1,30000,2,1,2018,1,4,2018,,,31000
5,3,329,2,608,39169,1,3,,1,,,5,,50000,1,3,2,2,,,,,1,3,2,50000,2,11,2017,1,6,2018,,,75000
5,3,329,2,608,39170,1,3,,1,,,2,,2000000,3,,,2,,,,,2,,,,,,,,,,,,
