"zone","state","lga","sector","ea","hhid","indiv","s6q0a","s6q0b","s6q1__1","s6q1__2","s6q1__3","s6q1__4","s6q2","s6q4a","s6q4b","s6q4b_os","s6q4c__1","s6q4c__2","s6q4c__3","s6q4c__4","s6q4c__5","s6q4c__6","s6q4c__7","s6q4c__8","s6q4c__9","s6q4c__11","s6q4c__10","s6q4c_os","s6q4d","s6q4d_os","s6q5","s6q6__1","s6q6__2","s6q6__3","s6q6__4","s6q6__5","s6q6_os","s6q8a","s6q8b","s6q8b_os","s6q9__1","s6q9__2","s6q9__3","s6q9__4","s6q9__5","s6q9__11","s6q9__10","s6q9_os","s6q10","s6q10_os","s6q11","s6q12","s6q13","s6q13_os","s6q14","s6q14_os","s6q15","s6q16__1","s6q16__2","s6q16__3","s6q16__4","s6q16__5","s6q16_os","s6q17"
4,1,115,1,670,10001,1,2,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,115,1,670,10001,2,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,115,1,670,10001,3,2,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,115,1,670,10001,4,2,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,115,1,670,10002,1,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,115,1,670,10002,2,2,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,115,1,670,10002,3,2,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,115,1,670,10003,1,1,,1,0,0,0,1,200000,4,,0,1,0,0,0,0,0,0,0,0,0,,1,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,115,1,670,10003,2,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,115,1,670,10003,3,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,115,1,670,10003,4,1,,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,115,1,670,10003,5,2,4,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,115,1,670,10003,6,2,4,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,115,1,670,10004,1,2,2,0,0,1,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,50000,2,,1,,2,,,,,,,
4,1,115,1,670,10004,2,1,,0,0,1,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,20000,2,,1,,2,,,,,,,
4,1,115,1,670,10004,3,2,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,115,1,670,10004,5,2,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
4,1,115,1,670,10005,1,1,,0,0,1,1,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,1000000,2,,1,,1,0,0,0,1,0,,20000
4,1,115,1,670,10005,2,2,1,0,0,1,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,50000,2,,1,,2,,,,,,,
4,1,115,1,670,10005,3,2,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,
