"zone","state","lga","sector","ea","hhid","item_cd","s7aq1","s7aq2"
4,1,115,1,670,10001,1,2,
4,1,115,1,670,10001,2,1,800
4,1,115,1,670,10001,3,2,
4,1,115,1,670,10001,4,1,600
4,1,115,1,670,10001,5,1,400
4,1,115,1,670,10001,6,1,500
4,1,115,1,670,10001,7,1,200
4,1,115,1,670,10001,8,1,500
4,1,115,1,670,10001,9,2,
4,1,115,1,670,10002,1,1,1000
4,1,115,1,670,10002,2,1,1500
4,1,115,1,670,10002,3,2,
4,1,115,1,670,10002,4,1,2000
4,1,115,1,670,10002,5,1,800
4,1,115,1,670,10002,6,2,
4,1,115,1,670,10002,7,1,500
4,1,115,1,670,10002,8,1,500
4,1,115,1,670,10002,9,1,1000
4,1,115,1,670,10003,1,2,
4,1,115,1,670,10003,2,1,1200
4,1,115,1,670,10003,3,2,
4,1,115,1,670,10003,4,1,2000
4,1,115,1,670,10003,5,1,500
4,1,115,1,670,10003,6,1,400
4,1,115,1,670,10003,7,1,400
4,1,115,1,670,10003,8,1,480
4,1,115,1,670,10003,9,1,1000
4,1,115,1,670,10004,1,2,
4,1,115,1,670,10004,2,2,
4,1,115,1,670,10004,3,2,
4,1,115,1,670,10004,4,1,3500
4,1,115,1,670,10004,5,1,1500
4,1,115,1,670,10004,6,2,
4,1,115,1,670,10004,7,2,
4,1,115,1,670,10004,8,2,
4,1,115,1,670,10004,9,2,
4,1,115,1,670,10005,1,2,
4,1,115,1,670,10005,2,1,3500
4,1,115,1,670,10005,3,2,
4,1,115,1,670,10005,4,1,800
4,1,115,1,670,10005,5,1,300
4,1,115,1,670,10005,6,2,
4,1,115,1,670,10005,7,2,
4,1,115,1,670,10005,8,1,400
4,1,115,1,670,10005,9,2,
4,1,115,1,670,10008,1,2,
4,1,115,1,670,10008,2,1,600
4,1,115,1,670,10008,3,2,
4,1,115,1,670,10008,4,2,
4,1,115,1,670,10008,5,1,400
4,1,115,1,670,10008,6,1,500
4,1,115,1,670,10008,7,1,500
4,1,115,1,670,10008,8,2,
4,1,115,1,670,10008,9,2,
4,1,105,2,0,10009,1,2,
4,1,105,2,0,10009,2,1,600
4,1,105,2,0,10009,3,2,
4,1,105,2,0,10009,4,2,
4,1,105,2,0,10009,5,1,200
4,1,105,2,0,10009,6,1,500
4,1,105,2,0,10009,7,2,
4,1,105,2,0,10009,8,1,240
4,1,105,2,0,10009,9,,
4,1,115,1,670,10010,1,2,
4,1,115,1,670,10010,2,2,
4,1,115,1,670,10010,3,2,
4,1,115,1,670,10010,4,2,
4,1,115,1,670,10010,5,1,1000
4,1,115,1,670,10010,6,2,
4,1,115,1,670,10010,7,2,
4,1,115,1,670,10010,8,1,600
4,1,115,1,670,10010,9,2,
4,1,111,1,1146,10031,1,1,500
4,1,111,1,1146,10031,2,1,300
4,1,111,1,1146,10031,3,2,
4,1,111,1,1146,10031,4,1,500
4,1,111,1,1146,10031,5,1,250
4,1,111,1,1146,10031,6,2,
4,1,111,1,1146,10031,7,1,350
4,1,111,1,1146,10031,8,1,300
4,1,111,1,1146,10031,9,2,
4,1,111,1,1146,10032,1,2,
4,1,111,1,1146,10032,2,1,1000
4,1,111,1,1146,10032,3,2,
4,1,111,1,1146,10032,4,2,
4,1,111,1,1146,10032,5,2,
4,1,111,1,1146,10032,6,2,
4,1,111,1,1146,10032,7,1,500
4,1,111,1,1146,10032,8,2,
4,1,111,1,1146,10032,9,2,
4,1,111,1,1146,10033,1,2,
4,1,111,1,1146,10033,2,2,
4,1,111,1,1146,10033,3,2,
4,1,111,1,1146,10033,4,2,
4,1,111,1,1146,10033,5,1,300
4,1,111,1,1146,10033,6,2,
4,1,111,1,1146,10033,7,1,400
4,1,111,1,1146,10033,8,2,
4,1,111,1,1146,10033,9,1,500
4,1,111,1,1146,10034,1,2,
4,1,111,1,1146,10034,2,2,
4,1,111,1,1146,10034,3,2,
4,1,111,1,1146,10034,4,1,1000
4,1,111,1,1146,10034,5,1,1000
4,1,111,1,1146,10034,6,2,
4,1,111,1,1146,10034,7,1,500
4,1,111,1,1146,10034,8,2,
4,1,111,1,1146,10034,9,2,
4,1,111,1,1146,10035,1,1,500
4,1,111,1,1146,10035,2,1,400
4,1,111,1,1146,10035,3,2,
4,1,111,1,1146,10035,4,1,1000
4,1,111,1,1146,10035,5,1,300
4,1,111,1,1146,10035,6,2,
4,1,111,1,1146,10035,7,1,300
4,1,111,1,1146,10035,8,1,180
4,1,111,1,1146,10035,9,1,500
4,1,111,1,1146,10036,1,2,
4,1,111,1,1146,10036,2,2,
4,1,111,1,1146,10036,3,2,
4,1,111,1,1146,10036,4,1,3000
4,1,111,1,1146,10036,5,1,500
4,1,111,1,1146,10036,6,2,
4,1,111,1,1146,10036,7,1,1000
4,1,111,1,1146,10036,8,2,
4,1,111,1,1146,10036,9,1,750
4,1,111,1,1146,10037,1,2,
4,1,111,1,1146,10037,2,1,500
4,1,111,1,1146,10037,3,1,500
4,1,111,1,1146,10037,4,2,
4,1,111,1,1146,10037,5,2,
4,1,111,1,1146,10037,6,2,
4,1,111,1,1146,10037,7,2,
4,1,111,1,1146,10037,8,2,
4,1,111,1,1146,10037,9,1,200
4,1,111,1,1146,10038,1,2,
4,1,111,1,1146,10038,2,1,800
4,1,111,1,1146,10038,3,2,
4,1,111,1,1146,10038,4,2,
4,1,111,1,1146,10038,5,2,
