"zone","state","lga","sector","ea","hhid","item_cd","s8q1","s8q2"
4,1,115,1,670,10001,101,2,
4,1,115,1,670,10001,102,2,
4,1,115,1,670,10001,103,1,120
4,1,115,1,670,10001,104,1,1000
4,1,115,1,670,10001,105,2,
4,1,115,1,670,10002,101,2,
4,1,115,1,670,10002,102,1,120
4,1,115,1,670,10002,103,1,1000
4,1,115,1,670,10002,104,2,
4,1,115,1,670,10002,105,2,
4,1,115,1,670,10003,101,2,
4,1,115,1,670,10003,102,2,
4,1,115,1,670,10003,103,1,300
4,1,115,1,670,10003,104,1,1000
4,1,115,1,670,10003,105,2,
4,1,115,1,670,10004,101,2,
4,1,115,1,670,10004,102,1,20
4,1,115,1,670,10004,103,1,3500
4,1,115,1,670,10004,104,1,1500
4,1,115,1,670,10004,105,2,
4,1,115,1,670,10005,101,2,
4,1,115,1,670,10005,102,1,20
4,1,115,1,670,10005,103,1,500
4,1,115,1,670,10005,104,1,2000
4,1,115,1,670,10005,105,2,
4,1,115,1,670,10008,101,2,
4,1,115,1,670,10008,102,2,
4,1,115,1,670,10008,103,2,
4,1,115,1,670,10008,104,1,1000
4,1,115,1,670,10008,105,2,
4,1,105,2,0,10009,101,2,
4,1,105,2,0,10009,102,2,
4,1,105,2,0,10009,103,2,
4,1,105,2,0,10009,104,1,1000
4,1,105,2,0,10009,105,2,
4,1,115,1,670,10010,101,2,
4,1,115,1,670,10010,102,1,20
4,1,115,1,670,10010,103,1,1750
4,1,115,1,670,10010,104,1,2000
4,1,115,1,670,10010,105,2,
4,1,111,1,1146,10031,101,2,
4,1,111,1,1146,10031,102,1,30
4,1,111,1,1146,10031,103,2,
4,1,111,1,1146,10031,104,2,
4,1,111,1,1146,10031,105,2,
4,1,111,1,1146,10032,101,2,
4,1,111,1,1146,10032,102,1,10
4,1,111,1,1146,10032,103,2,
4,1,111,1,1146,10032,104,1,2500
4,1,111,1,1146,10032,105,2,
4,1,111,1,1146,10033,101,2,
4,1,111,1,1146,10033,102,1,20
4,1,111,1,1146,10033,103,2,
