"zone","state","lga","sector","ea","hhid","s9q0","s9q1c__1","s9q1c__2","s9q1c__3","s9q1c__4","s9q1c__5","s9q1c__6","s9q1c__7","s9q1c__8","s9q1d"
4,1,115,1,670,10001,2,0,0,0,0,1,0,0,0,1
4,1,115,1,670,10002,1,0,0,0,0,1,0,0,0,1
4,1,115,1,670,10003,1,0,0,0,0,0,0,0,0,2
4,1,115,1,670,10004,2,0,0,0,0,0,0,0,0,2
4,1,115,1,670,10005,1,0,0,0,0,0,0,0,0,2
4,1,115,1,670,10008,2,0,0,0,0,0,0,0,0,2
4,1,105,2,0,10009,2,0,0,0,0,0,0,0,0,2
4,1,115,1,670,10010,1,0,0,0,0,0,0,0,0,2
4,1,111,1,1146,10031,1,0,0,1,0,0,1,0,0,1
4,1,111,1,1146,10032,1,0,1,0,0,0,0,0,0,1
4,1,111,1,1146,10033,2,0,0,1,0,0,0,0,0,1
4,1,111,1,1146,10034,8,0,0,1,0,0,0,0,0,1
4,1,111,1,1146,10035,2,0,0,1,0,0,0,0,0,1
4,1,111,1,1146,10036,1,0,0,0,0,0,1,0,0,1
4,1,111,1,1146,10037,3,1,0,0,0,0,0,0,0,1
4,1,111,1,1146,10038,1,0,0,0,0,0,1,0,0,1
4,1,111,1,1146,10040,1,0,0,0,0,0,0,0,0,2
4,1,102,1,1690,10051,3,1,0,0,0,0,0,0,0,1
4,1,102,1,1690,10053,1,0,0,0,0,0,0,0,0,2
4,1,102,1,1690,10054,2,0,0,1,0,0,0,0,0,1
4,1,102,1,0,10055,2,0,0,1,0,0,0,0,0,1
4,1,102,1,1690,10056,1,0,0,0,0,0,0,0,0,2
4,1,102,1,1690,10057,1,0,0,1,0,1,0,0,0,1
4,1,102,1,1690,10058,6,1,0,0,0,0,0,0,1,1
4,1,102,1,1690,10059,1,0,0,0,0,0,0,0,1,1
4,1,102,1,1690,10060,2,0,0,1,0,0,0,0,0,1
4,1,107,2,1044,10061,1,0,0,0,0,0,0,0,1,1
4,1,107,2,1044,10062,1,0,0,0,0,0,0,0,0,2
4,1,107,2,1044,10063,10,1,0,0,0,0,0,0,0,1
4,1,107,2,1044,10064,1,0,0,0,0,0,0,0,0,2
4,1,102,1,0,10065,2,0,0,0,0,0,0,0,0,2
4,1,107,2,1044,10066,2,0,0,0,0,0,0,0,0,2
4,1,107,2,1044,10067,1,0,0,0,1,0,0,0,0,1
4,1,107,2,1044,10068,2,0,0,0,0,0,0,0,0,2
4,1,107,2,1044,10069,1,0,0,0,0,0,0,0,0,2
4,1,107,2,0,10070,2,0,0,0,0,0,0,0,1,1
4,1,117,2,560,10071,6,0,0,0,0,0,0,0,0,2
4,1,117,2,560,10072,1,0,0,0,0,0,0,0,,2
4,1,117,2,560,10073,1,0,0,0,0,0,0,0,0,2
4,1,117,2,560,10074,2,1,0,0,0,0,0,0,0,1
4,1,117,2,560,10075,3,0,0,0,0,0,1,0,0,1
4,1,117,2,560,10076,2,0,0,0,0,0,0,0,0,2
4,1,117,2,560,10077,2,0,0,0,0,0,0,0,0,2
4,1,117,2,560,10078,4,0,0,0,0,0,0,0,0,2
4,1,117,2,560,10079,1,0,0,0,0,0,0,0,0,2
4,1,117,2,560,10080,1,0,0,0,0,0,0,0,0,2
4,1,105,2,638,10091,2,0,0,0,0,0,0,0,0,2
4,1,105,2,638,10092,1,0,0,1,0,0,0,0,0,1
5,3,322,2,0,10093,1,0,0,1,0,0,0,0,0,1
4,1,105,2,638,10094,1,0,0,0,0,0,0,0,0,2
4,1,105,2,638,10096,5,0,0,0,0,0,1,0,0,1
4,1,105,2,638,10097,6,0,0,0,0,0,0,0,1,1
4,1,105,2,638,10098,2,0,0,1,0,0,0,0,0,1
4,1,105,2,638,10099,1,0,0,0,0,0,0,0,0,2
4,1,105,2,638,10100,1,0,0,0,0,0,0,0,0,2
4,1,108,2,904,10102,1,0,0,0,0,0,0,0,0,2
4,1,108,2,904,10103,1,1,0,0,0,0,0,0,0,1
4,1,108,2,904,10104,1,0,0,0,0,0,0,0,0,2
4,1,108,2,904,10105,1,1,0,1,0,0,0,0,0,1
4,1,108,2,904,10106,1,0,1,0,0,0,0,0,0,1
4,1,108,2,904,10107,1,0,0,0,0,0,0,0,0,2
4,1,108,2,904,10108,4,0,0,0,0,0,0,0,0,2
