"zone","state","lga","sector","ea","hhid","ent_id","indiv","s9q13b__0","s9q13b__1","s9q13b__2","s9q13b__3","s9q13b__4","s9q13b__5","s9q13b__6","s9q13b__7","s9q13b__8","s9q13b__9","s9q13b__10","s9q13b__11","s9q13b__12","s9q13b__13","s9q13b__14","s9q13b__15","s9q13b__16","s9q13c","s9q13d"
4,1,115,1,670,10001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,8
4,1,115,1,670,10002,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,10
4,1,111,1,1146,10031,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,10
4,1,111,1,1146,10031,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,11
4,1,111,1,1146,10032,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,28,8
4,1,111,1,1146,10033,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,9
4,1,111,1,1146,10034,1,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,24,9
4,1,111,1,1146,10035,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,8
4,1,111,1,1146,10036,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,9
4,1,111,1,1146,10037,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,10
4,1,111,1,1146,10038,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,13
4,1,102,1,1690,10051,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,8
4,1,102,1,1690,10051,2,3,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,26,5
4,1,102,1,1690,10054,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,9
4,1,102,1,0,10055,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,9
4,1,102,1,1690,10057,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,8
4,1,102,1,1690,10057,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,15,8
4,1,102,1,1690,10058,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,10
4,1,102,1,1690,10058,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,9
4,1,102,1,1690,10059,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,9
4,1,102,1,1690,10059,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,9
4,1,102,1,1690,10060,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,3
4,1,102,1,1690,10060,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,9
4,1,107,2,1044,10061,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,,,15,6
4,1,107,2,1044,10061,1,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,,,15,8
4,1,107,2,1044,10063,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,10
4,1,107,2,1044,10067,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,,,3,6
4,1,107,2,0,10070,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,15,8
4,1,117,2,560,10074,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,9
