"zone","state","lga","sector","ea","hhid","s9q29a_1","s9q29a_2","s9q29a_3","s9q29a_os","s9q29_1","s9q29_2","s9q29_3","s9q29_os","s9q30a","s9q30_1","s9q30_2","s9q30_3","s9q30_os"
4,1,115,1,670,10001,1,12,11,,4,12,,,,,,,
4,1,115,1,670,10002,7,2,8,,2,8,7,,,,,,
4,1,115,1,670,10003,,,,,,,,,2,,,,
4,1,115,1,670,10004,,,,,,,,,2,,,,
4,1,115,1,670,10005,,,,,,,,,2,,,,
4,1,115,1,670,10008,,,,,,,,,2,,,,
4,1,105,2,0,10009,,,,,,,,,2,,,,
4,1,115,1,670,10010,,,,,,,,,1,1,4,7,
4,1,111,1,1146,10031,11,12,7,,4,8,13,,,,,,
4,1,111,1,1146,10032,1,12,,,1,4,,,,,,,
4,1,111,1,1146,10033,3,7,8,,4,7,8,,,,,,
4,1,111,1,1146,10034,3,7,8,,3,4,8,,,,,,
4,1,111,1,1146,10035,4,,,,4,,,,,,,,
4,1,111,1,1146,10036,2,3,,,2,8,12,,,,,,
4,1,111,1,1146,10037,1,5,,,1,8,5,,,,,,
4,1,111,1,1146,10038,4,11,12,,4,11,12,,,,,,
4,1,111,1,1146,10040,,,,,,,,,1,4,7,11,
4,1,102,1,1690,10051,3,4,11,,7,1,4,,,,,,
4,1,102,1,1690,10053,,,,,,,,,2,,,,
4,1,102,1,1690,10054,96,4,,"INITIAL CAPITAL",10,4,,,,,,,
4,1,102,1,0,10055,3,4,,,4,3,,,,,,,
4,1,102,1,1690,10056,,,,,,,,,2,,,,
4,1,102,1,1690,10057,4,10,11,,8,10,11,,,,,,
4,1,102,1,1690,10058,3,8,10,,3,8,10,,,,,,
4,1,102,1,1690,10059,3,5,8,,3,5,8,,,,,,
4,1,102,1,1690,10060,96,4,,"INITIAL CAPITAL",4,10,,,,,,,
4,1,107,2,1044,10061,2,5,8,,2,8,5,,,,,,
4,1,107,2,1044,10062,,,,,,,,,1,1,6,10,
4,1,107,2,1044,10063,1,8,13,,1,13,8,,,,,,
4,1,107,2,1044,10064,,,,,,,,,2,,,,
4,1,102,1,0,10065,,,,,,,,,2,,,,
4,1,107,2,1044,10066,,,,,,,,,2,,,,
4,1,107,2,1044,10067,3,7,10,,3,10,,,,,,,
4,1,107,2,1044,10068,,,,,,,,,1,4,10,3,
4,1,107,2,1044,10069,,,,,,,,,2,,,,
4,1,107,2,0,10070,3,8,12,,3,8,12,,,,,,
4,1,117,2,560,10071,,,,,,,,,2,,,,
4,1,117,2,560,10072,,,,,,,,,1,4,6,7,
4,1,117,2,560,10073,,,,,,,,,2,,,,
4,1,117,2,560,10074,7,11,8,,8,3,,,,,,,
4,1,117,2,560,10075,8,,,,13,,,,,,,,
4,1,117,2,560,10076,,,,,,,,,2,,,,
4,1,117,2,560,10077,,,,,,,,,2,,,,
4,1,117,2,560,10078,,,,,,,,,2,,,,
4,1,117,2,560,10079,,,,,,,,,2,,,,
4,1,117,2,560,10080,,,,,,,,,2,,,,
4,1,105,2,638,10091,,,,,,,,,2,,,,
4,1,105,2,638,10092,4,,,,4,,,,,,,,
5,3,322,2,0,10093,12,7,8,,7,6,3,,,,,,
4,1,105,2,638,10094,,,,,,,,,2,,,,
4,1,105,2,638,10096,13,,,,4,,,,,,,,
4,1,105,2,638,10097,5,4,,,3,8,5,,,,,,
4,1,105,2,638,10098,4,,,,4,,,,,,,,
4,1,105,2,638,10099,,,,,,,,,2,,,,
4,1,105,2,638,10100,,,,,,,,,1,4,8,,
4,1,108,2,904,10102,,,,,,,,,2,,,,
4,1,108,2,904,10103,8,4,,,7,8,3,,,,,,
4,1,108,2,904,10104,,,,,,,,,2,,,,
4,1,108,2,904,10105,8,,,,4,,,,,,,,
