"zone","state","lga","sector","ea","hhid","plotid","s11c2q10","s11c2q11a","s11c2q11b","s11c2q11_conv","s11c2q1","s11c2q2a","s11c2q2b","s11c2q2_conv","s11dq1a","s11c2q36_1","s11c2q36_2","s11c2q36_99","s11c2q36_os","s11c2q37a","s11c2q37b","s11c2q37a_conv","s11c2q38a","s11c2q38b","s11c2q38a_conv","s11c2q39a","s11c2q39b","s11c2q39a_conv","s11dq36","s11dq37a","s11dq37b","s11c2q37_conv","s11c2q19","s11c2q20","s11c2q21","s11c2q23","s11c2q25","s11c2q26","s11c2q27","s11c2q34"
4,1,105,2,0,10009,1,1,8,3,1,1,5,3,1,1,1,0,0,,1,12,50,,,,,,,1,10,11,25,2,,,,,2,1,2
4,1,105,2,0,10009,2,1,5,3,1,1,4,3,1,1,1,0,0,,1,11,25,,,,,,,1,5,11,25,2,,,,,2,1,2
4,1,111,1,1146,10031,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10061,1,2,,,,1,2,3,1,1,1,1,0,,100,1,1,50,1,1,,,,1,100,1,1,2,,,,,3,2,3
4,1,107,2,1044,10061,2,2,,,,1,1.8,3,1,1,0,1,0,,,,,100,1,1,,,,1,100,1,1,2,,,,,3,2,3
4,1,107,2,1044,10061,3,2,,,,2,,,,1,1,0,0,,50,1,1,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10061,4,2,,,,2,,,,1,1,0,0,,150,1,1,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10061,5,2,,,,2,,,,1,0,1,0,,,,,100,1,1,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10061,6,2,,,,1,1.5,3,1,1,1,1,0,,100,1,1,50,1,1,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10062,1,2,,,,2,,,,1,0,1,0,,,,,2,12,50,,,,1,500,2,0.00100000004749745,2,,,,,3,2,3
4,1,107,2,1044,10062,2,2,,,,2,,,,1,0,1,0,,,,,1,12,50,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10062,3,2,,,,2,,,,1,0,1,0,,,,,1,12,50,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10063,1,2,,,,1,0.5,3,1,1,1,0,0,,0.5,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10063,2,2,,,,2,,,,1,1,0,0,,1,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10063,3,2,,,,2,,,,1,1,0,0,,1,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10064,1,2,,,,2,,,,1,1,0,0,,2,12,50,,,,,,,1,1,13,100,2,,,,,3,2,3
4,1,107,2,1044,10064,2,2,,,,2,,,,1,1,0,0,,2,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10064,3,2,,,,2,,,,1,1,0,0,,1.5,12,50,,,,,,,2,,,,2,,,,,3,2,3
4,1,102,1,0,10065,1,1,1,3,1,2,,,,1,1,1,0,,0.5,12,50,0.5,12,50,,,,2,,,,2,,,,,3,2,3
4,1,102,1,0,10065,2,2,,,,2,,,,1,1,1,0,,0.5,12,50,0.5,12,50,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10066,1,2,,,,2,,,,1,0,1,0,,,,,1,12,50,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10066,2,2,,,,2,,,,1,0,1,0,,,,,1,12,50,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10067,1,2,,,,2,,,,1,0,1,0,,,,,2,12,50,,,,1,2,12,50,2,,,,,2,2,3
4,1,107,2,1044,10067,2,2,,,,2,,,,1,0,1,0,,,,,1,12,50,,,,1,2,12,50,2,,,,,2,2,2
4,1,107,2,1044,10067,4,2,,,,2,,,,1,0,1,0,,,,,1,12,50,,,,1,1,12,50,2,,,,,2,2,2
4,1,107,2,1044,10068,1,2,,,,2,,,,1,1,1,0,,2,12,50,1.5,12,50,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10068,2,2,,,,2,,,,1,1,1,0,,2,12,50,1.5,12,50,,,,2,,,,2,,,,,3,2,3
4,1,107,2,1044,10069,1,2,,,,1,2,1,1,1,0,1,0,,,,,3,13,100,,,,1,2,11,25,2,,,,,3,2,2
4,1,107,2,1044,10069,2,2,,,,1,1,1,1,1,1,1,0,,3,13,100,3,13,100,,,,1,4,12,50,2,,,,,3,1,2
4,1,107,2,0,10070,1,2,,,,2,,,,1,1,1,0,,3,12,50,1,12,50,,,,2,,,,2,,,,,2,2,2
4,1,107,2,0,10070,2,2,,,,2,,,,1,1,0,0,,1,12,50,,,,,,,2,,,,2,,,,,2,2,2
4,1,117,2,560,10071,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,117,2,560,10071,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,117,2,560,10071,3,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,117,2,560,10072,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,117,2,560,10072,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,117,2,560,10073,1,1,1,3,1,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,3
4,1,117,2,560,10074,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,117,2,560,10075,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,117,2,560,10075,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,117,2,560,10076,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,117,2,560,10076,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,117,2,560,10077,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,3
4,1,117,2,560,10078,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,117,2,560,10079,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,117,2,560,10079,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,117,2,560,10080,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,117,2,560,10080,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,105,2,638,10091,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,105,2,638,10091,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,105,2,638,10092,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,105,2,638,10092,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
5,3,322,2,0,10093,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
5,3,322,2,0,10093,3,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
5,3,322,2,0,10093,4,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
5,3,322,2,0,10093,6,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
5,3,322,2,0,10093,7,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,105,2,638,10094,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,105,2,638,10094,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,2
4,1,105,2,638,10096,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,3
4,1,105,2,638,10096,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,2
4,1,105,2,638,10097,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,105,2,638,10097,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,105,2,638,10097,3,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,105,2,638,10099,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,105,2,638,10100,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,105,2,638,10100,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,105,2,638,10100,3,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,108,2,904,10102,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,108,2,904,10102,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,108,2,904,10103,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,108,2,904,10103,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,108,2,904,10104,1,1,1,3,1,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,108,2,904,10105,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,108,2,904,10105,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,108,2,904,10106,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,108,2,904,10106,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,108,2,904,10106,3,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,108,2,904,10107,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,108,2,904,10108,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,108,2,904,10109,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,2
4,1,108,2,904,10109,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,108,2,904,10110,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,108,2,904,10110,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,102,1,46,19008,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,102,1,46,19008,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,104,2,412,19038,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,104,2,412,19039,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,104,2,412,19039,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,104,2,412,19041,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,104,2,412,19041,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,2
4,1,104,2,412,19043,1,1,3,3,1,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,104,2,412,19043,2,1,2,3,1,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,2
4,1,104,2,412,19043,3,1,1,3,1,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,104,2,412,19043,4,1,1,3,1,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,104,2,412,19044,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,3
4,1,104,2,412,19044,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,104,2,412,19045,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,104,2,412,19045,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,104,2,412,19047,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,2
4,1,104,2,412,19047,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,104,2,412,19048,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,2
4,1,104,2,412,19048,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,2
4,1,104,2,412,19048,3,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,3
4,1,104,2,1020,19049,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,104,2,1020,19049,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,104,2,1020,19051,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,2
4,1,104,2,1020,19051,3,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,104,2,1020,19052,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,2
4,1,104,2,1020,19052,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,2
4,1,104,2,1020,19054,3,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,104,2,1020,19054,4,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,2
4,1,104,2,1020,19055,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,104,2,1020,19055,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,104,2,1020,19056,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,104,2,1020,19058,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,104,2,1020,19058,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,3,2,3
4,1,104,2,1020,19060,1,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,104,2,1020,19060,2,2,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2
4,1,107,2,10,19061,1,2,,,,1,1,3,1,1,1,1,0,,0.5,12,50,0.5,12,50,,,,1,1,13,100,2,,,,,3,2,3
4,1,107,2,10,19062,1,2,,,,2,,,,1,1,0,0,,1,12,50,,,,,,,2,,,,2,,,,,2,2,2
4,1,107,2,10,19062,2,2,,,,2,,,,1,1,1,0,,2,12,50,2,12,50,,,,2,,,,2,,,,,2,2,2
