"zone","state","lga","sector","ea","hhid","inputid","s11c3q2","s11c3q3_1","s11c3q3_2","s11c3q3_3","s11c3q4a","s11c3q4b","s11c3q4_conv","s11c3q5","s11c3q6","s11c3q6b","s11c3q6b_os","s11c3q7","s11c3q8a","s11c3q8b","s11c2q29","s11c3q10"
4,1,105,2,0,10009,1,1,1,,,15,11,25,60000,12,1,,2,15,11,,
4,1,105,2,0,10009,2,1,1,,,2,12,50,12000,1.5,1,,2,,,,
4,1,105,2,0,10009,5,1,2,,,9,3,1,7200,9,1,,2,,,,
4,1,105,2,0,10009,6,1,2,,,13,3,1,14200,13,1,,2,,,,
4,1,105,2,0,10009,7,,,,,,,,,,,,,,,2,
4,1,105,2,0,10009,8,,,,,,,,,,,,,,,2,
4,1,107,2,1044,10061,1,1,1,,,200,1,1,5000,200,6,,3,0,,,
4,1,107,2,1044,10061,2,1,1,,,4,12,50,36000,4,6,,3,,1,,
4,1,107,2,1044,10061,3,1,1,,,300,1,1,30000,300,6,,3,,1,,
4,1,107,2,1044,10061,5,1,1,,,5.3,3,1,12500,5.3,6,,3,,2,,
4,1,107,2,1044,10062,1,1,1,,,500,2,0.00100000004749745,800,500,6,,3,0,,,
4,1,107,2,1044,10062,3,1,1,,,4,12,50,28500,4,6,,3,,,,
4,1,107,2,1044,10063,2,1,6,7,,3,11,25,21000,2.5,6,,3,,11,,
4,1,107,2,1044,10063,5,1,7,,,0.5,3,1,900,0.5,6,,3,,2,,
4,1,107,2,1044,10064,1,1,1,,,2,12,50,2400,2,6,,2,0,,,
4,1,107,2,1044,10064,2,1,1,,,5.5,12,50,33000,5.5,6,,4,,,,
4,1,102,1,0,10065,2,1,2,,,1,12,50,8000,1,6,,1,,,,
4,1,102,1,0,10065,3,1,2,,,1,12,50,7500,1,6,,1,,,,
4,1,102,1,0,10065,6,1,2,,,1,3,1,2000,1,6,,1,,,,
4,1,107,2,1044,10066,3,1,2,,,2,12,50,19000,2,1,,3,,,,
4,1,107,2,1044,10067,1,1,1,,,5,12,50,12500,5,4,,0,0,,,
4,1,107,2,1044,10067,3,1,1,,,4,12,50,26000,4,6,,4,,12,,
4,1,107,2,1044,10068,2,1,3,,,4,12,50,32000,4,6,,3,,12,,
4,1,107,2,1044,10068,3,1,3,,,3,12,50,21000,3,6,,3,,12,,
4,1,107,2,1044,10069,1,1,1,,,3,12,50,9000,3,6,,5,0,,,
4,1,107,2,1044,10069,2,1,1,,,3,12,50,21000,3,6,,4,,13,,
4,1,107,2,1044,10069,3,1,1,,,3,12,50,20000,3,6,,4,,,,
4,1,107,2,1044,10069,5,1,1,,,2,1,1,3000,2,6,,4,,,,
4,1,107,2,1044,10069,7,,,,,,,,,,,,,,4,2,
4,1,107,2,1044,10069,8,,,,,,,,,,,,,,4,2,
4,1,107,2,0,10070,2,1,2,,,4,12,50,36000,4,6,,5,,,,
4,1,107,2,0,10070,3,1,2,,,1,12,50,7000,1,6,,5,,,,
4,1,117,2,560,10073,6,1,1,,,1,3,1,2500,1,6,,0,,,,
4,1,108,2,904,10104,6,1,1,,,5,3,1,7500,5,6,,1,,,,
4,1,104,2,412,19043,6,1,1,,,3,3,1,4500,3,6,,0,,1,,
4,1,107,2,10,19061,1,2,,,,,,,,,,,,0,,,
4,1,107,2,10,19061,2,1,1,,,0.5,12,50,3500,0.5,6,,3,,,,
4,1,107,2,10,19061,3,1,1,,,0.5,12,50,4000,0.5,6,,3,,,,
4,1,107,2,10,19061,5,1,1,,,1,3,1,1800,1,6,,3,,,,
4,1,107,2,10,19062,2,1,1,,,3,12,50,27000,3,6,,5,,,,
4,1,107,2,10,19062,3,1,1,,,2,12,50,15000,2,6,,5,,,,
4,1,107,2,10,19063,1,2,,,,,,,,,,,,1,11,,
4,1,107,2,10,19063,2,1,1,,,2,12,50,11000,2,6,,7,,,,
4,1,107,2,10,19063,3,1,1,,,2,12,50,13000,2,6,,7,,,,
4,1,107,2,10,19064,1,1,1,,,6,10,10,1500,6,6,,5,0,,,
4,1,107,2,10,19064,2,1,1,,,21,1,1,4000,21,6,,5,,,,
4,1,107,2,10,19064,3,1,1,,,21,1,1,3000,21,6,,5,,,,
4,1,107,2,10,19064,5,1,1,,,350,2,0.00100000004749745,1750,350,6,,5,,,,
4,1,107,2,10,19066,2,1,1,2,,1,12,50,7000,1,6,,3,,,,
4,1,107,2,10,19066,3,1,1,2,,1,12,50,7500,1,6,,3,,,,
4,1,107,2,10,19066,5,1,1,2,,0.5,3,1,1000,0.5,6,,3,,,,
4,1,107,2,10,19068,1,1,1,,,4,11,25,10000,4,6,,3,0,,,
4,1,107,2,10,19068,2,1,1,,,2,12,50,18000,2,6,,3,,,,
4,1,107,2,10,19068,3,1,1,,,2,12,50,15000,2,6,,3,,,,
4,1,107,2,10,19068,5,1,1,,,4,3,1,6000,4,6,,3,,,,
4,1,107,2,10,19068,6,1,1,,,2,3,1,1900,2,6,,3,,,,
4,1,107,2,10,19069,2,1,1,2,,4,12,50,36000,4,6,,5,,,,
4,1,107,2,10,19069,3,1,1,,,4,12,50,30000,4,6,,5,,,,
4,1,107,2,10,19069,5,1,1,,,2,3,1,4000,2,6,,5,,,,
4,1,107,2,10,19070,2,1,1,,,5,12,50,45000,5,6,,3,,,,
4,1,107,2,10,19070,3,1,1,,,2,12,50,15000,2,6,,3,,,,
4,1,107,2,10,19071,2,1,1,,,5,12,50,45000,5,6,,5,,,,
4,1,107,2,10,19071,3,1,1,,,5,12,50,37500,5,6,,5,,,,
4,1,107,2,10,19072,2,1,2,,,13,12,50,117000,13,6,,3,,,,
4,1,107,2,10,19072,3,1,2,,,2,12,50,14000,2,6,,3,,,,
4,1,107,2,1322,19073,1,1,1,2,,75.5,1,1,2000,75.5,1,,5,0,,,
4,1,107,2,1322,19073,2,1,1,2,,7,11,25,31500,7,1,,4,,,,
4,1,107,2,1322,19073,3,1,1,2,,12,31,1.79999995231628,10800,12,1,,4,,,,
4,1,107,2,1322,19073,5,1,1,2,,1.5,1,1,1500,1.5,6,,2,,,,
4,1,107,2,1322,19075,2,1,1,4,,7,12,50,63000,7,6,,3,,,,
4,1,107,2,1322,19076,2,1,2,,,1,11,25,4500,1,6,,0,,,,
4,1,107,2,1322,19076,3,1,2,,,1,11,25,3500,1,6,,0,,,,
4,1,107,2,1322,19077,2,1,1,,,3,12,50,27000,3,6,,2,,,,
4,1,107,2,1322,19077,5,1,1,,,2,3,1,3000,2,6,,2,,,,
4,1,107,2,1322,19079,2,1,1,,,1,12,50,7000,1,6,,0,,,,
4,1,107,2,1322,19080,1,1,1,,,3,12,50,7500,3,6,,5,3,12,,
4,1,107,2,1322,19080,2,1,1,,,4,12,50,32000,4,6,,5,,,,
4,1,107,2,1322,19080,3,1,1,,,3,12,50,21000,3,1,,5,,,,
4,1,107,2,1322,19081,1,1,1,,,2,12,50,5000,2,6,,0,0,,,
4,1,107,2,1322,19081,2,1,1,,,4,12,50,3600,4,6,,0,,,,
4,1,107,2,1322,19081,3,1,1,,,5,12,50,35000,5,6,,0,,,,
4,1,107,2,1322,19081,5,1,1,,,2,3,1,4000,2,2,,2,,,,
4,1,107,2,1322,19082,2,1,1,,,6,12,50,42000,6,6,,0,,,,
4,1,107,2,1322,19082,3,1,1,,,1,12,50,7500,1,6,,0,,,,
4,1,107,2,1322,19082,5,1,1,,,1,3,1,2000,1,6,,0,,,,
4,1,107,2,1322,19084,1,1,1,2,,3,12,50,7500,3,6,,0,0,,,
4,1,107,2,1322,19084,2,1,2,,,2,12,50,18000,2,6,,0,,,,
4,1,107,2,1322,19084,3,1,1,2,,1,12,50,7000,1,6,,0,,,,
4,1,109,2,1214,19085,2,1,1,,,1.5,12,50,12500,1.5,6,,3,,,,
4,1,109,2,1214,19085,3,1,1,,,2,12,50,16000,2,6,,3,,,,
4,1,109,2,1214,19087,3,1,1,2,,1,10,10,1200,1,6,,5,,,,
4,1,109,2,1214,19088,2,1,1,,,6,12,50,54000,6,6,,4,,,,
4,1,109,2,1214,19088,3,1,1,,,4,12,50,28000,4,6,,4,,,,
