"zone","state","lga","sector","ea","hhid","s11c3q12"
4,1,115,1,670,10002,
4,1,115,1,670,10003,
4,1,115,1,670,10004,
4,1,115,1,670,10005,
4,1,115,1,670,10008,
4,1,105,2,0,10009,2000
4,1,115,1,670,10010,
4,1,111,1,1146,10031,
4,1,111,1,1146,10032,
4,1,111,1,1146,10033,
4,1,111,1,1146,10034,
4,1,111,1,1146,10035,
4,1,111,1,1146,10036,
4,1,111,1,1146,10037,
4,1,111,1,1146,10038,
4,1,111,1,1146,10040,
4,1,102,1,1690,10051,
4,1,102,1,1690,10053,
4,1,102,1,1690,10054,
4,1,102,1,0,10055,
4,1,102,1,1690,10056,
4,1,102,1,1690,10057,
4,1,102,1,1690,10058,
4,1,102,1,1690,10059,
4,1,102,1,1690,10060,
4,1,107,2,1044,10061,4500
4,1,107,2,1044,10062,2800
4,1,107,2,1044,10063,1000
4,1,107,2,1044,10064,1500
4,1,102,1,0,10065,500
4,1,107,2,1044,10066,800
4,1,107,2,1044,10067,0
4,1,107,2,1044,10068,4500
4,1,107,2,1044,10069,4800
4,1,107,2,0,10070,1600
4,1,117,2,560,10071,
4,1,117,2,560,10072,
4,1,117,2,560,10073,0
4,1,117,2,560,10074,
4,1,117,2,560,10075,
4,1,117,2,560,10076,
4,1,117,2,560,10077,
4,1,117,2,560,10078,
4,1,117,2,560,10079,
4,1,117,2,560,10080,
4,1,105,2,638,10091,
4,1,105,2,638,10092,
5,3,322,2,0,10093,
4,1,105,2,638,10094,
4,1,105,2,638,10096,
4,1,105,2,638,10097,
4,1,105,2,638,10098,
4,1,105,2,638,10099,
4,1,105,2,638,10100,
4,1,108,2,904,10102,
4,1,108,2,904,10103,
4,1,108,2,904,10104,200
4,1,108,2,904,10105,
4,1,108,2,904,10106,
4,1,108,2,904,10107,
4,1,108,2,904,10108,
4,1,108,2,904,10109,
4,1,108,2,904,10110,
4,1,102,1,46,19001,
4,1,102,1,46,19002,
4,1,102,1,46,19005,
4,1,102,1,46,19006,
4,1,102,1,46,19007,
4,1,102,1,46,19008,
4,1,102,1,46,19009,
4,1,102,1,46,19010,
4,1,102,1,46,19012,
4,1,102,1,806,19014,
4,1,102,1,806,19015,
4,1,102,1,806,19017,
4,1,102,1,806,19018,
4,1,102,1,806,19019,
4,1,102,1,806,19020,
4,1,102,1,806,19023,
4,1,102,1,806,19024,
4,1,102,1,2486,19025,
4,1,102,1,2486,19026,
4,1,102,1,2486,19029,
4,1,102,1,2486,19031,
4,1,102,1,2486,19032,
4,1,102,1,2486,19033,
4,1,102,1,2486,19034,
4,1,102,1,2486,19035,
4,1,102,1,2486,19036,
4,1,104,2,412,19037,
4,1,104,2,412,19038,
4,1,104,2,412,19039,
4,1,104,2,412,19040,
4,1,104,2,412,19041,
4,1,104,2,412,19043,0
4,1,104,2,412,19044,
4,1,104,2,412,19045,
4,1,104,2,412,19047,
4,1,104,2,412,19048,
4,1,104,2,1020,19049,
4,1,104,2,1020,19050,
4,1,104,2,1020,19051,
4,1,104,2,1020,19052,
4,1,104,2,1020,19054,
4,1,104,2,1020,19055,
4,1,104,2,1020,19056,
4,1,104,2,1020,19058,
4,1,104,2,1020,19060,
4,1,107,2,10,19061,800
4,1,107,2,10,19062,1000
4,1,107,2,10,19063,0
4,1,107,2,10,19064,2000
4,1,107,2,10,19066,500
4,1,107,2,10,19068,500
4,1,107,2,10,19069,1500
4,1,107,2,10,19070,3500
4,1,107,2,10,19071,1000
4,1,107,2,10,19072,5500
4,1,107,2,1322,19073,1500
4,1,107,2,1322,19075,3500
4,1,107,2,1322,19076,800
4,1,107,2,1322,19077,1200
4,1,107,2,1322,19079,200
4,1,107,2,1322,19080,1200
4,1,107,2,1322,19081,200
4,1,107,2,1322,19082,1000
4,1,107,2,1322,19084,0
4,1,109,2,1214,19085,600
4,1,109,2,1214,19087,400
4,1,109,2,1214,19088,800
4,1,109,2,1214,19089,1200
4,1,109,2,1214,19091,2500
4,1,109,2,1214,19092,1500
4,1,109,2,1214,19093,1500
4,1,109,2,1214,19094,3500
4,1,109,2,1214,19095,1200
4,1,109,2,1214,19096,600
4,1,109,2,1792,19097,400
4,1,109,2,1792,19098,500
4,1,109,2,1792,19099,
4,1,109,2,1792,19100,600
4,1,109,2,1792,19101,1200
4,1,109,2,1792,19103,800
4,1,109,2,1792,19104,5500
4,1,109,2,1792,19105,1000
4,1,109,2,1792,19106,300
4,1,109,2,1792,19107,1200
4,1,109,2,1996,19110,700
4,1,109,2,1996,19111,500
4,1,109,2,1996,19112,1200
4,1,109,2,1996,19113,200
4,1,109,2,1996,19115,500
4,1,109,2,1996,19116,1500
4,1,109,2,1996,19117,2000
4,1,109,2,1996,19118,1200
4,1,109,2,1996,19119,1200
4,1,109,2,1996,19120,
4,1,110,2,338,19121,
4,1,110,2,338,19122,
4,1,110,2,338,19123,
4,1,110,2,338,19124,
4,1,110,2,338,19125,
4,1,110,2,338,19126,
4,1,110,2,338,19127,
4,1,110,2,338,19129,100
4,1,110,2,338,19130,
4,1,110,2,338,19131,
4,1,111,2,118,19133,500
4,1,111,2,118,19135,1000
4,1,111,2,118,19136,200
4,1,111,2,118,19137,500
4,1,111,2,118,19138,900
4,1,111,2,118,19139,850
4,1,111,2,118,19140,200
4,1,111,2,118,19141,1500
4,1,111,2,118,19143,250
4,1,111,2,118,19144,150
4,1,112,2,266,19145,
4,1,112,2,266,19146,
4,1,112,2,266,19147,
4,1,112,2,266,19148,
4,1,112,2,266,19149,
4,1,112,2,266,19150,
4,1,112,2,266,19151,
4,1,112,2,266,19152,
4,1,112,2,266,19153,
4,1,112,2,556,19158,
4,1,112,2,556,19159,600
4,1,112,2,556,19160,600
4,1,112,2,556,19161,500
