"zone","state","lga","sector","ea","hhid","plotid","indiv","sa2aq1b","sa2aq1c","sa2aq1d__1","sa2aq1d__2","sa2aq1d__3","sa2aq1d__4","sa2aq1d__5","sa2aq1d__6"
4,1,105,2,0,10009,1,2,10,5,0,0,1,0,1,0
4,1,105,2,0,10009,1,6,10,5,0,0,1,0,1,0
4,1,105,2,0,10009,2,2,5,4,0,0,1,0,1,0
4,1,105,2,0,10009,2,6,5,4,0,0,1,0,1,0
4,1,111,1,1146,10031,1,1,1,2,0,0,1,0,1,0
4,1,111,1,1146,10031,1,2,1,2,0,0,1,0,1,0
4,1,107,2,1044,10061,1,1,48,5,0,0,1,0,1,1
4,1,107,2,1044,10061,1,2,22,6,0,1,1,0,1,1
4,1,107,2,1044,10061,1,3,36,3,0,0,1,0,1,0
4,1,107,2,1044,10061,1,4,32,2,0,0,1,0,1,0
4,1,107,2,1044,10061,1,5,28,2,0,0,1,0,1,0
4,1,107,2,1044,10061,2,1,32,4,0,0,1,0,1,1
4,1,107,2,1044,10061,2,2,42,5,0,0,1,0,1,1
4,1,107,2,1044,10061,3,1,46,3,0,0,1,0,1,1
4,1,107,2,1044,10061,3,2,25,4,0,0,1,0,1,1
4,1,107,2,1044,10061,3,3,28,2,0,0,1,0,1,1
4,1,107,2,1044,10061,4,1,45,4,0,0,1,0,1,1
4,1,107,2,1044,10061,4,2,31,4,0,0,1,0,1,1
4,1,107,2,1044,10061,4,3,27,2,0,0,1,0,1,1
4,1,107,2,1044,10061,4,4,26,2,0,0,1,0,1,0
4,1,107,2,1044,10061,5,1,42,3,0,0,1,0,1,1
4,1,107,2,1044,10061,5,2,38,3,0,0,1,0,1,1
4,1,107,2,1044,10061,5,3,28,2,0,0,1,0,1,0
4,1,107,2,1044,10061,5,4,25,2,0,0,1,0,1,0
4,1,107,2,1044,10061,6,1,44,3,0,0,1,0,1,1
4,1,107,2,1044,10061,6,2,38,3,0,0,1,0,1,1
4,1,107,2,1044,10061,6,3,23,2,0,0,1,0,1,0
4,1,107,2,1044,10061,6,4,22,2,0,0,1,0,1,0
4,1,107,2,1044,10062,1,1,15,4,0,0,1,0,1,1
4,1,107,2,1044,10062,2,1,19,3,0,0,1,0,1,1
4,1,107,2,1044,10062,3,1,17,3,0,0,1,0,1,1
4,1,107,2,1044,10063,1,7,8,5,0,0,1,0,0,0
4,1,107,2,1044,10063,1,12,3,5,0,0,1,0,0,0
4,1,107,2,1044,10063,2,7,5,4,0,0,1,0,0,0
4,1,107,2,1044,10063,3,7,5,5,0,0,1,0,0,0
4,1,107,2,1044,10064,1,4,5,4,0,0,1,0,1,0
4,1,107,2,1044,10064,1,5,8,5,0,0,1,0,1,0
4,1,107,2,1044,10064,2,4,3,5,0,0,1,0,1,0
4,1,107,2,1044,10064,2,5,5,5,0,0,1,0,1,0
4,1,107,2,1044,10064,3,1,2,3,0,0,1,0,1,1
4,1,107,2,1044,10064,3,4,4,5,0,0,1,0,1,0
4,1,107,2,1044,10064,3,5,6,5,0,0,1,0,1,0
4,1,102,1,0,10065,1,2,5,5,0,0,1,0,1,1
4,1,102,1,0,10065,1,7,4,6,0,0,1,0,1,0
4,1,102,1,0,10065,1,8,2,5,0,0,1,0,1,0
4,1,102,1,0,10065,2,2,6,5,0,0,1,0,1,1
4,1,102,1,0,10065,2,5,3,5,0,0,1,0,1,0
4,1,102,1,0,10065,2,7,5,6,0,0,1,0,1,0
4,1,107,2,1044,10066,1,2,21,5,0,0,1,0,1,1
4,1,107,2,1044,10066,2,2,19,5,0,0,1,0,1,1
4,1,107,2,1044,10067,1,2,15,4,0,0,1,0,1,1
4,1,107,2,1044,10067,2,1,18,3,0,0,1,0,1,1
4,1,107,2,1044,10067,2,2,10,4,0,0,1,0,1,1
4,1,107,2,1044,10067,2,7,10,3,0,0,1,0,1,0
4,1,107,2,1044,10067,4,1,20,3,0,0,0,1,1,1
4,1,107,2,1044,10067,4,7,12,2,0,0,1,0,1,0
4,1,107,2,1044,10068,1,2,25,4,0,0,1,0,1,1
4,1,107,2,1044,10068,1,3,45,3,0,0,1,0,1,1
4,1,107,2,1044,10068,1,4,24,4,0,0,1,0,1,0
4,1,107,2,1044,10068,2,2,62,2,0,0,1,0,1,1
4,1,107,2,1044,10068,2,3,36,3,0,0,1,0,1,0
4,1,107,2,1044,10068,2,4,32,2,0,0,1,0,1,0
4,1,107,2,1044,10069,1,1,6,4,0,0,0,0,1,1
4,1,107,2,1044,10069,1,13,4,5,0,0,1,0,0,0
4,1,107,2,1044,10069,2,1,2,3,0,0,0,0,0,1
4,1,107,2,1044,10069,2,13,3,5,0,0,1,0,1,0
4,1,107,2,0,10070,1,2,9,5,0,0,1,0,0,1
4,1,107,2,0,10070,2,2,5,4,0,0,1,0,0,1
4,1,117,2,560,10071,1,1,5,6,0,0,1,0,1,0
4,1,117,2,560,10071,1,2,12,6,0,0,1,0,1,0
4,1,117,2,560,10071,2,1,4,6,0,0,1,0,1,0
4,1,117,2,560,10071,2,2,10,6,0,0,1,0,1,0
4,1,117,2,560,10071,3,1,3,3,0,0,1,0,1,0
4,1,117,2,560,10071,3,2,7,4,0,0,1,0,0,0
4,1,117,2,560,10072,1,1,5,6,0,0,1,0,1,0
4,1,117,2,560,10072,2,1,5,6,0,0,1,0,1,0
4,1,117,2,560,10073,1,1,8,3,0,0,1,0,1,0
4,1,117,2,560,10075,1,3,15,4,0,0,1,0,1,0
4,1,117,2,560,10075,2,3,15,4,0,0,1,0,1,0
4,1,117,2,560,10076,1,1,15,3,0,0,1,0,1,0
4,1,117,2,560,10076,1,2,15,3,0,0,1,0,1,0
4,1,117,2,560,10076,2,1,12,3,0,0,1,0,1,0
4,1,117,2,560,10076,2,2,14,3,0,0,1,0,1,0
4,1,117,2,560,10077,1,2,3,2,0,0,1,0,1,0
4,1,117,2,560,10078,1,4,3,2,0,0,1,0,1,0
4,1,117,2,560,10079,1,1,3,4,0,0,1,0,1,0
4,1,117,2,560,10079,2,1,4,5,0,0,1,0,1,0
4,1,117,2,560,10080,1,1,4,6,0,0,1,0,1,0
4,1,117,2,560,10080,1,10,4,5,0,0,1,0,1,0
4,1,117,2,560,10080,2,1,3,4,0,0,1,0,1,0
4,1,105,2,638,10091,1,2,10,4,0,0,1,0,1,0
4,1,105,2,638,10091,1,5,12,4,0,0,1,0,1,0
4,1,105,2,638,10092,1,1,10,6,0,0,1,0,1,0
4,1,105,2,638,10092,2,1,8,6,0,0,1,0,1,0
5,3,322,2,0,10093,2,2,10,4,0,0,0,0,1,0
5,3,322,2,0,10093,2,3,10,4,0,0,0,0,1,0
5,3,322,2,0,10093,2,5,10,4,0,0,0,0,1,0
