"zone","state","lga","sector","ea","hhid","plotid","sa2bq2a","sa2bq2","sa2bq3","sa2bq3a","sa2bq4","sa2bq4a__1","sa2bq4a__2","sa2bq4a__3","sa2bq4a__4","sa2bq4a__5","sa2bq5a","sa2bq5","sa2bq6","sa2bq6a","sa2bq7","sa2bq7a__1","sa2bq7a__2","sa2bq7a__3","sa2bq7a__4","sa2bq7a__5","sa2bq8a","sa2bq8","sa2bq9","sa2bq9a","sa2bq10","sa2bq10a__1","sa2bq10a__2","sa2bq10a__3","sa2bq10a__4","sa2bq10a__5","sa2bq13a","sa2bq14a","sa2bq15a","sa2bq16a","sa2bq17a__1","sa2bq17a__2","sa2bq17a__3","sa2bq17a__4","sa2bq17a__5","sa2bq13b","sa2bq14b","sa2bq15b","sa2bq16b","sa2bq17b__1","sa2bq17b__2","sa2bq17b__3","sa2bq17b__4","sa2bq17b__5","sa2bq13c","sa2bq14c","sa2bq15c","sa2bq16c","sa2bq17c__1","sa2bq17c__2","sa2bq17c__3","sa2bq17c__4","sa2bq17c__5"
4,1,105,2,0,10009,1,0,,,,,,,,,,1,2,3,6,1000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,2,0,,,,,,,,,,1,2,2,6,1000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10031,1,0,,,,,,,,,,1,1,1,4,1500,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,1,1,10,2,8,1000,0,0,1,0,1,1,11,2,8,700,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,2,1,8,2,8,1000,0,0,1,0,1,1,10,3,8,1200,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,3,0,,,,,,,,,,1,7,3,8,700,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,4,0,,,,,,,,,,1,11,3,8,1200,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,5,0,,,,,,,,,,1,8,3,8,700,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,6,1,8,2,8,1000,0,0,1,0,1,1,8,2,2,700,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,1,0,,,,,,,,,,1,3,2,4,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,2,0,,,,,,,,,,1,3,2,5,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10062,3,0,,,,,,,,,,1,2,3,5,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,1,0,,,,,,,,,,1,3,3,5,1000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10066,2,0,,,,,,,,,,1,3,3,5,1000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10067,2,0,,,,,,,,,,1,3,1,6,1000,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10068,1,1,4,2,6,1000,0,0,1,0,1,1,7,3,8,700,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10068,2,1,5,3,8,1000,0,0,1,0,1,1,5,3,8,700,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10069,1,0,,,,,,,,,,1,4,4,5,1000,0,0,1,0,1,1,2,4,5,1000,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10069,2,0,,,,,,,,,,1,5,3,5,1000,0,0,1,0,0,1,2,3,5,1000,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,0,10070,1,0,,,,,,,,,,1,4,2,6,1200,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,0,10070,2,0,,,,,,,,,,1,2,1,6,1200,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10071,1,0,,,,,,,,,,1,4,2,8,2000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10071,2,0,,,,,,,,,,1,4,3,8,2000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10071,3,0,,,,,,,,,,1,2,4,8,2000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10072,1,0,,,,,,,,,,1,2,4,8,2000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10072,2,0,,,,,,,,,,1,2,5,8,2000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10073,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,2,2,5,0,0,1,0,1,0,,,,,,,,
4,1,117,2,560,10074,1,0,,,,,,,,,,1,4,2,8,1500,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10075,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,5,0,0,1,0,1,,,,,,,,,,1,2,4,5,0,0,1,0,1
4,1,117,2,560,10075,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,3,6,5,0,0,1,0,1,0,,,,,,,,
4,1,117,2,560,10077,1,0,,,,,,,,,,1,3,2,6,1500,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10079,1,0,,,,,,,,,,1,2,3,7,1500,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,1,2,2,7,0,0,1,0,1,0,,,,,,,,
4,1,117,2,560,10079,2,0,,,,,,,,,,1,2,7,5,1000,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,1,2,2,6,0,0,1,0,1,0,,,,,,,,
4,1,117,2,560,10080,1,0,,,,,,,,,,1,2,3,6,1000,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,1,2,3,5,0,0,1,0,1,0,,,,,,,,
4,1,117,2,560,10080,2,0,,,,,,,,,,1,2,2,5,800,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,1,2,2,5,0,0,1,0,1,0,,,,,,,,
4,1,105,2,638,10091,1,1,4,3,6,1500,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10091,2,1,4,3,6,1500,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10094,1,1,3,3,8,1500,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10094,2,1,3,3,8,1500,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10096,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,5,0,0,1,0,1,0,,,,,,,,,0,,,,,,,,
4,1,105,2,638,10096,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,4,0,0,1,0,1,0,,,,,,,,,0,,,,,,,,
4,1,105,2,638,10099,1,0,,,,,,,,,,1,1,1,6,600,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10100,1,1,2,2,5,1500,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,,1,2,3,5,0,0,1,0,1,0,,,,,,,,,0,,,,,,,,
4,1,105,2,638,10100,2,1,1,2,5,1500,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10100,3,0,,,,,,,,,,1,1,2,4,800,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,1,1,2,5,0,0,1,0,1,0,,,,,,,,
4,1,108,2,904,10102,1,0,,,,,,,,,,1,2,2,5,1200,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,2,2,5,0,0,1,0,1
4,1,108,2,904,10102,2,0,,,,,,,,,,1,1,2,6,1200,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,2,2,5,0,0,1,0,1
4,1,108,2,904,10103,1,0,,,,,,,,,,1,3,3,4,1000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10103,2,0,,,,,,,,,,1,3,3,5,1000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10104,1,1,1,2,6,1500,0,0,0,1,0,1,5,4,8,1000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10105,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,2,5,4,0,0,0,0,1
4,1,108,2,904,10107,2,1,2,3,8,1000,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,,1,2,2,6,0,0,1,0,1,0,,,,,,,,,0,,,,,,,,
4,1,108,2,904,10108,1,0,,,,,,,,,,1,5,3,8,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10109,1,0,,,,,,,,,,1,6,4,5,1200,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,1,1,1,5,0,0,1,0,1,0,,,,,,,,
4,1,108,2,904,10109,2,0,,,,,,,,,,1,5,2,5,1200,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10110,1,0,,,,,,,,,,1,2,2,8,1500,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10110,2,0,,,,,,,,,,1,3,2,8,1500,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,412,19038,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,2,1,8,0,0,1,0,0
4,1,104,2,412,19039,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,2,4,5,0,0,1,0,1,0,,,,,,,,
4,1,104,2,412,19039,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,2,2,5,0,0,1,0,0
