"zone","state","lga","sector","ea","hhid","plotid","cropcode","sa3iq3","sa3iq4","sa3iq4_os","sa3iq4a1","sa3iq4a2","sa3iq4b","sa3iq4c","sa3iq5","sa3iq6i","sa3iq6ii","sa3iq6_4","sa3iq6_2","sa3iq6_conv","sa3iq6a","sa3iq6b","sa3iq6c1","sa3iq6c2","sa3iq6d1","sa3iq6d2","sa3iq6d4","sa3iq6d2a","sa3iq6d_conv","sa3iq6e_1","sa3iq6e_2","sa3iq6e_3","sa3iq6e_4","sa3iq6e_5","sa3iq6e_6","sa3iq6e_7","sa3iq6e_8"
4,1,105,2,0,10009,1,1020,2,9,,,,,,,,,,,,,,,,10,130,10,,25,1,,,,,,,
4,1,105,2,0,10009,1,1080,1,,,6,2018,2,,,5,130,10,1,9,7500,1,8,2018,,,,,,1,,,,,,,
4,1,105,2,0,10009,2,1020,2,9,,,,,,,,,,,,,,,,10,130,11,,50,1,,,,,,,
4,1,105,2,0,10009,2,1080,1,,,7,2018,2,,,5,130,10,1,9,7500,1,8,2018,,,,,,1,,,,,,,
4,1,111,1,1146,10031,1,1020,2,9,,,,,,,,,,,,,,,,3,130,10,,25,1,,,,,,,
4,1,111,1,1146,10031,1,1080,1,,,8,2018,2,,,1,130,10,1,9,800,1,8,2018,,,,,,1,,,,,,,
4,1,111,1,1146,10031,1,2190,1,,,7,2018,2,,,4,160,0,,0.479999989271164,400,1,11,2018,,,,,,1,,,,,,,
4,1,107,2,1044,10061,1,2080,1,,,7,2018,2,,,7,130,10,,25,35000,1,11,2018,,,,,,1,2,,,,,,
4,1,107,2,1044,10061,2,2060,1,,,8,2018,2,,,10,130,10,,25,45000,1,11,2018,,,,,,1,2,,,,,,
4,1,107,2,1044,10061,3,1124,1,,,11,2018,2,,,5,130,11,,50,40000,1,12,2018,,,,,,1,2,,,,,,
4,1,107,2,1044,10061,4,1020,1,,,12,2018,1,1,25,15,130,11,,50,60000,2,,,25,130,11,,50,1,2,,,,,,
4,1,107,2,1044,10061,5,1080,1,,,5,2018,2,,,10,130,10,1,9,28000,1,10,2018,,,,,,1,2,,,,,,
4,1,107,2,1044,10061,6,1121,1,,,11,2018,2,,,9,150,1,,34.9799995422363,36000,1,12,2018,,,,,,1,2,,,,,,
4,1,107,2,1044,10061,6,2142,1,,,6,2018,2,,,7,130,10,,25,28000,1,11,2018,,,,,,1,2,,,,,,
4,1,107,2,1044,10061,6,2194,1,,,5,2018,2,,,150,100,1,,0.620000004768372,15000,1,11,2018,,,,,,1,2,,,,,,
4,1,107,2,1044,10062,1,1020,2,9,,,,,,,,,,,,,,,,7,130,11,,50,1,,,,,,,
4,1,107,2,1044,10062,1,1080,1,,,5,2018,2,,,5,130,10,1,9,7500,1,7,2018,,,,,,1,,,,,,,
4,1,107,2,1044,10062,2,1020,2,9,,,,,,,,,,,,,,,,7,130,11,,50,1,,,,,,,
4,1,107,2,1044,10062,2,1080,1,,,5,2018,2,,,5,130,10,1,9,7500,1,7,2018,,,,,,1,,,,,,,
4,1,107,2,1044,10062,2,2080,1,,,6,2018,2,,,2,130,10,,25,3000,1,7,2018,,,,,,1,,,,,,,
4,1,107,2,1044,10062,3,1020,1,,,10,2018,1,1,75,4,130,11,,50,8000,2,,,3,130,11,,50,1,,,,,,,
4,1,107,2,1044,10062,3,1080,1,,,5,2018,2,,,5,130,10,1,9,5000,1,6,2018,,,,,,1,,,,,,,
4,1,107,2,1044,10063,1,1020,2,9,,,,,,,,,,,,,,,,10,130,11,,50,6,7,,,,,,
4,1,107,2,1044,10063,1,2060,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10063,2,1080,1,,,5,2018,2,,,5,130,11,1,18,9000,1,6,2018,,,,,,7,,,,,,,
4,1,107,2,1044,10063,2,2120,1,,,5,2018,1,4,25,4,11,,,1.97899997234344,2800,1,7,2018,,,,,,7,,,,,,,
4,1,107,2,1044,10063,3,1020,2,9,,,,,,,,,,,,,,,,12,130,11,,50,6,7,,,,,,
4,1,107,2,1044,10063,3,1080,1,,,5,2018,2,,,2,130,11,1,18,5000,1,5,2018,,,,,,6,7,,,,,,
4,1,107,2,1044,10063,3,2080,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10064,1,1080,1,,,5,2018,2,,,4,130,11,1,18,7000,1,5,2018,,,,,,1,,,,,,,
4,1,107,2,1044,10064,2,1080,1,,,6,2018,2,,,3,130,11,1,18,5500,1,6,2018,,,,,,1,,,,,,,
4,1,107,2,1044,10064,2,2080,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10064,3,1080,1,,,6,2018,2,,,3,130,11,1,18,3000,1,6,2018,,,,,,1,,,,,,,
4,1,107,2,1044,10064,3,2060,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10064,3,2120,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,0,10065,1,1020,2,9,,,,,,,,,,,,,,,,5,130,11,,50,2,,,,,,,
4,1,102,1,0,10065,1,1080,1,,,6,2018,2,,,2.5,130,11,1,18,3500,1,7,2018,,,,,,2,,,,,,,
4,1,102,1,0,10065,1,2190,1,,,5,2018,2,,,5,160,1,,0.620000004768372,3000,1,10,2018,,,,,,2,,,,,,,
4,1,102,1,0,10065,2,1020,2,9,,,,,,,,,,,,,,,,8,130,11,,50,2,,,,,,,
4,1,102,1,0,10065,2,1080,1,,,6,2018,2,,,6,130,11,1,18,12000,1,8,2018,,,,,,2,,,,,,,
4,1,107,2,1044,10066,1,1020,2,9,,,,,,,,,,,,,,,,8,130,11,,50,2,,,,,,,
4,1,107,2,1044,10066,1,1080,1,,,7,2018,2,,,8,130,10,1,9,8000,1,7,2018,,,,,,2,,,,,,,
4,1,107,2,1044,10066,1,2190,1,,,5,2018,2,,,8,80,2,,6.1100001335144,4000,1,8,2018,,,,,,2,,,,,,,
4,1,107,2,1044,10066,1,3030,1,,,9,2018,2,,,1,130,10,,25,3000,1,9,2018,,,,,,2,,,,,,,
4,1,107,2,1044,10066,2,1020,2,9,,,,,,,,,,,,,,,,5,130,11,,50,2,,,,,,,
4,1,107,2,1044,10066,2,1080,1,,,5,2018,2,,,5,130,10,1,9,5000,1,6,2018,,,,,,2,,,,,,,
4,1,107,2,1044,10067,1,1020,2,9,,,,,,,,,,,,,,,,6,170,,,104.400001525879,1,2,,,,,,
4,1,107,2,1044,10067,1,1080,1,,,6,2018,2,,,10,130,11,1,18,15000,1,8,2018,,,,,,1,2,,,,,,
4,1,107,2,1044,10067,1,1121,1,,,9,2018,2,,,56,211,1,,2.95499992370605,16800,1,12,2018,,,,,,1,2,,,,,,
4,1,107,2,1044,10067,2,1080,1,,,6,2018,2,,,12,130,11,1,18,18000,1,8,2018,,,,,,1,2,,,,,,
