"zone","state","lga","sector","ea","hhid","plotid","cropcode","sa3iiiq7","sa3iiiq8a","sa3iiiq8b","sa3iiiq9","sa3iiiq10","sa3iiiq10_os","sa3iiiq11","sa3iiiq12a","sa3iiiq12b","sa3iiiq13a","sa3iiiq13c","sa3iiiq13c_os","sa3iiiq13d","sa3iiiq13b","sa3iiiq13_conv","sa3iiiq14"
4,1,109,2,1214,19092,1,2170,1,8,2018,2,,,2,,,7,110,,2,,7.96500015258789,7000
4,1,109,2,1214,19096,4,2030,1,8,2018,2,,,2,,,3,110,,1,,7.1399998664856,2700
4,1,109,2,1214,19096,4,2170,1,7,2018,2,,,2,,,6,110,,2,,7.96500015258789,7800
2,2,203,2,1224,20046,2,2030,1,8,2018,2,,,2,,,10,110,,2,,21.6200008392334,5000
2,2,210,2,1300,20061,1,3090,2,,,,,,,,,,,,,,,
2,2,210,2,924,29062,1,3160,2,,,,,,,,,,,,,,,
2,2,213,2,1406,29160,2,3090,2,,,,,,,,,,,,,,,
2,2,213,2,1406,29167,3,2030,2,,,,,,,,,,,,,,,
2,2,213,2,1406,29167,3,3090,2,,,,,,,,,,,,,,,
2,2,213,2,1406,29167,3,3160,2,,,,,,,,,,,,,,,
5,3,316,2,874,30024,1,2030,1,11,2018,2,,,2,,,5,110,,1,,7.1399998664856,5000
5,3,316,2,874,30024,1,2170,1,11,2018,2,,,2,,,15,110,,1,,5.1399998664856,22500
5,3,318,2,1136,30084,3,2170,1,12,2018,1,2,,2,,,10,110,,2,,7.96500015258789,10000
5,3,301,1,1198,30105,1,2170,1,3,2018,2,,,2,,,10,110,,1,,5.1399998664856,13000
5,3,301,1,1198,30105,1,3180,1,1,2018,2,,,1,12,2018,60,100,,1,,25,18000
5,3,301,1,1198,30106,2,2170,1,12,2018,2,,,2,,,1,100,,2,,2.09999990463257,1500
5,3,305,2,1542,30122,1,2170,1,5,2018,2,,,2,,,45,100,,2,,2.09999990463257,67500
5,3,305,2,1542,30123,1,3180,1,12,2018,1,7,,1,12,2018,10,100,,1,,25,3000
5,3,312,2,20,30135,1,2170,2,,,,,,,,,,,,,,,
