"zone","state","lga","sector","ea","hhid","item_cd","sa4q1a","sa4q1","sa4q2a","sa4q2_1","sa4q2_2","sa4q2_3","sa4q2_4","sa4q2_5","sa4q2_6","sa4q6","sa4q7"
4,1,105,2,0,10009,301,1,1,1,,,,,,,2,
4,1,105,2,0,10009,302,1,1,1,,,,,,,2,
4,1,105,2,0,10009,303,2,,,,,,,,,,
4,1,105,2,0,10009,304,1,1,1,,,,,,,2,
4,1,105,2,0,10009,305,2,,,,,,,,,,
4,1,105,2,0,10009,306,2,,,,,,,,,,
4,1,105,2,0,10009,307,2,,,,,,,,,,
4,1,105,2,0,10009,308,2,,,,,,,,,,
4,1,105,2,0,10009,309,2,,,,,,,,,,
4,1,105,2,0,10009,312,1,1,1,,,,,,,2,
4,1,105,2,0,10009,313,2,,,,,,,,,,
4,1,105,2,0,10009,314,2,,,,,,,,,,
4,1,105,2,0,10009,315,2,,,,,,,,,,
4,1,105,2,0,10009,316,2,,,,,,,,,,
4,1,105,2,0,10009,318,2,,,,,,,,,,
4,1,105,2,0,10009,319,1,2,1,,,,,,,2,
4,1,105,2,0,10009,321,2,,,,,,,,,,
4,1,111,1,1146,10031,301,2,,,,,,,,,,
4,1,111,1,1146,10031,302,2,,,,,,,,,,
4,1,111,1,1146,10031,303,2,,,,,,,,,,
4,1,111,1,1146,10031,304,2,,,,,,,,,,
4,1,111,1,1146,10031,305,2,,,,,,,,,,
4,1,111,1,1146,10031,306,2,,,,,,,,,,
4,1,111,1,1146,10031,307,2,,,,,,,,,,
4,1,111,1,1146,10031,308,2,,,,,,,,,,
4,1,111,1,1146,10031,309,2,,,,,,,,,,
4,1,111,1,1146,10031,312,2,,,,,,,,,,
4,1,111,1,1146,10031,313,2,,,,,,,,,,
4,1,111,1,1146,10031,314,2,,,,,,,,,,
4,1,111,1,1146,10031,315,2,,,,,,,,,,
4,1,111,1,1146,10031,316,2,,,,,,,,,,
4,1,111,1,1146,10031,318,2,,,,,,,,,,
4,1,111,1,1146,10031,319,2,,,,,,,,,,
4,1,111,1,1146,10031,321,2,,,,,,,,,,
4,1,107,2,1044,10061,301,2,,,,,,,,,,
4,1,107,2,1044,10061,302,2,,,,,,,,,,
4,1,107,2,1044,10061,303,2,,,,,,,,,,
4,1,107,2,1044,10061,304,2,,,,,,,,,,
4,1,107,2,1044,10061,305,2,,,,,,,,,,
4,1,107,2,1044,10061,306,2,,,,,,,,,,
4,1,107,2,1044,10061,307,2,,,,,,,,,,
4,1,107,2,1044,10061,308,2,,,,,,,,,,
4,1,107,2,1044,10061,309,2,,,,,,,,,,
4,1,107,2,1044,10061,312,1,1,2,1,,,,,,2,
4,1,107,2,1044,10061,313,2,,,,,,,,,,
4,1,107,2,1044,10061,314,2,,,,,,,,,,
4,1,107,2,1044,10061,315,2,,,,,,,,,,
4,1,107,2,1044,10061,316,2,,,,,,,,,,
4,1,107,2,1044,10061,318,2,,,,,,,,,,
4,1,107,2,1044,10061,319,1,3,1,,,,,,,2,
4,1,107,2,1044,10061,321,2,,,,,,,,,,
4,1,107,2,1044,10062,301,2,,,,,,,,,,
4,1,107,2,1044,10062,302,2,,,,,,,,,,
4,1,107,2,1044,10062,303,2,,,,,,,,,,
4,1,107,2,1044,10062,304,2,,,,,,,,,,
4,1,107,2,1044,10062,305,2,,,,,,,,,,
4,1,107,2,1044,10062,306,2,,,,,,,,,,
4,1,107,2,1044,10062,307,2,,,,,,,,,,
4,1,107,2,1044,10062,308,2,,,,,,,,,,
4,1,107,2,1044,10062,309,2,,,,,,,,,,
4,1,107,2,1044,10062,312,2,,,,,,,,,,
4,1,107,2,1044,10062,313,2,,,,,,,,,,
4,1,107,2,1044,10062,314,2,,,,,,,,,,
4,1,107,2,1044,10062,315,2,,,,,,,,,,
4,1,107,2,1044,10062,316,2,,,,,,,,,,
4,1,107,2,1044,10062,318,2,,,,,,,,,,
4,1,107,2,1044,10062,319,1,2,1,,,,,,,2,
4,1,107,2,1044,10062,321,2,,,,,,,,,,
4,1,107,2,1044,10063,301,2,,,,,,,,,,
4,1,107,2,1044,10063,302,2,,,,,,,,,,
4,1,107,2,1044,10063,303,2,,,,,,,,,,
4,1,107,2,1044,10063,304,2,,,,,,,,,,
4,1,107,2,1044,10063,305,2,,,,,,,,,,
4,1,107,2,1044,10063,306,2,,,,,,,,,,
4,1,107,2,1044,10063,307,2,,,,,,,,,,
4,1,107,2,1044,10063,308,2,,,,,,,,,,
4,1,107,2,1044,10063,309,2,,,,,,,,,,
4,1,107,2,1044,10063,312,2,,,,,,,,,,
4,1,107,2,1044,10063,313,2,,,,,,,,,,
4,1,107,2,1044,10063,314,2,,,,,,,,,,
4,1,107,2,1044,10063,315,2,,,,,,,,,,
4,1,107,2,1044,10063,316,2,,,,,,,,,,
4,1,107,2,1044,10063,318,2,,,,,,,,,,
4,1,107,2,1044,10063,319,1,3,1,,,,,,,2,
4,1,107,2,1044,10063,321,2,,,,,,,,,,
4,1,107,2,1044,10064,301,2,,,,,,,,,,
4,1,107,2,1044,10064,302,2,,,,,,,,,,
4,1,107,2,1044,10064,303,2,,,,,,,,,,
4,1,107,2,1044,10064,304,2,,,,,,,,,,
4,1,107,2,1044,10064,305,2,,,,,,,,,,
4,1,107,2,1044,10064,306,2,,,,,,,,,,
4,1,107,2,1044,10064,307,2,,,,,,,,,,
4,1,107,2,1044,10064,308,2,,,,,,,,,,
4,1,107,2,1044,10064,309,2,,,,,,,,,,
4,1,107,2,1044,10064,312,2,,,,,,,,,,
4,1,107,2,1044,10064,313,2,,,,,,,,,,
4,1,107,2,1044,10064,314,2,,,,,,,,,,
4,1,107,2,1044,10064,315,2,,,,,,,,,,
4,1,107,2,1044,10064,316,2,,,,,,,,,,
4,1,107,2,1044,10064,318,2,,,,,,,,,,
4,1,107,2,1044,10064,319,1,4,1,,,,,,,2,
4,1,107,2,1044,10064,321,2,,,,,,,,,,
4,1,102,1,0,10065,301,2,,,,,,,,,,
4,1,102,1,0,10065,302,2,,,,,,,,,,
4,1,102,1,0,10065,303,2,,,,,,,,,,
4,1,102,1,0,10065,304,2,,,,,,,,,,
4,1,102,1,0,10065,305,2,,,,,,,,,,
4,1,102,1,0,10065,306,2,,,,,,,,,,
4,1,102,1,0,10065,307,2,,,,,,,,,,
4,1,102,1,0,10065,308,2,,,,,,,,,,
4,1,102,1,0,10065,309,2,,,,,,,,,,
4,1,102,1,0,10065,312,2,,,,,,,,,,
4,1,102,1,0,10065,313,2,,,,,,,,,,
4,1,102,1,0,10065,314,2,,,,,,,,,,
4,1,102,1,0,10065,315,2,,,,,,,,,,
4,1,102,1,0,10065,316,2,,,,,,,,,,
4,1,102,1,0,10065,318,2,,,,,,,,,,
4,1,102,1,0,10065,319,1,3,1,,,,,,,2,
4,1,102,1,0,10065,321,2,,,,,,,,,,
4,1,107,2,1044,10066,301,2,,,,,,,,,,
4,1,107,2,1044,10066,302,2,,,,,,,,,,
4,1,107,2,1044,10066,303,2,,,,,,,,,,
4,1,107,2,1044,10066,304,2,,,,,,,,,,
4,1,107,2,1044,10066,305,2,,,,,,,,,,
4,1,107,2,1044,10066,306,2,,,,,,,,,,
4,1,107,2,1044,10066,307,2,,,,,,,,,,
4,1,107,2,1044,10066,308,2,,,,,,,,,,
4,1,107,2,1044,10066,309,2,,,,,,,,,,
4,1,107,2,1044,10066,312,2,,,,,,,,,,
4,1,107,2,1044,10066,313,2,,,,,,,,,,
4,1,107,2,1044,10066,314,2,,,,,,,,,,
4,1,107,2,1044,10066,315,2,,,,,,,,,,
4,1,107,2,1044,10066,316,2,,,,,,,,,,
4,1,107,2,1044,10066,318,2,,,,,,,,,,
4,1,107,2,1044,10066,319,1,2,1,,,,,,,2,
4,1,107,2,1044,10066,321,2,,,,,,,,,,
4,1,107,2,1044,10067,301,2,,,,,,,,,,
4,1,107,2,1044,10067,302,2,,,,,,,,,,
4,1,107,2,1044,10067,303,2,,,,,,,,,,
4,1,107,2,1044,10067,304,2,,,,,,,,,,
4,1,107,2,1044,10067,305,2,,,,,,,,,,
4,1,107,2,1044,10067,306,2,,,,,,,,,,
4,1,107,2,1044,10067,307,2,,,,,,,,,,
4,1,107,2,1044,10067,308,2,,,,,,,,,,
4,1,107,2,1044,10067,309,2,,,,,,,,,,
4,1,107,2,1044,10067,312,2,,,,,,,,,,
4,1,107,2,1044,10067,313,2,,,,,,,,,,
4,1,107,2,1044,10067,314,2,,,,,,,,,,
4,1,107,2,1044,10067,315,2,,,,,,,,,,
4,1,107,2,1044,10067,316,2,,,,,,,,,,
4,1,107,2,1044,10067,318,2,,,,,,,,,,
4,1,107,2,1044,10067,319,1,3,1,,,,,,,2,
4,1,107,2,1044,10067,321,2,,,,,,,,,,
4,1,107,2,1044,10068,301,2,,,,,,,,,,
4,1,107,2,1044,10068,302,2,,,,,,,,,,
4,1,107,2,1044,10068,303,2,,,,,,,,,,
4,1,107,2,1044,10068,304,2,,,,,,,,,,
