"zone","state","lga","sector","ea","hhid","fishid","sa9aq1","sa9aq2","sa9aq3a","sa9aq3b","sa9aq4","sa9aq5","sa9aq6a","sa9aq6b","sa9aq7","sa9aq8a","sa9aq8b"
4,1,107,2,10,19066,1,1,12,48,81,2,,,,,48,81
4,1,107,2,10,19066,2,2,,,,,,,,,,
4,1,113,2,6,19169,1,1,52,1,150,2,,,,,15,80
4,1,113,2,6,19169,2,2,,,,,,,,,,
4,1,113,2,6,19174,1,2,,,,,,,,,,
4,1,113,2,6,19174,2,1,,50,81,1,,30,81,,20,81
4,1,113,2,6,19177,1,1,48,1,140,1,40,1,140,8000,3,80
4,1,113,2,6,19177,2,1,,7,140,1,,6,140,,1,140
4,1,113,2,284,19201,1,2,,,,,,,,,,
4,1,113,2,284,19201,2,1,,525,81,2,,,,,0,
2,2,207,2,1302,20092,1,1,3,19,150,2,,,,,12,81
2,2,207,2,1302,20092,2,2,,,,,,,,,,
2,2,211,2,668,29100,1,1,1,2,80,2,,,,,1,80
2,2,211,2,668,29100,2,2,,,,,,,,,,
2,2,211,2,668,29101,1,2,,,,,,,,,,
2,2,211,2,668,29101,2,1,,2,140,2,,,,,0,
5,3,302,2,302,39009,1,1,50,5000,81,1,50,4500,81,800,30,80
5,3,302,2,302,39009,2,2,,,,,,,,,,
5,3,302,2,302,39010,1,1,50,4000,80,1,50,3500,81,1000,50,80
5,3,302,2,302,39010,2,2,,,,,,,,,,
5,3,308,2,102,39031,1,1,42,31,142,1,42,1,141,12000,1,140
5,3,308,2,102,39031,2,2,,,,,,,,,,
5,3,317,2,586,39059,1,1,52,4,4,1,52,4,4,40000,1000,80
5,3,317,2,586,39059,2,2,,,,,,,,,,
5,3,323,2,488,39125,1,1,44,72,141,1,44,72,141,45000,1,150
5,3,323,2,488,39125,2,2,,,,,,,,,,
5,3,327,2,196,39150,1,1,48,2,151,1,42,2,151,5000,1,91
5,3,327,2,196,39150,2,2,,,,,,,,,,
5,3,327,2,196,39152,1,1,52,7,152,1,52,6,152,60000,10,81
5,3,327,2,196,39152,2,2,,,,,,,,,,
5,3,327,2,246,39158,1,1,36,1,2,1,36,1,2,25000,0,
5,3,327,2,246,39158,2,2,,,,,,,,,,
5,3,327,2,246,39161,1,1,36,3,151,1,36,3,151,8500,0,
