"hhid","zone","state","lga","sector","ea","cluster","strata","wt_wave4","wt_longpanel","old_new","hhidyn","hhsmlc","rspavl","constn","InterviewStart","ag1a","ag2a","ag4","ag5","interview_result","tracked_obs"
10001,4,1,115,1,670,"115-670",4,15279.640625,24952.974609375,1,1,1,1,1,1850374748000,2,1,2,2,1,0
10002,4,1,115,1,670,"115-670",4,15279.640625,29080.59765625,1,1,1,1,1,1850450410000,2,1,2,2,1,0
10003,4,1,115,1,670,"115-670",4,15279.640625,27114.708984375,1,1,1,1,1,1850383847000,2,1,2,2,1,0
10004,4,1,115,1,670,"115-670",4,15279.640625,27114.708984375,1,1,1,1,1,1850451052000,2,1,2,2,1,0
10005,4,1,115,1,670,"115-670",4,15279.640625,27114.708984375,1,1,1,1,1,1850443017000,2,2,2,2,1,0
10008,4,1,115,1,670,"115-670",4,15279.640625,27114.708984375,1,1,1,1,1,1850460943000,2,1,2,2,1,0
10009,4,1,105,2,0,"115-670",4,15279.640625,24952.974609375,1,1,1,1,1,1850540558000,1,2,2,2,1,0
10010,4,1,115,1,670,"115-670",4,15279.640625,21416.12109375,1,1,1,1,1,1850380619000,2,1,2,2,1,0
10031,4,1,111,1,1146,"111-1146",4,4958.84716796875,25618.62109375,1,1,1,1,1,1849248079000,1,2,2,2,1,0
10032,4,1,111,1,1146,"111-1146",4,4958.84716796875,37619.9765625,1,1,1,1,1,1849341894000,2,2,2,2,1,0
10033,4,1,111,1,1146,"111-1146",4,4958.84716796875,21982.384765625,1,1,1,1,1,1849255984000,2,1,2,2,1,0
10034,4,1,111,1,1146,"111-1146",4,4958.84716796875,37619.9765625,1,1,1,1,1,1849249140000,2,1,2,2,1,0
10035,4,1,111,1,1146,"111-1146",4,4958.84716796875,18866.583984375,1,1,1,1,1,1849261783000,2,2,2,2,1,0
10036,4,1,111,1,1146,"111-1146",4,4958.84716796875,23886.76953125,1,1,2,1,1,1849255793000,2,2,2,2,1,0
10037,4,1,111,1,1146,"111-1146",4,4958.84716796875,21982.384765625,1,1,1,1,1,1849249829000,2,1,2,2,1,0
10038,4,1,111,1,1146,"111-1146",4,4958.84716796875,23886.76953125,1,1,1,1,1,1849328001000,2,2,2,2,1,0
10039,4,4,409,2,0,"111-1146",4,1.79769313486232e+308,1.79769313486232e+308,1,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1856495813000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,1
10040,4,1,111,1,1146,"111-1146",4,4958.84716796875,21982.384765625,1,1,1,1,1,1849329522000,2,2,2,2,1,0
10051,4,1,102,1,1690,"102-1690",4,3545.4638671875,21970.404296875,1,1,1,1,1,1850100817000,2,2,2,2,1,0
10052,4,14,1412,2,0,"102-1690",4,1.79769313486232e+308,1.79769313486232e+308,1,1,2,1,1,1856767104000,1,2,2,2,2,1
10053,4,1,102,1,1690,"102-1690",4,3545.4638671875,15494.119140625,1,1,1,1,1,1850106075000,2,1,2,2,1,0
10054,4,1,102,1,1690,"102-1690",4,3545.4638671875,14258.84375,1,1,2,1,1,1850112678000,2,2,2,2,1,0
10055,4,1,102,1,0,"102-1690",4,3545.4638671875,21970.404296875,1,1,2,1,1,1855999540000,2,2,1,2,1,1
10056,4,1,102,1,1690,"102-1690",4,3545.4638671875,24402.1484375,1,1,2,1,1,1850106454000,2,2,2,2,1,0
10057,4,1,102,1,1690,"102-1690",4,3545.4638671875,12237.783203125,1,1,1,1,1,1850109439000,2,1,2,2,1,0
10058,4,1,102,1,1690,"102-1690",4,3545.4638671875,15494.119140625,1,1,1,1,1,1850101063000,2,2,2,2,1,0
10059,4,1,102,1,1690,"102-1690",4,3545.4638671875,17756.40625,1,1,1,1,1,1850122503000,2,2,2,2,1,0
10060,4,1,102,1,1690,"102-1690",4,3545.4638671875,14258.84375,1,1,1,1,1,1850109826000,2,2,2,2,1,0
10061,4,1,107,2,1044,"107-1044",4,3131.96923828125,17735.39453125,1,1,1,1,1,1847524033000,1,1,1,2,1,0
10062,4,1,107,2,1044,"107-1044",4,3131.96923828125,19224.1015625,1,1,1,1,1,1847608546000,1,1,2,2,1,0
10063,4,1,107,2,1044,"107-1044",4,3131.96923828125,16580.21875,1,1,1,1,1,1847521223000,1,1,1,2,1,0
10064,4,1,107,2,1044,"107-1044",4,3131.96923828125,13557.3544921875,1,1,1,1,1,1847599454000,1,1,1,1,1,0
10065,4,1,102,1,0,"107-1044",4,3131.96923828125,13557.3544921875,1,1,2,1,1,1850477297000,1,2,2,2,1,0
10066,4,1,107,2,1044,"107-1044",4,3131.96923828125,13557.3544921875,1,1,1,1,1,1847591715000,1,1,1,1,1,0
10067,4,1,107,2,1044,"107-1044",4,3131.96923828125,14540.298828125,1,1,1,1,1,1847600555000,1,1,1,2,1,0
10068,4,1,107,2,1044,"107-1044",4,3131.96923828125,14540.298828125,1,1,1,1,1,1847603868000,1,2,1,2,1,0
10069,4,1,107,2,1044,"107-1044",4,3131.96923828125,16580.21875,1,1,1,1,1,1847522479000,1,1,2,1,1,0
10070,4,1,107,2,0,"107-1044",4,3131.96923828125,10708.060546875,1,1,2,1,1,1850528225000,1,2,1,2,1,0
10071,4,1,117,2,560,"117-560",4,2226.93994140625,19236.10546875,1,1,1,1,1,1848897366000,1,1,1,2,1,0
10072,4,1,117,2,560,"117-560",4,2226.93994140625,23801.267578125,1,1,1,1,1,1848908904000,1,1,2,2,1,0
10073,4,1,117,2,560,"117-560",4,2226.93994140625,23801.267578125,1,1,1,1,1,1848813727000,1,1,2,2,1,0
10074,4,1,117,2,560,"117-560",4,2226.93994140625,23801.267578125,1,1,1,1,1,1848826457000,1,1,1,1,1,0
10075,4,1,117,2,560,"117-560",4,2226.93994140625,23801.267578125,1,1,1,1,1,1848813546000,1,1,2,2,1,0
10076,4,1,117,2,560,"117-560",4,2226.93994140625,19236.10546875,1,1,1,1,1,1848825225000,1,1,2,2,1,0
10077,4,1,117,2,560,"117-560",4,2226.93994140625,21958.107421875,1,1,1,1,1,1848895482000,1,2,2,2,1,0
10078,4,1,117,2,560,"117-560",4,2226.93994140625,18002.2734375,1,1,1,1,1,1848907819000,1,1,2,2,1,0
10079,4,1,117,2,560,"117-560",4,2226.93994140625,21958.107421875,1,1,1,1,1,1848899222000,1,1,2,2,1,0
10080,4,1,117,2,560,"117-560",4,2226.93994140625,19236.10546875,1,1,1,1,1,1848815830000,1,1,1,2,1,0
10091,4,1,105,2,638,"105-638",4,1866.33715820312,15790.6865234375,1,1,1,1,1,1848370584000,1,1,1,1,1,0
10092,4,1,105,2,638,"105-638",4,1866.33715820312,10198.1533203125,1,1,1,1,1,1848368343000,1,1,2,2,1,0
10093,5,3,322,2,0,"105-638",4,1866.33715820312,11882.37109375,1,1,1,1,1,1850027643000,1,2,1,2,1,0
10094,4,1,105,2,638,"105-638",4,1866.33715820312,12911.767578125,1,1,1,1,1,1848303331000,1,2,2,2,1,0
10096,4,1,105,2,638,"105-638",4,1866.33715820312,15790.6865234375,1,1,1,1,1,1848388974000,1,1,2,2,1,0
10097,4,1,105,2,638,"105-638",4,1866.33715820312,16890.853515625,1,1,1,1,1,1848368515000,1,1,2,2,1,0
10098,4,1,105,2,638,"105-638",4,1866.33715820312,15790.6865234375,1,1,1,1,1,1848310702000,2,1,2,2,1,0
10099,4,1,105,2,638,"105-638",4,1866.33715820312,20335.125,1,1,1,1,1,1848305544000,1,2,2,2,1,0
10100,4,1,105,2,638,"105-638",4,1866.33715820312,11882.37109375,1,1,1,1,1,1848303534000,1,1,1,2,1,0
10102,4,1,108,2,904,"108-904",4,5453.29833984375,33552.953125,1,1,1,1,1,1849421363000,1,1,1,2,1,0
10103,4,1,108,2,904,"108-904",4,5453.29833984375,26054.6328125,1,1,1,1,1,1849496472000,1,1,2,2,1,0
10104,4,1,108,2,904,"108-904",4,5453.29833984375,42921.1875,1,1,1,1,1,1849511880000,1,1,2,2,1,0
10105,4,1,108,2,904,"108-904",4,5453.29833984375,26054.6328125,1,1,1,1,1,1849496568000,1,1,2,2,1,0
10106,4,1,108,2,904,"108-904",4,5453.29833984375,30209.3046875,1,1,1,1,1,1849432763000,1,1,2,2,1,0
10107,4,1,108,2,904,"108-904",4,5453.29833984375,33552.953125,1,1,1,1,1,1849499033000,1,1,2,2,1,0
10108,4,1,108,2,904,"108-904",4,5453.29833984375,42921.1875,1,1,1,1,1,1849420414000,1,1,2,2,1,0
10109,4,1,108,2,904,"108-904",4,5453.29833984375,30209.3046875,1,1,1,1,1,1849510388000,1,1,2,2,1,0
10110,4,1,108,2,904,"108-904",4,5453.29833984375,33552.953125,1,1,1,1,1,1849427005000,1,1,2,2,1,0
19001,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850384899000,2,2,2,2,1,0
19002,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850370575000,2,2,2,2,1,0
19005,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850363231000,2,2,2,2,1,0
19006,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850373472000,2,2,2,2,1,0
19007,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850376190000,2,2,2,2,1,0
19008,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850361929000,1,2,1,2,1,0
19009,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850365323000,2,2,2,2,1,0
19010,4,1,102,1,46,"102-46",4,3688.921875,1.79769313486232e+308,2,1,1.79769313486232e+308,1,1,1850361572000,2,2,2,2,1,0
19011,4,1,102,1,46,"102-46",4,1.79769313486232e+308,1.79769313486232e+308,2,2,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1850441618000,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,4,0
