"zone","state","lga","sector","ea","hhid","cropcode","indiv","phl_q01b","phl_q01c","phl_q01d__1","phl_q01d__2","phl_q01d__3","phl_q01d__4"
4,1,107,2,1044,10061,1020,1,5,2,1,0,0,1
4,1,107,2,1044,10061,1020,3,5,3,1,0,1,0
4,1,107,2,1044,10061,1020,2,8,3,1,0,0,1
4,1,117,2,560,10073,1080,1,2,2,0,0,0,1
4,1,117,2,560,10075,1040,3,3,2,1,0,0,0
4,1,117,2,560,10075,1080,3,5,2,1,0,0,0
4,1,117,2,560,10075,1121,3,4,5,1,0,0,0
4,1,117,2,560,10076,1080,2,3,4,1,0,0,0
4,1,117,2,560,10076,1080,1,3,4,1,0,0,0
4,1,117,2,560,10077,1080,2,3,2,1,0,0,0
4,1,117,2,560,10079,1080,1,2,4,0,1,0,0
4,1,117,2,560,10079,1121,1,2,4,0,1,0,0
4,1,117,2,560,10080,1080,1,2,4,0,1,0,0
4,1,105,2,638,10091,1090,2,2,5,0,0,1,0
4,1,105,2,638,10091,1090,5,5,4,0,0,1,0
5,3,322,2,0,10093,1020,2,22,5,1,0,1,0
5,3,322,2,0,10093,1020,3,44,6,1,1,1,1
5,3,322,2,0,10093,1020,5,44,6,1,1,1,1
5,3,322,2,0,10093,1080,2,4,1,1,0,0,0
5,3,322,2,0,10093,1080,5,6,1,1,1,0,1
5,3,322,2,0,10093,1090,5,8,3,1,1,1,0
5,3,322,2,0,10093,1090,2,5,3,1,0,0,0
4,1,105,2,638,10096,1080,5,2,3,1,0,0,0
4,1,105,2,638,10097,1080,7,1,1,1,1,0,0
4,1,105,2,638,10097,1080,6,1,1,1,1,0,0
4,1,105,2,638,10097,1090,6,1,1,1,1,0,0
4,1,105,2,638,10097,1090,8,1,1,1,1,0,0
4,1,105,2,638,10097,1090,7,1,1,1,1,0,0
4,1,105,2,638,10099,1080,1,1,2,0,1,0,0
4,1,105,2,638,10100,1090,2,2,4,0,1,0,0
4,1,108,2,904,10102,1080,1,6,2,1,0,0,0
4,1,108,2,904,10102,1124,1,3,6,1,0,0,0
4,1,108,2,904,10103,1080,2,1,2,1,0,0,0
4,1,108,2,904,10103,1121,1,1,2,0,0,1,0
4,1,108,2,904,10105,1080,4,3,5,1,0,0,0
4,1,108,2,904,10105,1080,1,4,5,1,0,0,0
4,1,108,2,904,10105,1121,2,3,5,1,0,0,0
4,1,108,2,904,10105,1121,1,3,4,1,0,1,0
4,1,108,2,904,10106,1080,1,1,2,1,0,0,0
4,1,108,2,904,10106,1090,1,2,1,1,0,0,0
4,1,108,2,904,10107,1080,1,5,2,0,1,0,0
4,1,108,2,904,10109,1080,4,1,1,0,1,0,0
4,1,108,2,904,10109,1080,1,1,2,0,1,0,0
4,1,102,1,46,19008,1080,1,3,2,0,1,0,0
4,1,104,2,412,19038,1090,1,3,4,1,1,0,0
4,1,104,2,412,19039,1080,2,8,5,1,1,0,0
4,1,104,2,412,19039,2120,2,2,3,0,1,0,0
4,1,104,2,412,19044,1080,1,1,1,1,0,0,0
4,1,104,2,412,19044,1090,1,2,1,1,0,0,0
4,1,104,2,412,19045,1080,1,15,3,1,1,0,0
4,1,104,2,412,19045,1080,2,6,2,1,0,0,0
4,1,104,2,412,19045,1090,2,12,3,1,0,0,0
4,1,104,2,412,19047,1080,2,3,2,1,1,0,0
4,1,104,2,412,19047,1080,4,12,1,1,1,0,0
4,1,104,2,412,19047,1080,3,10,2,1,1,0,0
4,1,104,2,412,19048,1080,1,3,3,1,1,0,0
4,1,104,2,412,19048,2060,1,4,2,1,1,0,0
4,1,104,2,1020,19051,1121,1,2,2,0,0,1,0
4,1,104,2,1020,19052,1121,1,5,3,0,0,1,0
4,1,104,2,1020,19054,1080,1,6,5,1,0,0,0
4,1,104,2,1020,19054,1080,2,5,5,1,0,0,0
4,1,104,2,1020,19056,1010,1,5,5,1,0,0,0
4,1,104,2,1020,19056,1080,1,6,5,1,0,0,0
4,1,104,2,1020,19056,2190,1,6,5,1,0,0,0
4,1,104,2,1020,19058,1040,2,3,5,1,0,0,0
4,1,104,2,1020,19058,1080,4,3,5,1,0,0,0
4,1,104,2,1020,19058,1080,2,4,5,1,0,0,0
4,1,104,2,1020,19058,1080,1,3,5,1,0,0,0
4,1,104,2,1020,19060,1010,1,3,1,1,0,0,0
4,1,104,2,1020,19060,1080,1,2,1,1,0,0,0
4,1,107,2,10,19061,2080,1,3,2,0,1,0,0
4,1,107,2,10,19069,1020,2,3,2,1,1,0,0
4,1,107,2,10,19069,1020,1,4,3,1,1,0,0
4,1,107,2,10,19069,1080,2,3,3,1,1,0,0
4,1,107,2,10,19069,1080,1,3,3,1,1,0,0
4,1,107,2,10,19069,2190,2,2,3,1,1,0,0
4,1,107,2,10,19071,2190,2,3,3,1,1,0,0
4,1,107,2,1322,19073,1080,1,2,2,1,1,0,1
4,1,107,2,1322,19073,1080,2,2,3,1,1,0,1
4,1,107,2,1322,19073,3030,2,2,4,1,0,0,1
4,1,107,2,1322,19081,1080,3,2,6,0,0,1,0
4,1,107,2,1322,19082,1080,1,2,3,1,1,0,0
4,1,109,2,1214,19085,1090,2,2,3,0,1,1,0
4,1,109,2,1792,19105,1080,2,5,2,0,1,1,0
4,1,109,2,1996,19113,1090,1,2,3,1,0,0,0
4,1,109,2,1996,19117,1080,2,7,2,0,1,1,0
4,1,109,2,1996,19117,1080,1,10,3,0,1,1,0
4,1,109,2,1996,19117,1090,2,5,2,0,1,0,0
4,1,109,2,1996,19118,1080,1,3,2,0,1,0,0
4,1,109,2,1996,19119,1090,2,3,3,1,1,1,0
4,1,110,2,338,19122,1090,2,2,4,0,0,1,0
4,1,110,2,338,19123,1080,2,2,1,0,1,0,0
4,1,110,2,338,19125,1010,1,2,3,1,0,0,0
4,1,110,2,338,19125,1080,1,3,5,1,0,0,0
4,1,110,2,338,19125,2060,1,4,5,1,0,0,0
4,1,110,2,338,19126,1080,1,3,2,1,0,0,0
4,1,110,2,338,19127,1080,1,5,4,1,0,0,0
