"zone","state","lga","sector","ea","hhid","cropcode","phl_q02_1","phl_q03_1","phl_q04_1","phl_q05_1","phl_q06_1","phl_q07__1_1","phl_q07__2_1","phl_q07__3_1","phl_q07__4_1","phl_q02_2","phl_q03_2","phl_q04_2","phl_q05_2","phl_q06_2","phl_q07__1_2","phl_q07__2_2","phl_q07__3_2","phl_q07__4_2","phl_q02_3","phl_q03_3","phl_q04_3","phl_q05_3","phl_q06_3","phl_q07__1_3","phl_q07__2_3","phl_q07__3_3","phl_q07__4_3","phl_q08__1","phl_q09_1","phl_q10_1","phl_q11_1","phl_q12__1_1","phl_q12__2_1","phl_q12__3_1","phl_q12__4_1","phl_q08__2","phl_q09_2","phl_q10_2","phl_q11_2","phl_q12__1_2","phl_q12__2_2","phl_q12__3_2","phl_q12__4_2","phl_q08__3","phl_q09_3","phl_q10_3","phl_q11_3","phl_q12__1_3","phl_q12__2_3","phl_q12__3_3","phl_q12__4_3"
4,1,105,2,0,10009,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,111,1,1146,10031,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,111,1,1146,10031,2190,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10061,1020,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,1,3,2,4,1,0,0,1
4,1,107,2,1044,10061,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10061,1121,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10061,1124,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10061,2060,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10061,2080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10061,2142,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10061,2194,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10062,1020,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10062,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10062,2080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10063,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10063,2120,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10064,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,102,1,0,10065,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,102,1,0,10065,2190,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10066,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10066,2190,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10066,3030,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10067,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10067,1121,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10067,3030,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10068,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10068,2190,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10069,1080,2,,,,,,,,,1,1,1,4,600,0,0,0,1,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10069,2120,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10069,2142,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,107,2,1044,10069,2190,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,117,2,560,10071,1080,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
4,1,117,2,560,10071,1123,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,
