"zone","state","lga","sector","ea","cluster_id","serial_id","c1q2","c1q3","c1q4a","c1q4b","c1q4_os","c1q5","c1q6"
5,10,1002,1,114,"1002-114",1,1,70,1,,,70,43
5,10,1002,1,114,"1002-114",2,1,72,8,,,72,16
5,10,1002,1,114,"1002-114",3,1,42,12,,,42,26
5,10,1002,1,114,"1002-114",4,2,48,5,,,12,43
5,10,1002,1,114,"1002-114",5,1,81,3,,,81,16
5,10,1006,2,1708,"1006-1708",1,1,68,1,,,15,33
5,10,1006,2,1708,"1006-1708",2,2,58,2,,,15,34
5,10,1006,2,1708,"1006-1708",3,1,48,3,,,48,26
5,10,1006,2,1708,"1006-1708",4,1,52,9,,,5,43
5,10,1006,2,1708,"1006-1708",5,1,38,12,,,38,411
5,10,1006,2,474,"1006-474",1,1,50,1,,,50,43
5,10,1006,2,474,"1006-474",2,2,40,12,,,40,16
5,10,1006,2,474,"1006-474",3,1,65,3,,,65,26
5,10,1006,2,474,"1006-474",4,1,48,5,,,48,34
5,10,1006,2,474,"1006-474",5,2,48,2,,,15,26
5,10,1007,1,1026,"1007-1026",1,1,70,1,,,70,43
5,10,1007,1,1026,"1007-1026",2,1,75,3,,,75,33
5,10,1007,1,1026,"1007-1026",3,1,61,8,,,61,411
5,10,1007,1,1026,"1007-1026",4,1,61,9,,,61,33
5,10,1007,1,1026,"1007-1026",5,1,37,12,,,15,26
5,10,1008,2,1314,"1008-1314",1,1,84,1,,,84,16
5,10,1008,2,1314,"1008-1314",2,2,71,2,,,71,0
5,10,1008,2,1314,"1008-1314",3,1,45,8,,,22,16
5,10,1008,2,1314,"1008-1314",4,1,52,5,,,5,43
5,10,1008,2,1314,"1008-1314",5,1,38,12,,,12,16
5,10,1012,2,1106,"1012-1106",1,1,68,1,,,68,26
5,10,1012,2,1106,"1012-1106",2,2,54,2,,,28,16
5,10,1012,2,1106,"1012-1106",3,1,72,9,,,34,16
5,10,1012,2,1106,"1012-1106",4,2,45,5,,,6,43
5,10,1012,2,1106,"1012-1106",5,1,38,12,,,38,43
5,10,1012,2,428,"1012-428",1,1,71,1,,,4,16
5,10,1012,2,428,"1012-428",2,1,60,8,,,9,43
5,10,1012,2,428,"1012-428",3,1,38,12,,,6,43
5,10,1012,2,428,"1012-428",4,1,38,5,,,38,43
5,10,1012,2,428,"1012-428",5,2,61,2,,,61,34
5,10,1013,2,1054,"1013-1054",1,1,61,1,,,20,34
