"zone","state","lga","sector","ea","cluster_id","is_cd","c2q1","c2q3","c2q4","c2q4_os","c2q5","c2q6a","c2q6b","c2q7","c2q8"
5,10,1002,1,114,"1002-114",201,1,0,,,,,,1,4
5,10,1002,1,114,"1002-114",202,1,0,,,,,,2,0
5,10,1002,1,114,"1002-114",203,2,,,,,,,,
5,10,1002,1,114,"1002-114",204,1,0,,,,,,2,0
5,10,1002,1,114,"1002-114",205,2,,,,,,,,
5,10,1002,1,114,"1002-114",206,2,,,,,,,,
5,10,1002,1,114,"1002-114",207,1,0,,,,,,1,4
5,10,1002,1,114,"1002-114",208,1,0,,,,,,1,4
5,10,1002,1,114,"1002-114",209,1,0,,,,,,1,4
5,10,1002,1,114,"1002-114",210,2,,,,,,,,
5,10,1002,1,114,"1002-114",211,2,,,,,,,,
5,10,1002,1,114,"1002-114",212,2,,,,,,,,
5,10,1002,1,114,"1002-114",213,1,0,,,,,,1,4
5,10,1002,1,114,"1002-114",215,1,0,,,,,,1,4
5,10,1002,1,114,"1002-114",216,2,,,,,,,,
5,10,1002,1,114,"1002-114",217,1,0,,,,,,,7
5,10,1002,1,114,"1002-114",219,1,0,,,,,,1,5
5,10,1002,1,114,"1002-114",220,2,,,,,,,,
5,10,1002,1,114,"1002-114",221,1,0,,,,,,,7
5,10,1002,1,114,"1002-114",222,1,0,,,,,,,3
5,10,1002,1,114,"1002-114",223,1,0,,,,,,,7
5,10,1002,1,114,"1002-114",224,2,,,,,,,,
5,10,1002,1,114,"1002-114",225,2,,,,,,,,
5,10,1006,2,1708,"1006-1708",201,1,0,,,,,,1,5
5,10,1006,2,1708,"1006-1708",202,1,0,,,,,,2,7
5,10,1006,2,1708,"1006-1708",203,2,,,,,,,,
5,10,1006,2,1708,"1006-1708",204,1,0,,,,,,2,7
5,10,1006,2,1708,"1006-1708",205,2,,,,,,,,
5,10,1006,2,1708,"1006-1708",206,1,0,,,,,,1,7
5,10,1006,2,1708,"1006-1708",207,1,0,,,,,,1,7
5,10,1006,2,1708,"1006-1708",208,1,0,,,,,,1,7
5,10,1006,2,1708,"1006-1708",209,2,,,,,,,,
5,10,1006,2,1708,"1006-1708",210,2,,,,,,,,
5,10,1006,2,1708,"1006-1708",211,2,,,,,,,,
5,10,1006,2,1708,"1006-1708",212,2,,,,,,,,
5,10,1006,2,1708,"1006-1708",213,1,0,,,,,,1,7
5,10,1006,2,1708,"1006-1708",215,1,0,,,,,,1,5
5,10,1006,2,1708,"1006-1708",216,2,,,,,,,,
5,10,1006,2,1708,"1006-1708",217,1,0,,,,,,,7
5,10,1006,2,1708,"1006-1708",219,1,2,4,,70,0,10,1,5
5,10,1006,2,1708,"1006-1708",220,2,,,,,,,,
5,10,1006,2,1708,"1006-1708",221,1,0,,,,,,,7
5,10,1006,2,1708,"1006-1708",222,1,0,,,,,,,3
5,10,1006,2,1708,"1006-1708",223,1,0,,,,,,,7
5,10,1006,2,1708,"1006-1708",224,1,0,,,,,,,7
5,10,1006,2,1708,"1006-1708",225,1,0,,,,,,,5
