"zone","state","lga","sector","ea","cluster_id","group_cd","c3q1","c3q1_os","c3q2","c3q3","c3q3_os","c3q4","c3q5","c3q6"
5,10,1002,1,114,"1002-114",301,2,,,,,,,
5,10,1002,1,114,"1002-114",302,2,,,,,,,
5,10,1002,1,114,"1002-114",303,2,,,,,,,
5,10,1002,1,114,"1002-114",304,2,,,,,,,
5,10,1002,1,114,"1002-114",305,1,,3,2,,96,96,999
5,10,1002,1,114,"1002-114",306,1,,1,1,,320,87,999
5,10,1002,1,114,"1002-114",307,1,,2,1,,100,9999,999
5,10,1002,1,114,"1002-114",308,1,,6,2,,31,28,999
5,10,1002,1,114,"1002-114",309,2,,,,,,,
5,10,1002,1,114,"1002-114",310,2,,,,,,,
5,10,1002,1,114,"1002-114",311,1,,1,3,,57,23,999
5,10,1002,1,114,"1002-114",312,2,,,,,,,
5,10,1002,1,114,"1002-114",313,1,,1,1,,25,0,8
5,10,1002,1,114,"1002-114",314,2,,,,,,,
5,10,1002,1,114,"1002-114",315,2,,,,,,,
5,10,1006,2,1708,"1006-1708",301,2,,,,,,,
5,10,1006,2,1708,"1006-1708",302,2,,,,,,,
5,10,1006,2,1708,"1006-1708",303,2,,,,,,,
5,10,1006,2,1708,"1006-1708",304,2,,,,,,,
5,10,1006,2,1708,"1006-1708",305,1,,5,2,,40,40,999
5,10,1006,2,1708,"1006-1708",306,1,,2,2,,120,0,40
5,10,1006,2,1708,"1006-1708",307,1,,2,1,,350,100,999
5,10,1006,2,1708,"1006-1708",308,1,,3,2,,60,25,999
5,10,1006,2,1708,"1006-1708",309,2,,,,,,,
5,10,1006,2,1708,"1006-1708",310,2,,,,,,,
5,10,1006,2,1708,"1006-1708",311,1,,6,3,,25,9999,999
5,10,1006,2,1708,"1006-1708",312,2,,,,,,,
5,10,1006,2,1708,"1006-1708",313,1,,1,1,,30,0,10
5,10,1006,2,1708,"1006-1708",314,2,,,,,,,
5,10,1006,2,1708,"1006-1708",315,2,,,,,,,
5,10,1006,2,474,"1006-474",301,1,,1,2,,50,0,10
5,10,1006,2,474,"1006-474",302,2,,,,,,,
5,10,1006,2,474,"1006-474",303,2,,,,,,,
5,10,1006,2,474,"1006-474",304,2,,,,,,,
5,10,1006,2,474,"1006-474",305,1,,10,2,,35,35,999
5,10,1006,2,474,"1006-474",306,1,,1,1,,152,0,999
5,10,1006,2,474,"1006-474",307,1,,2,1,,150,9999,999
5,10,1006,2,474,"1006-474",308,2,,,,,,,
5,10,1006,2,474,"1006-474",309,2,,,,,,,
5,10,1006,2,474,"1006-474",310,2,,,,,,,
5,10,1006,2,474,"1006-474",311,1,,4,3,,85,40,999
5,10,1006,2,474,"1006-474",312,2,,,,,,,
5,10,1006,2,474,"1006-474",313,1,,1,1,,20,0,0
5,10,1006,2,474,"1006-474",314,2,,,,,,,
5,10,1006,2,474,"1006-474",315,2,,,,,,,
5,10,1007,1,1026,"1007-1026",301,1,,1,5,,200,9999,60
5,10,1007,1,1026,"1007-1026",302,2,,,,,,,
5,10,1007,1,1026,"1007-1026",303,2,,,,,,,
5,10,1007,1,1026,"1007-1026",304,2,,,,,,,
5,10,1007,1,1026,"1007-1026",305,1,,25,2,,500,500,999
5,10,1007,1,1026,"1007-1026",306,1,,9,2,,350,9999,999
5,10,1007,1,1026,"1007-1026",307,1,,2,1,,250,29,999
5,10,1007,1,1026,"1007-1026",308,1,,3,2,,60,38,999
5,10,1007,1,1026,"1007-1026",309,2,,,,,,,
5,10,1007,1,1026,"1007-1026",310,2,,,,,,,
5,10,1007,1,1026,"1007-1026",311,1,,5,3,,75,9999,999
5,10,1007,1,1026,"1007-1026",312,2,,,,,,,
5,10,1007,1,1026,"1007-1026",313,2,,,,,,,
5,10,1007,1,1026,"1007-1026",314,2,,,,,,,
5,10,1007,1,1026,"1007-1026",315,2,,,,,,,
5,10,1008,2,1314,"1008-1314",301,1,,1,1,,30,0,0
5,10,1008,2,1314,"1008-1314",302,2,,,,,,,
5,10,1008,2,1314,"1008-1314",303,2,,,,,,,
5,10,1008,2,1314,"1008-1314",304,2,,,,,,,
5,10,1008,2,1314,"1008-1314",305,1,,10,2,,40,40,999
5,10,1008,2,1314,"1008-1314",306,1,,5,1,,68,12,999
5,10,1008,2,1314,"1008-1314",307,1,,2,1,,120,40,999
5,10,1008,2,1314,"1008-1314",308,1,,5,2,,25,5,999
5,10,1008,2,1314,"1008-1314",309,2,,,,,,,
5,10,1008,2,1314,"1008-1314",310,2,,,,,,,
5,10,1008,2,1314,"1008-1314",311,1,,5,3,,25,9999,999
5,10,1008,2,1314,"1008-1314",312,2,,,,,,,
5,10,1008,2,1314,"1008-1314",313,1,,1,1,,18,9999,999
5,10,1008,2,1314,"1008-1314",314,2,,,,,,,
5,10,1008,2,1314,"1008-1314",315,2,,,,,,,
5,10,1012,2,1106,"1012-1106",301,1,,6,2,,70,0,999
5,10,1012,2,1106,"1012-1106",302,1,,2,3,,150,45,999
5,10,1012,2,1106,"1012-1106",303,2,,,,,,,
5,10,1012,2,1106,"1012-1106",304,2,,,,,,,
5,10,1012,2,1106,"1012-1106",305,1,,48,2,,80,80,999
5,10,1012,2,1106,"1012-1106",306,1,,10,2,,250,60,999
5,10,1012,2,1106,"1012-1106",307,1,,5,1,,500,9999,999
5,10,1012,2,1106,"1012-1106",308,1,,5,5,,46,9999,999
5,10,1012,2,1106,"1012-1106",309,2,,,,,,,
5,10,1012,2,1106,"1012-1106",310,2,,,,,,,
5,10,1012,2,1106,"1012-1106",311,1,,40,3,,50,35,999
5,10,1012,2,1106,"1012-1106",312,2,,,,,,,
5,10,1012,2,1106,"1012-1106",313,1,,1,1,,38,0,20
5,10,1012,2,1106,"1012-1106",314,2,,,,,,,
5,10,1012,2,1106,"1012-1106",315,2,,,,,,,
5,10,1012,2,428,"1012-428",301,1,,1,1,,15,0,0
5,10,1012,2,428,"1012-428",302,1,,1,3,,38,9999,999
5,10,1012,2,428,"1012-428",303,2,,,,,,,
5,10,1012,2,428,"1012-428",304,2,,,,,,,
5,10,1012,2,428,"1012-428",305,1,,50,2,,40,40,20
5,10,1012,2,428,"1012-428",306,1,,13,1,,70,18,46
5,10,1012,2,428,"1012-428",307,1,,4,1,,250,65,184
5,10,1012,2,428,"1012-428",308,1,,3,2,,68,15,999
5,10,1012,2,428,"1012-428",309,2,,,,,,,
5,10,1012,2,428,"1012-428",310,2,,,,,,,
5,10,1012,2,428,"1012-428",311,1,,4,3,,52,9999,999
5,10,1012,2,428,"1012-428",312,2,,,,,,,
5,10,1012,2,428,"1012-428",313,1,,1,1,,1,0,999
5,10,1012,2,428,"1012-428",314,2,,,,,,,
5,10,1012,2,428,"1012-428",315,2,,,,,,,
5,10,1013,2,1054,"1013-1054",301,1,,1,2,,9,2,3
5,10,1013,2,1054,"1013-1054",302,2,,,,,,,
5,10,1013,2,1054,"1013-1054",303,2,,,,,,,
5,10,1013,2,1054,"1013-1054",304,2,,,,,,,
5,10,1013,2,1054,"1013-1054",305,1,,4,2,,22,22,2
5,10,1013,2,1054,"1013-1054",306,2,,,,,,,
5,10,1013,2,1054,"1013-1054",307,2,,,,,,,
5,10,1013,2,1054,"1013-1054",308,2,,,,,,,
5,10,1013,2,1054,"1013-1054",309,2,,,,,,,
5,10,1013,2,1054,"1013-1054",310,2,,,,,,,
5,10,1013,2,1054,"1013-1054",311,2,,,,,,,
5,10,1013,2,1054,"1013-1054",312,2,,,,,,,
5,10,1013,2,1054,"1013-1054",313,1,,1,1,,16,0,13
5,10,1013,2,1054,"1013-1054",314,2,,,,,,,
5,10,1013,2,1054,"1013-1054",315,2,,,,,,,
5,10,1013,2,410,"1013-410",301,1,,1,2,,12,3,2
5,10,1013,2,410,"1013-410",302,2,,,,,,,
5,10,1013,2,410,"1013-410",303,1,,4,1,,21,16,11
5,10,1013,2,410,"1013-410",304,2,,,,,,,
5,10,1013,2,410,"1013-410",305,1,,3,2,,25,25,12
5,10,1013,2,410,"1013-410",306,2,,,,,,,
5,10,1013,2,410,"1013-410",307,1,,2,2,,121,34,63
5,10,1013,2,410,"1013-410",308,2,,,,,,,
5,10,1013,2,410,"1013-410",309,2,,,,,,,
5,10,1013,2,410,"1013-410",310,2,,,,,,,
5,10,1013,2,410,"1013-410",311,2,,,,,,,
5,10,1013,2,410,"1013-410",312,2,,,,,,,
5,10,1013,2,410,"1013-410",313,2,,,,,,,
5,10,1013,2,410,"1013-410",314,2,,,,,,,
5,10,1013,2,410,"1013-410",315,2,,,,,,,
5,10,1013,2,88,"1013-88",301,2,,,,,,,
5,10,1013,2,88,"1013-88",302,2,,,,,,,
5,10,1013,2,88,"1013-88",303,2,,,,,,,
5,10,1013,2,88,"1013-88",304,2,,,,,,,
5,10,1013,2,88,"1013-88",305,1,,1,2,,100,100,999
5,10,1013,2,88,"1013-88",306,1,,1,1,,60,0,999
5,10,1013,2,88,"1013-88",307,1,,2,1,,100,9999,999
5,10,1013,2,88,"1013-88",308,2,,,,,,,
5,10,1013,2,88,"1013-88",309,2,,,,,,,
5,10,1013,2,88,"1013-88",310,2,,,,,,,
5,10,1013,2,88,"1013-88",311,1,,1,2,,40,11,999
5,10,1013,2,88,"1013-88",312,2,,,,,,,
5,10,1013,2,88,"1013-88",313,1,,1,1,,18,0,999
5,10,1013,2,88,"1013-88",314,2,,,,,,,
5,10,1013,2,88,"1013-88",315,2,,,,,,,
5,10,1013,2,948,"1013-948",301,2,,,,,,,
5,10,1013,2,948,"1013-948",302,2,,,,,,,
5,10,1013,2,948,"1013-948",303,2,,,,,,,
5,10,1013,2,948,"1013-948",304,2,,,,,,,
5,10,1013,2,948,"1013-948",305,1,,2,2,,30,30,18
5,10,1013,2,948,"1013-948",306,2,,,,,,,
5,10,1013,2,948,"1013-948",307,1,,3,1,,82,28,30
5,10,1013,2,948,"1013-948",308,2,,,,,,,
5,10,1013,2,948,"1013-948",309,2,,,,,,,
5,10,1013,2,948,"1013-948",310,2,,,,,,,
5,10,1013,2,948,"1013-948",311,2,,,,,,,
5,10,1013,2,948,"1013-948",312,2,,,,,,,
5,10,1013,2,948,"1013-948",313,2,,,,,,,
5,10,1013,2,948,"1013-948",314,2,,,,,,,
5,10,1013,2,948,"1013-948",315,2,,,,,,,
5,10,1018,1,634,"1018-634",301,1,,1,2,,21,7,2
5,10,1018,1,634,"1018-634",302,2,,,,,,,
5,10,1018,1,634,"1018-634",303,2,,,,,,,
