"zone","state","lga","sector","ea","cluster_id","activity_cd","c3q2c","c3q3","c3q4","c3q5","c3q6","c3q7","c3q8","c3q9","c3q10","c3q11a","c3q12a"
5,10,1002,1,114,"1002-114",1,,1,1,1,1000,1,1000,2,,2,
5,10,1002,1,114,"1002-114",2,,1,2,1,1000,1,1000,2,,2,
5,10,1002,1,114,"1002-114",3,,1,1,1,1500,2,,2,,2,
5,10,1002,1,114,"1002-114",4,,1,1,1,1000,2,,2,,2,
5,10,1002,1,114,"1002-114",5,1020,1,1,1,1000,1,1000,2,,2,
5,10,1002,1,114,"1002-114",6,1020,1,1,1,1000,1,1000,2,,2,
5,10,1002,1,114,"1002-114",7,1020,1,1,1,1500,1,2000,2,,2,
5,10,1002,1,114,"1002-114",8,1080,1,1,1,1000,1,1000,2,,2,
5,10,1002,1,114,"1002-114",9,1080,1,1,1,1000,1,1000,2,,2,
5,10,1002,1,114,"1002-114",10,1080,1,1,1,1000,1,1000,2,,2,
5,10,1006,2,1708,"1006-1708",1,,1,3,1,1500,1,1500,2,,1,15000
5,10,1006,2,1708,"1006-1708",3,,1,3,1,1500,2,,2,,1,15000
5,10,1006,2,1708,"1006-1708",4,,1,3,1,1500,1,1500,2,,1,15000
5,10,1006,2,1708,"1006-1708",5,1020,1,3,1,2000,1,2000,2,,1,15000
5,10,1006,2,1708,"1006-1708",6,1020,1,3,1,2000,1,2000,2,,1,15000
5,10,1006,2,1708,"1006-1708",7,1020,1,3,2,,1,2000,2,,2,
5,10,1006,2,1708,"1006-1708",8,1121,1,3,1,2000,1,2000,2,,1,20000
5,10,1006,2,1708,"1006-1708",9,1121,1,3,1,2000,1,2000,2,,1,20000
5,10,1006,2,1708,"1006-1708",10,1121,2,,,,,,,,,
5,10,1006,2,474,"1006-474",1,,1,3,1,1500,1,1500,2,,2,
5,10,1006,2,474,"1006-474",2,,1,3,1,1500,1,1500,2,,2,
5,10,1006,2,474,"1006-474",4,,1,3,1,1500,1,1500,2,,2,
5,10,1006,2,474,"1006-474",5,1020,1,3,1,1500,1,1500,2,,2,
5,10,1006,2,474,"1006-474",6,1020,1,3,1,1500,1,1500,2,,2,
5,10,1006,2,474,"1006-474",7,1020,1,3,2,,1,3000,2,,2,
5,10,1006,2,474,"1006-474",8,1121,1,3,1,1500,2,,2,,2,
