"zone","state","lga","sector","ea","cluster_id","resource_cd","c4q1","c4q1_os","c4q2","c4q3","c4q4a","c4q4b","c4q4c","c4q4_os","c4q5a","c4q5b","c4q5c","c4q5_os"
5,10,1002,1,114,"1002-114",401,1,,1,1,4,,,,1,,,
5,10,1002,1,114,"1002-114",402,1,,1,1,4,,,,2,,,
5,10,1002,1,114,"1002-114",403,2,,,,,,,,,,,
5,10,1002,1,114,"1002-114",405,2,,,,,,,,,,,
5,10,1002,1,114,"1002-114",406,2,,,,,,,,,,,
5,10,1002,1,114,"1002-114",407,1,,1,1,1,,,,8,,,
5,10,1002,1,114,"1002-114",408,2,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",401,1,,1,1,4,,,,1,,,
5,10,1006,2,1708,"1006-1708",402,1,,1,1,4,,,,1,,,
5,10,1006,2,1708,"1006-1708",403,2,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",405,2,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",406,2,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",407,1,,2,2,4,,,,8,,,
5,10,1006,2,1708,"1006-1708",408,2,,,,,,,,,,,
5,10,1006,2,474,"1006-474",401,1,,1,1,4,,,,3,,,
5,10,1006,2,474,"1006-474",402,1,,1,1,4,,,,1,3,,
5,10,1006,2,474,"1006-474",403,2,,,,,,,,,,,
5,10,1006,2,474,"1006-474",405,2,,,,,,,,,,,
5,10,1006,2,474,"1006-474",406,2,,,,,,,,,,,
5,10,1006,2,474,"1006-474",407,2,,,,,,,,,,,
5,10,1006,2,474,"1006-474",408,2,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",401,2,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",402,1,,1,1,2,1,,,1,,,
5,10,1007,1,1026,"1007-1026",403,2,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",405,2,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",406,2,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",407,1,,1,1,4,,,,7,,,
5,10,1007,1,1026,"1007-1026",408,2,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",401,1,,1,1,4,,,,3,1,,
5,10,1008,2,1314,"1008-1314",402,1,,1,2,4,,,,8,,,
