"zone","state","lga","sector","ea","cluster_id","tenure_cd","c4q1","c4q2","c4q3"
5,10,1002,1,114,"1002-114",1,1,3,2
5,10,1002,1,114,"1002-114",2,1,2,1
5,10,1002,1,114,"1002-114",3,1,2,1
5,10,1002,1,114,"1002-114",4,0,,
5,10,1002,1,114,"1002-114",5,0,,
5,10,1002,1,114,"1002-114",6,1,1,2
5,10,1002,1,114,"1002-114",7,1,1,2
5,10,1006,2,1708,"1006-1708",1,0,,
5,10,1006,2,1708,"1006-1708",2,1,1,1
5,10,1006,2,1708,"1006-1708",3,1,1,1
5,10,1006,2,1708,"1006-1708",4,0,,
5,10,1006,2,1708,"1006-1708",5,1,3,1
5,10,1006,2,1708,"1006-1708",6,1,1,1
5,10,1006,2,1708,"1006-1708",7,1,1,1
5,10,1006,2,474,"1006-474",1,1,3,1
5,10,1006,2,474,"1006-474",2,1,1,1
5,10,1006,2,474,"1006-474",3,0,,
5,10,1006,2,474,"1006-474",4,1,3,2
5,10,1006,2,474,"1006-474",5,1,1,1
5,10,1006,2,474,"1006-474",6,1,1,1
5,10,1006,2,474,"1006-474",7,1,1,1
5,10,1007,1,1026,"1007-1026",1,0,,
5,10,1007,1,1026,"1007-1026",2,1,1,1
5,10,1007,1,1026,"1007-1026",3,0,,
5,10,1007,1,1026,"1007-1026",4,0,,
5,10,1007,1,1026,"1007-1026",5,1,1,1
5,10,1007,1,1026,"1007-1026",6,1,1,1
5,10,1007,1,1026,"1007-1026",7,1,1,1
5,10,1008,2,1314,"1008-1314",1,0,,
5,10,1008,2,1314,"1008-1314",2,1,1,1
5,10,1008,2,1314,"1008-1314",3,0,,
5,10,1008,2,1314,"1008-1314",4,0,,
5,10,1008,2,1314,"1008-1314",5,1,3,1
5,10,1008,2,1314,"1008-1314",6,1,1,1
5,10,1008,2,1314,"1008-1314",7,1,1,1
5,10,1012,2,1106,"1012-1106",1,1,3,1
5,10,1012,2,1106,"1012-1106",2,1,3,1
5,10,1012,2,1106,"1012-1106",3,0,,
5,10,1012,2,1106,"1012-1106",4,1,1,2
5,10,1012,2,1106,"1012-1106",5,1,1,2
5,10,1012,2,1106,"1012-1106",6,1,1,2
5,10,1012,2,1106,"1012-1106",7,1,1,2
5,10,1012,2,428,"1012-428",1,0,,
5,10,1012,2,428,"1012-428",2,0,,
5,10,1012,2,428,"1012-428",3,0,,
5,10,1012,2,428,"1012-428",4,0,,
5,10,1012,2,428,"1012-428",5,0,,
5,10,1012,2,428,"1012-428",6,0,,
5,10,1012,2,428,"1012-428",7,1,1,2
5,10,1013,2,1054,"1013-1054",1,1,3,1
5,10,1013,2,1054,"1013-1054",2,1,3,1
5,10,1013,2,1054,"1013-1054",3,0,,
5,10,1013,2,1054,"1013-1054",4,1,1,1
5,10,1013,2,1054,"1013-1054",5,1,2,1
5,10,1013,2,1054,"1013-1054",6,1,1,1
