"zone","state","lga","sector","ea","cluster_id","amenities_cd","c5q1"
5,10,1002,1,114,"1002-114",501,5
5,10,1002,1,114,"1002-114",502,5
5,10,1002,1,114,"1002-114",503,5
5,10,1002,1,114,"1002-114",505,3
5,10,1002,1,114,"1002-114",506,5
5,10,1002,1,114,"1002-114",507,5
5,10,1002,1,114,"1002-114",508,2
5,10,1002,1,114,"1002-114",509,2
5,10,1002,1,114,"1002-114",510,5
5,10,1002,1,114,"1002-114",512,5
5,10,1002,1,114,"1002-114",513,5
5,10,1002,1,114,"1002-114",514,5
5,10,1002,1,114,"1002-114",516,5
5,10,1002,1,114,"1002-114",517,5
5,10,1002,1,114,"1002-114",518,5
5,10,1002,1,114,"1002-114",519,5
5,10,1002,1,114,"1002-114",520,5
5,10,1002,1,114,"1002-114",522,5
5,10,1002,1,114,"1002-114",523,5
5,10,1002,1,114,"1002-114",524,2
5,10,1002,1,114,"1002-114",525,1
5,10,1002,1,114,"1002-114",526,5
5,10,1002,1,114,"1002-114",527,5
5,10,1002,1,114,"1002-114",528,5
5,10,1002,1,114,"1002-114",529,1
5,10,1002,1,114,"1002-114",530,5
5,10,1002,1,114,"1002-114",531,1
5,10,1002,1,114,"1002-114",532,1
5,10,1002,1,114,"1002-114",533,1
5,10,1002,1,114,"1002-114",534,2
5,10,1006,2,1708,"1006-1708",501,5
5,10,1006,2,1708,"1006-1708",502,4
5,10,1006,2,1708,"1006-1708",503,4
5,10,1006,2,1708,"1006-1708",505,5
5,10,1006,2,1708,"1006-1708",506,4
5,10,1006,2,1708,"1006-1708",507,5
5,10,1006,2,1708,"1006-1708",508,6
5,10,1006,2,1708,"1006-1708",509,6
5,10,1006,2,1708,"1006-1708",510,4
5,10,1006,2,1708,"1006-1708",512,5
5,10,1006,2,1708,"1006-1708",513,5
5,10,1006,2,1708,"1006-1708",514,5
5,10,1006,2,1708,"1006-1708",516,5
5,10,1006,2,1708,"1006-1708",517,5
5,10,1006,2,1708,"1006-1708",518,4
5,10,1006,2,1708,"1006-1708",519,5
5,10,1006,2,1708,"1006-1708",520,5
5,10,1006,2,1708,"1006-1708",522,5
5,10,1006,2,1708,"1006-1708",523,4
5,10,1006,2,1708,"1006-1708",524,1
5,10,1006,2,1708,"1006-1708",525,1
5,10,1006,2,1708,"1006-1708",526,5
5,10,1006,2,1708,"1006-1708",527,5
5,10,1006,2,1708,"1006-1708",528,5
5,10,1006,2,1708,"1006-1708",529,1
5,10,1006,2,1708,"1006-1708",530,5
5,10,1006,2,1708,"1006-1708",531,4
5,10,1006,2,1708,"1006-1708",532,5
5,10,1006,2,1708,"1006-1708",533,4
5,10,1006,2,1708,"1006-1708",534,4
