"zone","state","lga","sector","ea","cluster_id","event_cd","c6q1","c6q1_os_1","c6q1_os_2","c6q2__2016","c6q2__2017","c6q2__2018","c6q2__2019","c6q3"
5,10,1002,1,114,"1002-114",1,2,,,,,,,
5,10,1002,1,114,"1002-114",2,2,,,,,,,
5,10,1002,1,114,"1002-114",3,2,,,,,,,
5,10,1002,1,114,"1002-114",4,2,,,,,,,
5,10,1002,1,114,"1002-114",5,2,,,,,,,
5,10,1002,1,114,"1002-114",6,1,,,0,0,1,0,100
5,10,1002,1,114,"1002-114",7,2,,,,,,,
5,10,1002,1,114,"1002-114",8,1,,,0,0,1,0,100
5,10,1002,1,114,"1002-114",10,2,,,,,,,
5,10,1002,1,114,"1002-114",11,2,,,,,,,
5,10,1002,1,114,"1002-114",12,2,,,,,,,
5,10,1002,1,114,"1002-114",13,2,,,,,,,
5,10,1002,1,114,"1002-114",14,1,,,0,0,1,0,10
5,10,1002,1,114,"1002-114",15,2,,,,,,,
5,10,1002,1,114,"1002-114",16,1,,,0,0,1,0,75
5,10,1002,1,114,"1002-114",17,2,,,,,,,
5,10,1002,1,114,"1002-114",18,1,,,0,0,1,0,100
5,10,1002,1,114,"1002-114",19,2,,,,,,,
5,10,1006,2,1708,"1006-1708",1,2,,,,,,,
5,10,1006,2,1708,"1006-1708",2,1,,,1,0,0,0,25
5,10,1006,2,1708,"1006-1708",3,1,,,0,0,1,0,25
5,10,1006,2,1708,"1006-1708",4,1,,,1,0,0,0,25
5,10,1006,2,1708,"1006-1708",5,2,,,,,,,
5,10,1006,2,1708,"1006-1708",6,1,,,0,0,1,0,100
5,10,1006,2,1708,"1006-1708",7,2,,,,,,,
5,10,1006,2,1708,"1006-1708",8,2,,,,,,,
5,10,1006,2,1708,"1006-1708",10,2,,,,,,,
5,10,1006,2,1708,"1006-1708",11,2,,,,,,,
5,10,1006,2,1708,"1006-1708",12,2,,,,,,,
5,10,1006,2,1708,"1006-1708",13,1,,,0,1,0,0,25
5,10,1006,2,1708,"1006-1708",14,1,,,0,0,1,0,25
5,10,1006,2,1708,"1006-1708",15,2,,,,,,,
5,10,1006,2,1708,"1006-1708",16,2,,,,,,,
5,10,1006,2,1708,"1006-1708",17,2,,,,,,,
5,10,1006,2,1708,"1006-1708",18,2,,,,,,,
5,10,1006,2,1708,"1006-1708",19,2,,,,,,,
5,10,1006,2,474,"1006-474",1,2,,,,,,,
5,10,1006,2,474,"1006-474",2,2,,,,,,,
5,10,1006,2,474,"1006-474",3,1,,,0,1,0,0,100
5,10,1006,2,474,"1006-474",4,2,,,,,,,
5,10,1006,2,474,"1006-474",5,1,,,0,0,1,0,25
5,10,1006,2,474,"1006-474",6,1,,,1,0,0,0,100
5,10,1006,2,474,"1006-474",7,2,,,,,,,
5,10,1006,2,474,"1006-474",8,2,,,,,,,
5,10,1006,2,474,"1006-474",10,2,,,,,,,
5,10,1006,2,474,"1006-474",11,2,,,,,,,
5,10,1006,2,474,"1006-474",12,2,,,,,,,
5,10,1006,2,474,"1006-474",13,2,,,,,,,
5,10,1006,2,474,"1006-474",14,2,,,,,,,
5,10,1006,2,474,"1006-474",15,2,,,,,,,
5,10,1006,2,474,"1006-474",16,2,,,,,,,
5,10,1006,2,474,"1006-474",17,2,,,,,,,
5,10,1006,2,474,"1006-474",18,2,,,,,,,
