"zone","state","lga","sector","ea","cluster_id","item_cd","c7q1","c7q1_os","c7q2","c7q2_os","c7q3","c7q4__1","c7q4__2","c7q4__3","c7q4__4","c7q4__5","c7q4__6","c7q4__7","c7q4__8","c7q4__9","c7q4__10","c7q4_os"
5,10,1002,1,114,"1002-114",701,1,,10,,2,,,,,,,,,,,
5,10,1002,1,114,"1002-114",702,1,,9,,2,,,,,,,,,,,
5,10,1002,1,114,"1002-114",703,2,,,,,,,,,,,,,,,
5,10,1002,1,114,"1002-114",704,2,,,,,,,,,,,,,,,
5,10,1002,1,114,"1002-114",705,2,,,,,,,,,,,,,,,
5,10,1002,1,114,"1002-114",706,2,,,,,,,,,,,,,,,
5,10,1002,1,114,"1002-114",707,2,,,,,,,,,,,,,,,
5,10,1002,1,114,"1002-114",708,2,,,,,,,,,,,,,,,
5,10,1002,1,114,"1002-114",709,2,,,,,,,,,,,,,,,
5,10,1002,1,114,"1002-114",710,1,,10,,1,0,0,0,0,0,0,0,0,1,0,
5,10,1002,1,114,"1002-114",711,2,,,,,,,,,,,,,,,
5,10,1002,1,114,"1002-114",712,2,,,,,,,,,,,,,,,
5,10,1002,1,114,"1002-114",713,1,,1,,2,,,,,,,,,,,
5,10,1002,1,114,"1002-114",714,2,,,,,,,,,,,,,,,
5,10,1002,1,114,"1002-114",715,2,,,,,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",701,2,,,,,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",702,2,,,,,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",703,2,,,,,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",704,2,,,,,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",705,2,,,,,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",706,2,,,,,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",707,2,,,,,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",708,2,,,,,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",709,2,,,,,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",710,2,,,,,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",711,2,,,,,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",712,2,,,,,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",713,2,,,,,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",714,2,,,,,,,,,,,,,,,
5,10,1006,2,1708,"1006-1708",715,2,,,,,,,,,,,,,,,
5,10,1006,2,474,"1006-474",701,2,,,,,,,,,,,,,,,
5,10,1006,2,474,"1006-474",702,2,,,,,,,,,,,,,,,
5,10,1006,2,474,"1006-474",703,2,,,,,,,,,,,,,,,
5,10,1006,2,474,"1006-474",704,2,,,,,,,,,,,,,,,
5,10,1006,2,474,"1006-474",705,2,,,,,,,,,,,,,,,
5,10,1006,2,474,"1006-474",706,2,,,,,,,,,,,,,,,
5,10,1006,2,474,"1006-474",707,2,,,,,,,,,,,,,,,
5,10,1006,2,474,"1006-474",708,1,,3,,1,1,1,0,0,0,0,0,0,1,0,
5,10,1006,2,474,"1006-474",709,2,,,,,,,,,,,,,,,
5,10,1006,2,474,"1006-474",710,2,,,,,,,,,,,,,,,
5,10,1006,2,474,"1006-474",711,2,,,,,,,,,,,,,,,
5,10,1006,2,474,"1006-474",712,2,,,,,,,,,,,,,,,
5,10,1006,2,474,"1006-474",713,2,,,,,,,,,,,,,,,
5,10,1006,2,474,"1006-474",714,2,,,,,,,,,,,,,,,
5,10,1006,2,474,"1006-474",715,2,,,,,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",701,1,,10,,2,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",702,2,,,,,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",703,2,,,,,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",704,2,,,,,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",705,2,,,,,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",706,2,,,,,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",707,2,,,,,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",708,2,,,,,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",709,1,,10,,2,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",710,2,,,,,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",711,2,,,,,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",712,2,,,,,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",713,2,,,,,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",714,2,,,,,,,,,,,,,,,
5,10,1007,1,1026,"1007-1026",715,2,,,,,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",701,2,,,,,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",702,2,,,,,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",703,2,,,,,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",704,2,,,,,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",705,2,,,,,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",706,2,,,,,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",707,2,,,,,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",708,2,,,,,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",709,2,,,,,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",710,2,,,,,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",711,2,,,,,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",712,2,,,,,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",713,2,,,,,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",714,2,,,,,,,,,,,,,,,
5,10,1008,2,1314,"1008-1314",715,2,,,,,,,,,,,,,,,
