"zone","state","lga","sector","ea","cluster_id","farmer_id","c9q1","c9q4","c9q2b"
5,10,1002,1,114,"1002-114",1,1,1,1020
5,10,1002,1,114,"1002-114",2,2,,
5,10,1006,2,1708,"1006-1708",1,1,3,1020
5,10,1006,2,1708,"1006-1708",2,1,3,1020
5,10,1006,2,474,"1006-474",1,1,3,1020
5,10,1006,2,474,"1006-474",2,1,2,1020
5,10,1007,1,1026,"1007-1026",1,1,3,1020
5,10,1007,1,1026,"1007-1026",2,1,3,1020
5,10,1008,2,1314,"1008-1314",1,1,3,1020
5,10,1008,2,1314,"1008-1314",2,1,3,1020
5,10,1012,2,1106,"1012-1106",1,1,3,1020
5,10,1012,2,1106,"1012-1106",2,1,3,1020
5,10,1012,2,428,"1012-428",1,1,1,1020
5,10,1012,2,428,"1012-428",2,1,1,1020
5,10,1013,2,1054,"1013-1054",1,1,1,1020
5,10,1013,2,1054,"1013-1054",2,1,1,1020
5,10,1013,2,410,"1013-410",1,1,1,1020
5,10,1013,2,410,"1013-410",2,1,1,1020
5,10,1013,2,88,"1013-88",1,1,3,1020
5,10,1013,2,88,"1013-88",2,1,3,1020
5,10,1013,2,948,"1013-948",1,1,1,1020
5,10,1013,2,948,"1013-948",2,1,1,1020
5,10,1018,1,634,"1018-634",1,1,1,1020
5,10,1018,1,634,"1018-634",2,1,1,1020
4,1,102,1,1690,"102-1690",1,2,,
4,1,102,1,1690,"102-1690",2,2,,
4,1,102,1,2486,"102-2486",1,2,,
4,1,102,1,2486,"102-2486",2,2,,
4,1,102,1,46,"102-46",1,2,,
4,1,102,1,46,"102-46",2,2,,
4,1,102,1,806,"102-806",1,1,3,1121
4,1,102,1,806,"102-806",2,1,3,1020
5,10,1022,1,30,"1022-30",1,1,3,1020
5,10,1022,1,30,"1022-30",2,1,3,1020
5,10,1022,1,386,"1022-386",1,1,1,1020
5,10,1022,1,386,"1022-386",2,1,1,1020
5,10,1023,2,346,"1023-346",1,1,1,2170
5,10,1023,2,346,"1023-346",2,1,1,2170
5,10,1025,2,1774,"1025-1774",1,1,3,1020
5,10,1025,2,1774,"1025-1774",2,1,1,1020
4,1,104,2,1020,"104-1020",1,1,3,1121
4,1,104,2,1020,"104-1020",2,1,2,1020
4,1,104,2,412,"104-412",1,1,3,1020
4,1,104,2,412,"104-412",2,1,3,1020
4,1,105,2,638,"105-638",1,1,3,1121
4,1,105,2,638,"105-638",2,1,3,1020
4,1,107,2,10,"107-10",1,1,3,1020
4,1,107,2,10,"107-10",2,1,3,1020
4,1,107,2,1044,"107-1044",1,1,3,1020
4,1,107,2,1044,"107-1044",2,1,3,1020
4,1,107,2,1322,"107-1322",1,1,3,1020
4,1,107,2,1322,"107-1322",2,1,3,1020
4,1,108,2,904,"108-904",1,1,3,1121
4,1,108,2,904,"108-904",2,1,3,1020
