"zone","state","lga","sector","ea","cluster_id","farmer_id","activity_cd","crop_code","c9q5","c9q6","c9q7","c9q8","c9q9","c9q10"
5,10,1002,1,114,"1002-114",1,1,,1,1500,1,1500,2,
5,10,1002,1,114,"1002-114",1,2,,1,1500,1,1500,2,
5,10,1002,1,114,"1002-114",1,3,,1,1500,2,,2,
5,10,1002,1,114,"1002-114",1,4,,1,1500,1,1500,2,
5,10,1002,1,114,"1002-114",1,5,1020,1,1500,1,1500,2,
5,10,1002,1,114,"1002-114",1,6,1020,1,1500,1,1500,2,
5,10,1002,1,114,"1002-114",1,7,1020,2,,1,2000,2,
5,10,1006,2,1708,"1006-1708",1,1,,1,1500,1,1500,2,
5,10,1006,2,1708,"1006-1708",1,2,,1,1500,1,1500,2,
5,10,1006,2,1708,"1006-1708",1,4,,1,1500,1,1500,2,
5,10,1006,2,1708,"1006-1708",1,5,1020,1,2000,1,2000,2,
5,10,1006,2,1708,"1006-1708",1,6,1020,1,1500,1,1500,2,
5,10,1006,2,1708,"1006-1708",2,1,,1,1500,1,1500,2,
5,10,1006,2,1708,"1006-1708",2,2,,1,1500,1,1500,2,
5,10,1006,2,1708,"1006-1708",2,4,,1,1500,1,1500,2,
5,10,1006,2,1708,"1006-1708",2,5,1020,1,1500,1,1500,2,
5,10,1006,2,1708,"1006-1708",2,6,1020,1,1500,2,,2,
5,10,1006,2,474,"1006-474",1,1,,1,1500,1,1500,1,1000
5,10,1006,2,474,"1006-474",1,4,,1,1500,1,1500,1,1000
5,10,1006,2,474,"1006-474",1,5,1020,1,1500,1,1500,2,
5,10,1006,2,474,"1006-474",1,6,1020,1,1500,1,1500,2,
5,10,1006,2,474,"1006-474",1,7,1020,2,,1,1500,2,
5,10,1006,2,474,"1006-474",2,1,,1,1500,1,1500,1,1000
5,10,1006,2,474,"1006-474",2,4,,1,1500,1,1500,1,1000
5,10,1006,2,474,"1006-474",2,5,1020,1,1500,1,1500,2,
5,10,1006,2,474,"1006-474",2,6,1020,1,1500,1,1500,2,
5,10,1006,2,474,"1006-474",2,7,1020,2,,1,1500,2,
5,10,1007,1,1026,"1007-1026",1,5,1020,1,1200,1,1200,2,
5,10,1007,1,1026,"1007-1026",1,6,1020,1,1500,1,1500,2,
5,10,1007,1,1026,"1007-1026",1,7,1020,2,,1,1500,2,
5,10,1007,1,1026,"1007-1026",2,1,,1,1200,1,1200,2,
5,10,1007,1,1026,"1007-1026",2,3,,1,1200,1,1200,2,
5,10,1007,1,1026,"1007-1026",2,4,,1,1200,1,1200,2,
5,10,1008,2,1314,"1008-1314",1,1,,1,1500,1,1500,2,
5,10,1008,2,1314,"1008-1314",1,2,,1,1500,1,1500,2,
5,10,1008,2,1314,"1008-1314",1,3,,1,1500,2,,2,
5,10,1008,2,1314,"1008-1314",1,4,,1,1500,1,1500,2,
5,10,1008,2,1314,"1008-1314",1,5,1020,1,1500,1,1500,2,
5,10,1008,2,1314,"1008-1314",1,6,1020,1,1500,1,1500,2,
5,10,1008,2,1314,"1008-1314",1,7,1020,2,,1,2500,2,
5,10,1008,2,1314,"1008-1314",2,1,,1,1500,1,1500,2,
5,10,1008,2,1314,"1008-1314",2,3,,1,1500,2,,2,
5,10,1008,2,1314,"1008-1314",2,4,,1,1500,1,1500,2,
5,10,1008,2,1314,"1008-1314",2,5,1020,1,1500,1,1500,2,
5,10,1008,2,1314,"1008-1314",2,6,1020,1,1500,1,1500,2,
5,10,1008,2,1314,"1008-1314",2,7,1020,2,,1,2500,2,
5,10,1012,2,1106,"1012-1106",1,1,,1,1000,1,1000,2,
5,10,1012,2,1106,"1012-1106",1,2,,1,1000,1,1000,2,
5,10,1012,2,1106,"1012-1106",1,4,,1,1000,1,1000,2,
5,10,1012,2,1106,"1012-1106",1,5,1020,1,1000,1,1000,2,
5,10,1012,2,1106,"1012-1106",1,6,1020,1,1000,1,1000,2,
5,10,1012,2,1106,"1012-1106",2,1,,1,1000,1,1000,2,
5,10,1012,2,1106,"1012-1106",2,2,,1,1000,1,1000,2,
5,10,1012,2,1106,"1012-1106",2,3,,1,1000,2,,2,
5,10,1012,2,1106,"1012-1106",2,4,,1,1000,1,1000,2,
5,10,1012,2,1106,"1012-1106",2,5,1020,1,1000,1,1000,2,
5,10,1012,2,1106,"1012-1106",2,6,1020,1,1000,1,1000,2,
5,10,1012,2,428,"1012-428",1,1,,1,2000,1,2000,2,
5,10,1012,2,428,"1012-428",1,2,,1,2000,1,2000,2,
5,10,1012,2,428,"1012-428",1,3,,1,2000,1,2000,2,
5,10,1012,2,428,"1012-428",1,4,,1,2000,1,2000,2,
