"zone","state","lga","sector","ea","cluster_id","InterviewDate"
5,10,1002,1,114,"1002-114",1/8/2019 06:37:57
5,10,1006,2,1708,"1006-1708",1/23/2019 08:21:52
5,10,1006,2,474,"1006-474",1/25/2019 04:48:11
5,10,1007,1,1026,"1007-1026",1/17/2019 06:33:12
5,10,1008,2,1314,"1008-1314",1/19/2019 05:44:56
5,10,1012,2,1106,"1012-1106",1/15/2019 09:20:17
5,10,1012,2,428,"1012-428",1/10/2019 08:28:49
5,10,1013,2,1054,"1013-1054",1/12/2019 08:33:50
5,10,1013,2,410,"1013-410",1/10/2019 03:28:42
5,10,1013,2,88,"1013-88",1/29/2019 06:37:10
5,10,1013,2,948,"1013-948",1/18/2019 04:19:10
5,10,1018,1,634,"1018-634",1/26/2019 09:39:05
4,1,102,1,1690,"102-1690",1/29/2019 06:49:40
4,1,102,1,2486,"102-2486",1/28/2019 05:16:10
4,1,102,1,46,"102-46",1/30/2019 07:20:05
4,1,102,1,806,"102-806",1/28/2019 07:22:56
5,10,1022,1,30,"1022-30",1/21/2019 08:29:14
5,10,1022,1,386,"1022-386",1/26/2019 07:55:52
5,10,1023,2,346,"1023-346",1/29/2019 06:33:49
5,10,1025,2,1774,"1025-1774",1/21/2019 06:23:06
4,1,104,2,1020,"104-1020",1/9/2019 10:30:34
4,1,104,2,412,"104-412",1/7/2019 08:54:41
4,1,105,2,638,"105-638",1/21/2019 07:01:44
4,1,107,2,10,"107-10",1/12/2019 09:33:21
4,1,107,2,1044,"107-1044",1/8/2019 04:58:51
4,1,107,2,1322,"107-1322",1/10/2019 02:48:45
4,1,108,2,904,"108-904",1/11/2019 11:55:43
4,1,109,2,1214,"109-1214",1/14/2019 10:39:19
4,1,109,2,1792,"109-1792",1/16/2019 08:52:52
4,1,109,2,1996,"109-1996",1/19/2019 04:37:45
4,1,110,2,338,"110-338",1/14/2019 06:06:47
4,11,1101,2,154,"1101-154",1/25/2019 04:05:10
4,11,1102,2,936,"1102-936",1/10/2019 03:26:01
4,11,1104,2,1610,"1104-1610",1/27/2019 06:30:46
4,11,1104,1,2028,"1104-2028",1/29/2019 03:50:25
4,11,1104,2,434,"1104-434",1/7/2019 07:35:02
4,11,1104,2,914,"1104-914",1/17/2019 03:16:58
4,11,1105,2,1092,"1105-1092",1/15/2019 04:23:41
4,11,1106,2,1366,"1106-1366",1/21/2019 03:30:15
4,11,1109,2,1556,"1109-1556",1/11/2019 10:31:38
4,1,111,1,1146,"111-1146",1/25/2019 06:27:07
4,1,111,2,118,"111-118",1/23/2019 06:57:01
4,11,1112,2,78,"1112-78",1/22/2019 07:23:21
4,11,1113,2,954,"1113-954",1/19/2019 04:21:12
4,1,112,2,266,"112-266",1/25/2019 07:53:50
4,1,112,2,556,"112-556",1/24/2019 11:28:02
4,1,113,2,284,"113-284",1/21/2019 08:15:34
4,1,113,2,44,"113-44",1/22/2019 09:09:08
4,1,113,2,6,"113-6",2/1/2019 04:17:48
4,1,115,1,176,"115-176",1/30/2019 04:48:09
4,1,115,1,550,"115-550",1/31/2019 05:00:18
4,1,115,1,670,"115-670",2/1/2019 04:48:29
4,1,117,2,560,"117-560",1/18/2019 06:56:42
4,1,117,2,800,"117-800",1/16/2019 07:39:22
5,12,1201,2,320,"1201-320",1/20/2019 02:41:05
5,12,1203,1,334,"1203-334",1/26/2019 02:33:22
5,12,1207,1,144,"1207-144",1/7/2019 12:11:26
5,12,1208,2,526,"1208-526",1/17/2019 03:37:20
5,12,1208,2,630,"1208-630",1/10/2019 03:31:59
5,12,1208,2,76,"1208-76",1/14/2019 05:34:20
5,12,1209,1,226,"1209-226",1/23/2019 04:38:21
5,12,1209,1,566,"1209-566",1/12/2019 02:16:12
5,12,1211,1,1250,"1211-1250",1/19/2019 05:04:41
5,12,1211,1,2856,"1211-2856",1/22/2019 07:19:48
5,12,1211,1,446,"1211-446",1/25/2019 04:31:55
5,12,1212,1,2598,"1212-2598",1/23/2019 10:10:08
5,12,1214,2,452,"1214-452",1/17/2019 08:19:25
5,12,1215,2,810,"1215-810",1/15/2019 07:11:33
5,12,1216,2,618,"1216-618",1/11/2019 10:17:59
5,12,1216,1,694,"1216-694",1/9/2019 04:18:34
5,12,1218,1,196,"1218-196",1/7/2019 06:39:58
6,13,1301,1,688,"1301-688",1/14/2019 05:07:09
6,13,1303,1,626,"1303-626",1/31/2019 06:11:40
6,13,1303,1,80,"1303-80",1/29/2019 04:38:28
6,13,1306,1,140,"1306-140",1/7/2019 05:08:53
6,13,1306,1,342,"1306-342",1/10/2019 05:18:56
6,13,1307,1,1002,"1307-1002",1/24/2019 06:37:19
6,13,1307,1,1178,"1307-1178",1/19/2019 08:16:32
6,13,1307,1,268,"1307-268",1/29/2019 10:31:40
6,13,1308,1,842,"1308-842",1/19/2019 07:57:54
6,13,1309,2,674,"1309-674",1/11/2019 08:55:36
6,13,1310,1,762,"1310-762",2/3/2019 09:44:07
6,13,1311,1,1134,"1311-1134",1/23/2019 09:11:45
6,13,1312,1,24,"1312-24",1/7/2019 07:25:15
6,13,1315,1,264,"1315-264",1/9/2019 09:44:01
6,13,1316,1,1236,"1316-1236",1/14/2019 05:57:46
4,14,1401,2,1116,"1401-1116",1/7/2019 05:12:46
4,14,1401,2,386,"1401-386",1/17/2019 07:50:51
4,14,1401,2,746,"1401-746",1/21/2019 05:17:44
4,14,1402,2,1686,"1402-1686",1/21/2019 08:39:05
4,14,1403,1,1418,"1403-1418",1/27/2019 05:58:30
4,14,1403,1,306,"1403-306",1/11/2019 05:44:43
4,14,1403,2,944,"1403-944",1/7/2019 07:07:28
4,14,1405,1,846,"1405-846",1/31/2019 06:15:26
4,14,1406,2,1002,"1406-1002",1/17/2019 06:42:26
4,14,1406,2,694,"1406-694",1/16/2019 04:43:14
4,14,1408,2,1996,"1408-1996",1/9/2019 11:30:29
4,14,1410,2,236,"1410-236",1/9/2019 07:06:18
4,14,1411,2,1414,"1411-1414",1/23/2019 06:59:46
4,14,1411,2,836,"1411-836",1/24/2019 04:58:38
4,14,1413,2,670,"1413-670",1/14/2019 08:37:29
4,14,1416,2,1134,"1416-1134",1/29/2019 05:40:26
4,14,1416,2,2314,"1416-2314",1/11/2019 05:54:04
4,14,1417,2,36,"1417-36",1/25/2019 10:48:13
2,15,1502,2,1386,"1502-1386",1/21/2019 06:27:31
2,15,1503,2,1076,"1503-1076",1/28/2019 03:01:43
2,15,1503,2,634,"1503-634",1/29/2019 04:10:59
2,15,1503,2,864,"1503-864",1/24/2019 06:35:15
2,15,1506,1,1328,"1506-1328",1/14/2019 06:23:27
2,15,1506,1,148,"1506-148",1/10/2019 05:14:36
2,15,1506,1,244,"1506-244",1/7/2019 05:35:03
2,15,1506,1,398,"1506-398",1/10/2019 05:03:33
2,15,1506,1,458,"1506-458",1/7/2019 05:31:58
2,15,1508,2,1682,"1508-1682",1/17/2019 05:09:35
2,15,1509,2,388,"1509-388",1/22/2019 07:13:30
2,15,1510,2,838,"1510-838",1/25/2019 04:22:56
2,15,1511,2,1498,"1511-1498",1/14/2019 04:25:11
2,15,1511,2,1938,"1511-1938",1/17/2019 02:32:49
4,16,1601,2,2484,"1601-2484",1/24/2019 04:03:23
4,16,1602,2,234,"1602-234",1/22/2019 03:03:32
4,16,1605,2,180,"1605-180",1/15/2019 04:43:03
4,16,1607,2,574,"1607-574",1/16/2019 04:57:22
4,16,1608,2,1480,"1608-1480",1/12/2019 04:31:28
4,16,1610,2,490,"1610-490",1/10/2019 04:18:23
4,16,1610,2,66,"1610-66",1/7/2019 07:18:35
4,16,1610,2,776,"1610-776",1/9/2019 05:45:52
4,16,1611,2,1878,"1611-1878",1/19/2019 05:53:23
4,16,1613,2,440,"1613-440",1/14/2019 04:50:57
4,16,1615,2,220,"1615-220",1/12/2019 03:36:11
4,16,1616,2,902,"1616-902",1/22/2019 06:26:35
4,16,1622,1,136,"1622-136",1/7/2019 06:03:43
4,16,1622,2,692,"1622-692",1/16/2019 03:18:03
4,16,1625,2,210,"1625-210",1/18/2019 04:16:05
4,16,1626,2,1546,"1626-1546",1/26/2019 05:44:49
4,16,1627,2,126,"1627-126",1/23/2019 05:48:09
3,17,1701,2,10,"1701-10",1/18/2019 02:20:55
3,17,1707,2,284,"1707-284",1/23/2019 03:48:58
3,17,1712,2,126,"1712-126",1/7/2019 11:09:14
