"version","interview__key","zone","state","lga","sector","ea","cluster_id","InterviewDate"
"3","63-54-73-11",1,31,3116,2,1344,"3116-1344","2018-07-31T07:47:18"
"2","82-53-49-41",2,5,513,2,348,"513-348","2018-07-18T09:56:00"
"3","62-23-56-82",6,29,2910,1,350,"2910-350","2018-07-27T08:14:26"
"3","62-56-42-96",1,26,2609,2,204,"2609-204","2018-08-10T05:53:23"
"3","28-28-05-31",3,17,1723,1,668,"1723-668","2018-08-07T05:28:00"
"3","34-06-74-12",2,15,1506,1,458,"1506-458","2018-07-25T08:30:09"
"3","72-76-92-48",2,2,207,2,1302,"207-1302","2018-08-06T04:25:34"
"2","43-95-90-07",5,6,605,2,162,"605-162","2018-07-18T10:35:14"
"3","80-21-46-46",6,28,2814,1,1876,"2814-1876","2018-08-09T03:12:13"
"3","75-01-27-95",1,22,2216,1,588,"2216-588","2018-07-22T07:39:23"
"3","46-32-68-71",3,33,3302,2,816,"3302-816","2018-07-23T04:11:41"
"3","17-55-34-05",4,14,1411,2,1414,"1411-1414","2018-08-08T03:56:00"
"3","60-76-55-49",4,16,1624,1,136,"1624-136","2018-07-30T08:29:17"
"3","15-29-52-50",2,5,516,2,134,"516-134","2018-08-02T11:20:35"
"3","55-05-09-12",5,10,1013,2,88,"1013-88","2018-08-09T03:14:53"
"3","07-43-60-22",6,30,3013,1,282,"3013-282","2018-08-15T08:40:57"
"3","43-74-75-07",4,16,1613,2,440,"1613-440","2018-07-23T06:04:36"
"3","45-34-94-21",5,12,1211,1,2856,"1211-2856","2018-07-25T12:09:09"
"3","49-81-80-27",3,21,2119,2,3956,"2119-3956","2018-07-29T11:15:26"
"3","07-05-56-71",6,28,2813,2,612,"2813-612","2018-08-07T02:41:02"
"3","46-34-96-66",2,34,3402,2,768,"3402-768","2018-08-09T07:23:08"
"3","87-58-44-70",2,5,506,2,830,"506-830","2018-08-02T07:13:04"
"3","73-43-45-28",5,3,318,2,1136,"318-1136","2018-07-26T08:27:11"
"2","93-87-01-38",4,1,104,2,412,"104-412","2018-07-18T08:23:55"
"3","74-36-65-75",6,13,1316,1,1236,"1316-1236","2018-08-20T09:39:46"
"3","80-22-42-81",2,2,205,2,206,"205-206","2018-07-26T01:12:07"
"3","07-15-54-35",3,20,2015,2,1746,"2015-1746","2018-07-26T06:04:51"
"3","47-07-38-52",4,14,1406,2,694,"1406-694","2018-08-14T08:33:07"
"3","92-36-40-06",5,6,608,2,1288,"608-1288","2018-07-23T09:35:54"
"3","05-06-66-54",2,2,205,2,712,"205-712","2018-08-08T11:20:43"
"3","14-17-54-84",6,28,2801,1,760,"2801-760","2018-08-01T05:29:42"
"3","02-73-42-87",6,30,3012,2,334,"3012-334","2018-08-17T08:14:38"
"3","92-82-84-85",1,23,2304,2,322,"2304-322","2018-07-20T07:56:02"
"3","86-35-15-75",6,13,1315,1,264,"1315-264","2018-08-16T08:15:52"
"3","28-59-95-68",5,6,604,1,858,"604-858","2018-07-20T10:28:29"
"3","03-43-66-46",5,12,1207,1,144,"1207-144","2018-07-19T12:05:17"
"3","32-07-68-00",1,7,702,2,954,"702-954","2018-08-09T09:01:04"
"3","55-81-96-91",2,15,1503,2,1076,"1503-1076","2018-08-18T02:24:22"
"3","95-79-01-92",6,24,2401,1,396,"2401-396","2018-07-20T07:12:04"
"3","88-11-80-06",4,11,1104,2,1610,"1104-1610","2018-08-18T11:48:31"
"3","26-92-32-27",4,1,107,2,1044,"107-1044","2018-07-20T07:07:01"
